Unnamed: 0,Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Answer_1
257,f2d46860d4aec36,What type of bread is shown in the image?,focaccia,What is sprinkled on the crust of the focaccia?,sprinkled,What color is the interior of the focaccia?,yellow,Where are the air pockets located in the focaccia?,inside,Where is the coarse salt and herbs located??,on the crust,focaccia
258,8e674dfe888d13c,What is the primary color of the focaccia?,tan,What is sprinkled across the top crust of the focaccia?,sprinkled,"What color are the thin, linear shreds of topping on the focaccia?",orange-colored,What color are the small herbs on the focaccia?,green,What is the focaccia nestled in??,in a white cloth,focaccia
259,bf2b20398b3a1f8,What color is the crust of the bottom piece of focaccia?,golden-brown,What type of bread is shown in the image?,focaccia,What color are the onions on the focaccia?,yellow,Where is the top piece of focaccia situated?,on top of,What color are the specks of herbs on the focaccia??,green,focaccia
260,41abbe95e34b9bb,What type of tomatoes are on the focaccia?,tomatoes,How are the tomatoes arranged on the focaccia?,scattered,What color are the cherry tomatoes?,red,What color are the olives on the focaccia?,green,Where are the tomatoes and olives placed on the focaccia??,on top,focaccia
261,82927363da2288b,What color is the fondue in the bowl?,yellow,What is the fondue contained in?,bowl,What is the state of the bread's crust?,toasted,What color is the crust of the bread?,golden-brown,Where is the fondue dripping from??,down from,fondue
262,d72926d38993313,What is the fondue described as?,best,What is the fondue served in?,pot,What color is the fondue?,yellow,What is the bread being dipped into?,with fondue,What is on the plate next to the napkin??,bread,fondue
263,3e14521c2f09882,What color is the fondue?,yellow,What type of dish is shown in the image?,fondue,Where does the fondue sit?,sits,What color is the fondue pot?,red,Where is the fondue pot placed??,on a black fondue stand,fondue
264,2c767c7f25f9d8b,Where are the Hillshire Farm Lit'l Smokies mostly located?,located on,What is the color of the plate?,plate,What is holding some of the Hillshire Farm Lit'l Smokies?,holding,What material is the cutting board made of?,wooden,What color is the Brie Fondue??,beige,fondue
265,a2b07cb35c1a575,What is the texture of the fondue?,creamy,What is the fondue contained in?,pot,What is the fondue contained within?,contained,What color is the ceramic pot?,brown,Where is the pot positioned??,on a silver stand,fondue
266,95c7b53ec3303e4,What color is the fondue?,orange,What is on top of the fondue?,topped,What color are the tortilla chips?,yellow,What is the fondue served in?,bowl,Where is the pile of tortilla chips located??,to the right of,fondue
267,d7e16bc304a1120,What color is the pizza fondue?,orange,What is the pizza fondue served in?,bowl,What are the small green specks on the pizza fondue?,parsley,What color are the breadsticks?,tan,Where are the breadsticks placed??,on a napkin,fondue
268,d84170379d4b739,What color is the parmesan fondue?,yellow,What type of dish is the parmesan fondue?,fondue,What is the bread doing in the fondue?,dipped,What is on the wooden skewer?,bread,Where is the bread on the wooden skewer placed??,on a wooden skewer,fondue
269,2ccac5e2e7400e6,What color is the ceramic pot?,yellow-green,What is on top of the fondue?,topped,What color are the spinach leaves?,green,What color are the pretzels?,brown,Where are the pretzels located??,to the left,fondue
270,2e2a23113f4fd60,Where are the meatballs located?,submerged,What color are the meatballs?,brownish-red,What shape are the pieces of meat?,meatballs,How does the sauce appear?,glossy,What color is the sauce??,in a reddish-brown sauce,fondue
271,5c460dd973f294a,What is the color of the sticks used to skewer the apple slice?,light,What is the material of the pot containing the fondue?,pot,Where is the apple slice located?,silver,What is the color of the container below the pot?,in the fondue,What is the color of the strawberries in the container??,red,fondue
272,e1abe136f06361c,Is the fondue a translucent liquid?,translucent,What type of dish is being served in the silver pot?,fondue,What color is the plate?,white,What color is the pot?,silver,Where is the silver pot positioned??,at the top,fondue
273,2d2938a660f6b1d,What color are the pretzel rings?,brown,What type of food item is drizzled with white chocolate?,pretzel,What color is the white chocolate?,drizzled,Where are the components distributed?,white,What is the shape of the bowl??,throughout the bowl,food
274,73b7a2c9ebe9f1d,Is the dog food store-bought or homemade?,homemade,What type of food is in the bowl?,dog food,What color is the ground meat in the dog food?,brown,Where is the homemade dog food placed?,in a bowl,What color are the diced carrots in the dog food??,orange,food
275,82c11793c3b8518,What color is the dessert?,brown,What type of food is shown in the image?,dessert,What shape are the desserts?,rectangular,What is the texture color of the desserts?,light,Where is the second piece of dessert located in relation to the first??,behind and to the left,food
276,de34088c2f61465,What color are the pieces of Food For The Gods II?,dark brown,What are the dark brown items in the image?,pieces,What is the appearance of the glass bowl holding the pieces?,clear,What do the pieces of Food For The Gods II have embedded in them?,with flecks,Where are the two additional pieces of Food For The Gods II placed??,on small plates,food
277,f189044f1aaf168,What color are the slivered almonds on the candies?,brown,What type of nuts are scattered on the candies?,almonds,How are the almonds positioned on the candies?,scattered,How would you describe the overall appearance of the candies?,rich,What is present on the surface of each candy??,of each candy,food
279,ecebf6c2dbe2003,What does the Strawberries and Creme Wannabe Frappuccino do to the glass?,fills,What type of glass is the drink served in?,glass,What fruit is used to garnish the drink?,strawberry,What color is the strawberry on the rim of the glass?,red,Where is the strawberry with the green stem placed??,on the rim,frappuccino
280,258ae40001d5764,What color are the Frappuccinos?,pink,What are the drinks in the image?,are,What is the material of the glasses?,transparent,What is the color of the whipped cream?,cream,Where is the whipped cream located??,on top,frappuccino
281,35c31ec9688ae34,What color is the Matcha Green Tea Frappuccino?,green,What type of drink is shown in the image?,Frappuccino,What color is the whipped cream on top of the Frappuccino?,white,Where is the whipped cream located?,on top of,What is the Frappuccino served in??,glass,frappuccino
282,11970e2466e32a8,What color are the frappuccinos?,green,What type of drink is shown in the image?,frappuccino,What material are the containers made of?,glass,What material is the spoon made of?,metal,Where is the frappuccino with the mounded top located??,in the foreground,frappuccino
284,71b4dc36c8e405d,What color is the glass holding the frappuccino?,clear,What type of drink is shown in the image?,frappuccino,What color is the top part of the frappuccino?,tan,What color is the foam on the frappuccino?,off-white,Where is the straw inserted??,into the frappuccino,frappuccino
285,b4d2496777cf409,What color is the plate?,white,What is the main dish in the image?,salad,What color are the Fritos?,golden-orange,Where is the salad placed?,on a white plate,What is the texture of the cheese on top of the salad??,shredded,frito
286,ff63f9d9e982d84,What color is the baking dish?,white,What type of dish is the Frito Pie Casserole in?,casserole,How are the chopped green onions arranged on top of the chips?,scattered,What color is the mixture underneath the chips?,reddish-brown,Where is the layer of Frito chips located??,on top,frito
287,8f29d9e9ee32049,What material is the baking pan made of?,metal,What color are the Fritos?,yellow-orange,How is the chocolate applied over the Fritos?,drizzled,What is drizzled over the Fritos?,chocolate,Where is the chocolate drizzled??,over the Fritos,frito
288,c9d8c457a99210d,What color are the lettuce leaves under the pie?,green,What is the main dish in the image?,pie,What color is the base of the pie?,red-brown,Where is the pie resting?,on a bed,What is the melted topping on the pie??,cheese,frito
289,d9716c79dc46567,What color is the sour cream on the Frito pie?,white,What type of dish is the Frito pie served in?,pie,What color is the chili in the Frito pie?,reddish-brown,Where is the Frito pie served?,on a plate,What color are the corn kernels in the Frito pie??,yellow,frito
290,5ca04c0b3adaf5b,What color is the frittata?,yellow,What type of dish is being described?,frittata,What color are the pieces of broccoli?,green,What color are the small pieces of pepper?,red,Where is the arrangement of blueberries and strawberries placed??,on top of,frittata
291,58be001621afb2e,What color is the base of the frittata?,brown,What type of ingredient is scattered on the frittata?,mushrooms,What is sprinkled on the tomato slices?,sprinkled,What color are the tomato slices?,red,Where are the tomato slices positioned??,on the surface,frittata
292,5cc4bf7ca988a55,Where are the potatoes scattered?,scattered,What type of dish is being described?,frittata,What is visible on the frittata besides potatoes and cheese?,visible,What color are the tomato pieces?,red,Where are the three large basil leaves placed??,in the center,frittata
293,a045dead2d03f44,What color is the frittata primarily?,yellow,What type of dish is the golden yellow and brown slice?,frittata,What type of meat is incorporated within the frittata?,sausage,What color are the cherry tomatoes?,red,How are the cherry tomatoes arranged??,grouped,frittata
294,8bba1590524f3db,What color are the broccoli florets in the frittata?,green,How are the broccoli florets arranged in the frittata?,scattered,What vegetable is visible in the frittata?,potato,What type of meat is distributed across the frittata?,ham,Where are the dark brown potato slices located in the frittata??,on the right side,frittata
295,eeb300e514a2964,What color are the radish greens in the frittata?,green,What is the main dish shown in the image?,frittata,What is the base color of the frittata?,yellow,Where is the frittata placed?,on a gray plate,How are the thin slices of radishes arranged on the frittata??,scattered,frittata
296,99c85593be26293,What are the green specks on the frittata?,scallions,Where does the portion of the frittata sit?,sits,What color is the plate?,white,What color are the scallions?,green,Where is the skillet located??,in the upper left,frittata
297,5e60b9388f01f63,What is the main color of the frittata?,yellow,What type of meat is scattered throughout the frittata?,ham,How are the diced ham and potato pieces distributed in the frittata?,scattered,What color is the parsley sprinkled on top of the frittata?,green,Where is the fresh green parsley located on the frittata??,on top,frittata
298,c1995791b9f2571,What color is the pan?,black,What color is the base of the frittata?,yellow,How are the green herbs distributed in the frittata?,scattered,What are the bright red slices arranged in the center?,tomatoes,Where are the slices of tomatoes located??,in a black pan,frittata
299,4ef1b737f7fb825,What is the predominant color of the frittata's surface?,golden-brown,What type of dish is the Huevos Rancheros Frittata?,frittata,What color are the sprigs of cilantro on top of the frittata?,green,Where are the sprigs of cilantro placed?,on top,What is the shape of the baking dish??,rectangular,frittata
300,76f8eb55a8ddb4a,What color is the frittata primarily?,yellow,What vegetable is visible in the frittata?,broccoli,What is the overall tone of the frittata's color?,light,Where is the frittata located?,located on,What type of cheese is visible in the frittata??,cheddar,frittata
301,bf436f4c5734043,What is the shape of the Veggie Frittata?,round,What type of dish is shown in the image?,frittata,What color is the base of the frittata?,yellow,What color are the veggie pieces scattered throughout the frittata?,green,Where are the green veggie pieces located in the frittata??,throughout,frittata
302,e7ea9308b1ac95d,What is the color of the lower piece of the frittata?,beige,What ingredient is visible near the bottom and front of the lower piece?,mushrooms,What color is the slice of tomato?,orange,Where is the top piece of the frittata placed?,is stacked on,What color is the trim of the plate??,turquoise,frittata
303,d762ed4a4b11803,What is the main vegetable visible in the frittata?,tomato,What type of dish is shown in the image?,frittata,What is the state of the rosemary on top of the frittata?,chopped,What color is the bacon inside the frittata?,brown,Where is the chopped rosemary scattered??,on top,frittata
304,b067f1e7367088a,What is the base color of the frittata?,yellow,What type of dish is the Farmer's Frittata?,frittata,What color are the zucchini slices in the frittata?,green,How are the pieces of red bell pepper distributed in the frittata?,scattered,Where are the white cheese dollops placed??,on top of,frittata
305,514e85d8e59fee4,What is the base color of the frittata?,yellow,What type of dish is shown in the image?,frittata,What color are the tomato halves in the frittata?,red,What color are the zucchini circles in the frittata?,green,Where is the smaller portion of the frittata located in the image??,in the image,frittata
306,2a67213cee87ea4,What color is the plate?,white,What type of dish is being described?,frittata,What color is the frittata?,golden yellow,What green vegetable is visible in the frittata?,spinach,Where are the avocado chunks placed??,on top,frittata
307,9b4d856f8456288,What color are the spinach leaves in the frittata?,green,What vegetable is mixed throughout the frittata?,spinach,What does the frittata fill in the image?,fills,What type of dish is shown in the image?,frittata,Where are the spinach leaves scattered in the image??,on top,frittata
308,6c4f5644abdbb2b,What color is the plate?,blue,How would you describe the edges of the frittata?,browned,How are the strands of yellow cheese arranged on the frittata?,scattered,What ingredient is golden-brown and diced on the plate?,potatoes,Where is the frittata located on the plate??,on the plate,frittata
309,8982436d3cf5c44,What type of salmon is used in the frittata?,smoked,What is the main dish in the image?,frittata,How are the cherry tomatoes arranged on the frittata?,scattered,What are the red items on top of the frittata?,tomatoes,Where are the cherry tomatoes placed on the frittata??,on top,frittata
310,b126f982e595fe4,What does the halved fritter reveal?,reveals,What type of food is being described?,fritters,What color is the interior of the halved fritter?,white,What ingredients are visible in the fritters?,tomatoes,Where are two of the fritters positioned??,on the left side,fritter
311,f33ee11fc6d2643,What color are the apple fritters in the glass dish?,golden brown,What type of food is shown in the image?,fritters,What material is the first container made of?,glass,How do the fritters in the aluminum foil pan appear compared to those in the glass dish?,darker,Where is the square glass baking dish located in the image??,on the right side,fritter
312,3fd383827ec0643,What color are the crab fritters?,brown,How are the crab fritters arranged on the plate?,clustered,What is the food served on?,plate,What color are the lemon wedges?,yellow,Where are the lemon wedges located??,on the left,fritter
313,f02e9c6ffce5158,What color are the fritters?,golden-brown,What type of food is shown in the image?,fritters,What is the texture of the fritters in the center?,milky,Where are the fritters clustered?,in the center,What material is the frying basket made of??,metal,fritter
314,8f452084be14939,What color are the Keto Chicken Fritters?,golden-brown,What type of food are the Keto Chicken Fritters?,fritters,What color is the garnish on top of the fritters?,green,Where are the green garnishes placed?,on top,What is in the small glass bowl to the left of the plate??,sauce,fritter
315,2e3705a43667718,What is the toffee coating covering?,covered,What type of food is being described?,fritters,What color is the plate?,white,Where are the fritters arranged?,on the plate,What is the glossy coating made of??,toffee,fritter
316,0484ecb8e61eafb,What color are the broccoli fritters?,green,What type of food is shown in the image?,fritters,What color is the plate?,white,Where are the broccoli fritters placed?,on a plate,What is sprinkled on top of the white sauce??,sprinkled,fritter
317,a7d35c6a1b7e8fd,What color are the fritters in the image?,golden-brown,What type of food is shown in the image?,fritters,What is sprinkled on top of the fritters?,sugar,Where are the fritters scattered across?,scattered across,Where are the fritters placed in the image??,rack,fritter
318,0751956943997f3,What color are the fritters?,yellow-green,What type of food is shown in the image?,fritters,Where are the fritters placed?,on top of,What color is the surface under the fritters?,white,What type of cheese is sprinkled on the fritters??,parmesan,fritter
319,42210737069e807,What color is the exterior of the fritters?,golden-brown,What type of food is shown in the image?,fritters,What color is the interior of the fritters?,yellow,Where are the fritters located?,on the plate,What color are the parsley leaves??,green,fritter
320,8fb828778ec290d,What color is the larger fritter?,golden-brown,What type of food is on the plate?,fritter,How does the texture of the fritter appear around the edges?,crispy,What color is the plate?,white,Where is the second fritter positioned relative to the first??,behind and to the right of,fritter
321,b950522990ea1a9,What type of food is shown in the image?,Fritters,How are the fritters arranged on the plate?,piled,What is the primary color of the fritters?,tan,What is the main ingredient in the fritters?,Chicken,Where are the fritters placed??,on a plate,fritter
322,2299d37a7aa9e5e,What color are the fritters mostly?,golden-brown,What type of food is shown in the image?,fritters,What color is the plate the fritters are on?,white,Where are the fritters located on the plate?,with,How are the fritters arranged on the plate??,stacked,fritter
323,bda6d321a180707,How would you describe the corn fritters in terms of freshness?,fresh,What type of food is shown in the image?,fritters,What color are the corn fritters?,yellow,What color are the fritters that are golden-brown?,golden-brown,Where are most of the fritters located??,on the right side,fritter
324,b057149cf5a2652,How are the corn fritters arranged in the bowl?,piled,What is visible in the fritters?,corn,What color is the bowl?,white,What is the color of the corn fritters?,in color,How are the fritters positioned in the bowl??,together,fritter
325,f7f8332246a7d7c,Where are the buffalo chicken fritters located?,located on,What type of food are the golden-brown items?,fritters,What is drizzled on top of some of the fritters?,drizzled,What color is the glaze or sauce on the fritters?,orange,What type of ingredients are embedded within the fritters??,vegetables,fritter
326,400583473b99850,What color are the banana fritters?,golden-brown,What type of food is shown in the image?,fritters,What is covering the surface of the banana fritters?,dusted,Where are the banana fritters placed?,on a plate,What color is the plate??,reddish-brown,fritter
327,ff32636aaf4fef6,What is the shade of the fritters?,brown,What type of food is shown in the image?,fritters,How are the fritters placed in the image?,arranged,What are the reddish specks on the fritters likely from?,spices,Where are the fritters arranged in the image??,in the center,fritter
328,ccffb8170b6c1ef,What is the color of the cake's crumb?,light,What is the main subject of the image?,cake,What color is the cake's crumb?,yellow,Where is the slice of cake located?,on a plate,What color is the baking pan in the upper-left corner??,golden,fritter
329,ff271bf05d69c33,What color is the plate?,white,What type of fritters are shown?,pumpkin,What color are the edges of the fritters?,brown,How do the fritters appear to be prepared?,cooked,Where are the pumpkin fritters placed??,on a white plate,fritter
330,fbdcaf2795a33bf,Are the fritters suitable for a vegan diet?,vegan,What type of food is shown in the image?,fritters,What color is the sweet potato in the fritters?,orange,Where are the basil leaves placed?,on top,What is visible on some of the smaller fritters due to cooking??,browning,fritter
331,90566bb352454ee,What is the flavor of the frosting on the stack?,chocolate,What is the arrangement of the chocolate-frosted items?,stack,What does the chocolate frosting do to the stack?,covers,What color is the chocolate frosting?,brown,Where is the stack of chocolate-frosted items placed??,on a plate,frost
332,e6137604b1c2c62,What is the shape of the frosting on the cupcakes?,swirled,What type of dessert is shown in the image?,cupcakes,What color is the frosting?,off-white,Where is the frosting located on the cupcakes?,on top of,What is behind the front cupcake in the image??,background,frost
333,a238a1570e7fe42,What is the shape of the frosting?,swirled,What color is the frosting?,pink,What is the dessert in the image?,cupcake,What fruit is in the frosting?,cherry,Where is the frosting located??,on top of,frost
334,7b396d31b069823,What is the bowl made of?,glass,What is the color of the frosting?,clear,What is the texture of the frosting?,creamy,What is the color of the frosting described as?,off-white,Where is the circular peak of the frosting located??,in the center,frost
336,262505f8b608e61,What color is the frosting on the cupcakes?,blue,What type of dessert is shown in the image?,cupcake,Where is the whipped frosting present?,present on,What is the style of the frosting pattern?,decorative,What color is the center of the swirls in the frosting??,white,frost
337,310351fb8cbc834,What is the main flavor of the frosting?,chocolate,What color are the walnuts in the frosting?,brown,Where is the German Chocolate Frosting with Walnuts located?,located on,How would you describe the surface of the frosting?,textured,What is the frosting creating on top of the cakes and cupcakes??,creating,frost
338,5a9caa81c8a0a3f,What color is the frosting on the cake?,pink,What does the frosting cover?,covers,What is the dessert in the image?,cake,What is the texture of the frosting on the sides?,glossy,Where is the swirled pattern located??,on top,frost
339,4ab3ad29ac696bf,What color is the cream cheese frosting?,creamy,Where is the cream cheese frosting located?,located between,What is the cream cheese frosting applied to?,cake,What color is the frosting described as?,off-white,What does the cream cheese frosting cover??,covers,frost
340,9035d6cd6d2241c,What is the color of the Becel Buttercream Frosting?,frosting,What does the frosting do to the cupcakes?,tops,What is the color of the frosting on the cupcakes?,white,What is the container for the large quantity of frosting?,bowl,Where is the glass bowl located??,in the background,frost
341,543edd50d045a13,What is the color of the frosting on the cupcake?,smooth,What is the dessert in the image?,cupcake,What color is the frosting on the cupcake?,white,What is the pattern of the red lines on the frosting?,drizzled,Where does the frosting extend beyond the cupcake??,over the edges,frost
342,a2f209003aca241,What color is the frosting on the cake?,white,What does the frosting cover?,covers,What type of cake is covered by the frosting?,cake,What color is the cake?,red,Where is the smooth layer of frosting formed??,on the top,frost
343,d5e6b885904e072,What color is the frosting in the first bowl?,yellowish-white,Where is the first bowl located?,located,What are the containers holding the frosting?,bowls,What color is the frosting in the second bowl?,pink,What is inside the fifth bowl??,in the bowl,frost
344,30a5f2d3a332635,What color is the frosting?,frosting,What does the frosting do to the cake?,covers,What color is the frosting?,white,What color are the sprinkles?,colorful,Where are the sprinkles located??,on the top,frost
345,68f45bc66f3a82c,What color is the frosting?,white,What type of dessert is shown?,cupcakes,What shape is the frosting on the cupcakes?,swirls,What color is the decoration on the left cupcake?,orange,Where is the frosting located??,on top of,frost
346,70436e079c11c73,What color is the candy corn in the middle?,orange,What does the frosting cover?,covers,What is the dessert under the frosting?,brownie,What type of candy is on the plate?,candy corn,Where are the other three candy corn pieces located??,at the lower part,frost
347,75bdc01a3bbdc3e,What color is the frosting on the cookie?,white,What does the frosting cover on the cookie?,covers,What color are the sprinkles on the frosting?,blue,What is the base food item in the image?,cookie,Where are the blue sprinkles located??,across the frosting,frost
348,10c2b88fde2b652,What color is the brownie?,brown,What does the frosting cover?,covers,How does the frosting appear on the brownie?,thick,What is the dessert in the image?,brownie,What part of the brownie does the frosting cover??,of the brownie,frost
349,fe30459c58374b7,How do the gingerbread cookies appear in the image?,appear,What type of cookies are shown in the image?,gingerbread,What color is the plate under the gingerbread cookies?,white,Where is the single gingerbread cookie located?,on the left,What color is the frosting in the small bowl on the left side of the image??,green,frost
350,0de51666d9bbd9c,What word describes the color of the frosting?,rich,What does the frosting evenly do to the cake?,coats,What is the dessert in the image?,cake,What color is the frosting?,brown,Where is the cake placed??,on the plate,frost
351,4295b80a33c6cee,What color is the frosting on the cake?,white,What is the frosting doing to the surfaces of the cake?,covering,What is the white layer on top of the cake?,cake,How does the frosting on the top of the cake appear?,textured,Where is the frosting located on the cake??,on the top,frost
352,0f50dbdb46a403f,What type of frosting is shown in the image?,dairy-free,Where is the spatula partially located?,submerged,What tool is used to interact with the frosting?,spatula,What color is the spatula?,green,Where is the spatula positioned in relation to the frosting??,in the top-center,frost
353,45f107a542bfae5,What color is the paper cup of the first fruit cup?,orange,What is the container used for the first fruit cup?,cup,What is on top of the first fruit cup?,topped,What color is the nut on top of the second fruit cup?,brown,Where is the sprig of green parsley located??,in the lower left,fruit
355,5c3cdb1755f5c5a,"What color are the large, cube-shaped fruit pieces towards the top right and center?",reddish-brown,What type of food is Mom's Curried Fruit made of?,fruit,Where are the pale yellow pieces located in the image?,occupying,What color are the fruit pieces mixed in with the darker fruits at the bottom?,yellow,Where are the deeper reddish-purple fruit pieces located??,at the bottom,fruit
356,ade586f60fe9960,What color are the bowls?,white,What are the fruits served in?,bowls,What is the fruit topping served as?,topping,What color is the ice cream?,light,Where is the bowl with the ice cream located??,on the left,fruit
357,8dc37257793b27b,What color is the glass bowl?,blue,What is the bowl made of?,bowl,What color are the mango chunks?,yellow,Where is the bright red strawberry located?,towards the front,What color are the mint leaves??,green,fruit
358,d65d8b67fc4fbac,What is the name of the fruit starter in the image?,Friendship,What color is the Friendship Fruit Starter?,pinkish-red,What is the Friendship Fruit Starter contained in?,glass,Where in the jar is the Friendship Fruit Starter located?,in the center,What is the main ingredient in the Friendship Fruit Starter??,fruit,fruit
360,abb25194f40a91c,What type of food is shown in the image?,fries,What is the bowl held by?,held,What color is the bowl?,white,What color is the seasoning on the fries?,reddish-brown,Where are some of the fries located??,out of the bowl,fry
361,97145150b1c3a0a,How are the fries arranged on the plate?,arranged,What color is the plate?,blue,What type of fries are shown in the image?,fries,What color is the melted cheese?,orange,Where is the melted cheese located??,on top of,fry
362,feb84263867baee,What color is the tray?,white,What type of food is in the tray?,fries,What color is the melted cheese?,yellow,Where are the caramelized onions scattered?,across the fries,What is the texture of the sauce??,creamy,fry
363,459eb9960686074,What is the main ingredient of the fries?,avocado,What color is the interior of the fries?,green,What color is the exterior of the fries?,golden-brown,What type of food is shown on the plate?,fries,Where are the avocado fries placed??,on a white plate,fry
364,29403f000ec6d18,What type of food is shown in the image?,fries,How are the fries arranged on the plate?,overflowing,Where are the fries placed?,plate,Where are some of the fries scattered?,scattered towards,What are the fries garnished with??,garnished,fry
365,90b58ce68d02261,What color is the crust of the Suikerbrood?,brown,Where does one half of the Suikerbrood sit?,sits,What color is the cutting board?,white,What is the Suikerbrood classified as?,food,Where is one half of the Suikerbrood located??,on the upper left,fry
366,eb0f930a23e4cbb,What color are the polenta fries?,golden-yellow,What is the main ingredient of the fries?,polenta,What color is the plate?,white,Where are some of the fries placed?,on top of,What color are the small herbs??,green,fry
367,8df60b4e6017242,How would you describe the fries?,yummy,What is the food served on?,plate,What color is the melted cheese?,orange,How is the meat distributed on the fries?,sprinkled,Where is the parsley located??,on top of,fry
368,a88c7dd881219e4,What color are the French fries in the casserole?,golden-yellow,What type of dish is the food in the image?,casserole,What color is the melted cheese on the casserole?,white,Where are the reddish-brown pieces of bacon located?,across the top,What color are the darker spots on the casserole??,brown,fry
369,17b989adaf9150e,What color is the plate?,white,What type of food is described as golden brown?,fries,What color are some of the fillings?,golden brown,What color are some of the other fillings?,orange,Where are the green spices sprinkled??,on top of,fry
370,dbba7dd5b2719c7,What color are the yam fries?,purple,What type of vegetable are the fries made from?,yam,Where does the pile of fries sit?,sits,What color is the plate?,white,Where is the glass of sour cream sriracha sauce located??,to the left,fry
371,1e730eec2e21a6c,What type of food is shown in the image?,fries,How is the parmesan cheese distributed on the fries?,sprinkled,What color is the parmesan cheese?,white,What type of cheese is sprinkled on the fries?,parmesan,Where are the fries piled in the image??,in the center,fry
372,978366884bb1331,What color are the fries due to the seasoning?,orange,What type of food is shown in the image?,fries,Where are the fries placed?,bowl,How are the three fries positioned in the center?,upright,Where is the shorter fry placed??,in the center,fry
373,6e1e0730a360e40,What color are the fries?,golden-yellow,What is the main ingredient in the dish?,fries,Where are the fries placed?,on a white plate,What color is the kimchi?,red,How are the fries arranged around the base??,scattered,fry
374,cf4f416da8b0682,What color are the well-fried potatoes?,golden-brown,What is the container holding the potatoes?,bowl,What color are the softer potato cubes?,yellow,What is the main ingredient in the dish?,potatoes,Where are the black specks visible??,on the surface,fry
375,1ce4118bc3295a8,What is the texture of the sauce in the dish?,creamy,What is the color of the plate?,plate,What is the primary color of the stir fry?,beige,Where are the orange-red vegetable pieces located in the dish?,scattered throughout,What type of ingredient is scattered throughout the dish??,vegetable,fry
376,da9f8286de121c3,What color are most of the turnip fries?,yellow,What are the turnip fries shaped like?,fries,What is on the surface of the turnip fries?,coating,Where are some of the turnip fries located?,scattered around the edges,How do the turnip fries differ in size??,vary,fry
377,326171073707d8f,What color are most of the fries?,yellow,What type of food is shown in the image?,fries,What color is the sauce in the side compartment?,red,Where is one of the fries partially dipped?,in the sauce,What texture do the edges of the fries have??,crispy,fry
378,60f9fe255af5408,What color is the bowl containing the fry sauce?,orange,What is the fry sauce contained in?,bowl,Where is the bowl positioned relative to the french fries?,positioned to the left,What color are the french fries?,golden-yellow,How does the fry sauce appear in terms of consistency??,appears,fry
379,35345d5e2230a94,How were the fries cooked?,fried,What color is the exterior of the fries?,golden-brown,What type of food is shown in the image?,fries,What color are the herbs on the fries?,green,Where is the parsley garnish located??,on the upper left corner,fry
380,5807760ff9a87b2,What color are the fries?,golden-yellow,What type of food is shown in the image?,fries,How are the fries arranged on the plate?,piled,Where are the fries located in the image?,in the center-left,What color is the plate??,white,fry
381,31a73c5685e4cac,How were the yuca fries cooked?,fried,What type of food is shown in the image?,fries,What color are the yuca fries?,golden-brown,Where are the yuca fries placed?,plate,What is the color of the plate??,on a white plate,fry
382,a9c7fa28ed37744,What is the primary color of the fries?,yellow,What vegetable are the fries made from?,potato,What color is the skin on some of the fries?,reddish-brown,Where are the fries placed?,on a plate,What is sprinkled on the surfaces of the fries??,sprinkled,fry
383,70ec8b87376567e,What color are the sweet potato fries?,orange,What type of fries are shown in the image?,fries,What green herb is scattered around the fries?,parsley,What is the taste of the fries described as?,sweet,How are some of the fries positioned near the center??,on each other,fry
384,5ea650f5b2ce17a,What color are the sweet potato fries?,orange,Are the fries arranged in a way that some are on top of others?,overlapping,What shade is visible on some of the fries due to baking or frying?,browned,What is sprinkled on the surface of the fries?,spice,Where is the spice visible??,on the surface,fry
385,1dd7f2fb7506de8,What color are the fries?,golden-brown,What type of food is shown in the image?,fries,What color is the paper towel?,white,Where are the fries placed?,on the paper towel,What is the texture of the fries??,coated,fry
386,7c129fc997259d2,What color are the fries?,yellow,What type of food is shown in the image?,fries,What is sprinkled on the fries?,cheese,What color is the sauce in the bowl?,reddish-brown,Where is the bowl of sauce located relative to the fries??,to the left,fry
387,913cc584a2354bc,What color are the fries?,golden-brown,What type of food is shown in the image?,fries,How are the fries arranged on the plate?,scattered,Where are the fries placed?,plate,Where are the fries scattered??,across the right side,fry
388,fc1da8c4df48f8d,What color are the fries?,golden,What type of food is shown in the image?,fries,What is the primary color of the fries?,yellow,What is the color of the fries?,in color,Where are the fries placed??,basket,fry
389,b6182116540482e,What color are the butternut squash fries?,orange,What type of food is shown in the image?,fries,What vegetable is used to make the fries?,butternut squash,How are the fries arranged on the baking sheet?,scattered,Where are the fries placed??,on a baking sheet,fry
391,41c9ba7f74c6e40,What color are the fries mostly?,golden brown,What type of food is shown in the image?,fries,What color is the sriracha sauce?,reddish-orange,Where is the sriracha sauce placed?,on top,What is sprinkled over the fries??,spice,fry
392,3569354726cd6ea,What color are the fries?,golden-yellow,What type of food is shown in the image?,fries,How are the fries arranged in the image?,scattered,What color is the chili seasoning on the fries?,reddish-brown,Where are the lighter colored food items located??,with,fry
393,efe8940af253802,What color are the air fryer french fries?,golden,What food is shown in the image?,fries,What color is the plate?,blue,Where are the fries placed?,in color,What is the color of the plate??,of plate,fry
