reference,hypothesis,gpt_score
on the left side,on the left,0.9
white,white,1.0
clear,clear,1.0
pickles,vegetables,0.3
green,green,1.0
in a jar,contained,0.3
melted,melted,1.0
pie,pizza,0.5
tan,golden-brown,0.2
silver,silver,1.0
apricot,apple,0.4
golden-brown,golden-brown,1.0
pies,cookies,0.2
uneven,crispy,0.1
pie,pie,1.0
white,white,1.0
green plate,green,0.8
yellow,yellow,1.0
pierogi,wontons,0.4
on the plate,on a plate,0.9
center,in the center,0.9
white,white,1.0
pinkish-red,red,0.8
on a plate,on a plate,1.0
rice,rice,1.0
inside the bowl,in a bowl,0.9
yellow,white,0.2
scattered,scattered,1.0
rice,rice,1.0
red,red,1.0
on the left,on top of,0.1
large,large,1.0
to the lower left,on the right,0.0
chocolate,chocolate,1.0
brown,brown,1.0
on the left,on the left,1.0
hot,hot,1.0
brown,brown,1.0
on top,on top of,0.9
bread,bread,1.0
brown,beige,0.5
on the plate,on top of,0.6
crumbs,sprinkled,0.2
white,white,1.0
bread,bread,1.0
red,red,1.0
tan,tan,1.0
on a white plate,on top of,0.2
arranged,scattered,0.1
pear,apple,0.5
on top of,on top of,1.0
silver,silver,1.0
pizza,tortillas,0.2
red,red,1.0
beige,beige,1.0
on a round,round,0.9
golden-brown,golden-brown,1.0
on the left,located,0.2
plum bread,cornbread,0.2
white,white,1.0
tan,brown,0.2
cracked,crispy,0.2
on a plate,on a wooden surface,0.4
pink,green,0.1
plate,plate,1.0
red,light,0.1
parsley,parsley,1.0
polenta,omelet,0.1
yellow,yellow,1.0
green,green,1.0
polenta,casserole,0.2
in the lower center,located in,0.3
roasted,mixed,0.2
beige,white,0.2
chicken,chicken,1.0
yellow,beige,0.5
cream,beige,0.5
yellow,orange,0.7
rice,rice,1.0
brown,brown,1.0
in light yellow,white,0.3
interspersed,scattered,0.8
rice,rice,1.0
red,red,1.0
green,green,1.0
above the rice,on top of,0.7
pink,pink,1.0
cake,cupcakes,0.8
colorful,colorful,1.0
on a light brown surface,on a wooden surface,0.6
brown,brown,1.0
ice pops,crackers,0.0
white,white,1.0
on a white plate,on a plate,0.8
blurred,on a white plate,0.0
brown,brown,1.0
cookies,cookies,1.0
on a metal baking sheet,on a baking sheet,0.8
shiny,glossy,0.9
rice,brown,0.3
brown,golden-brown,0.8
stacked on,arranged,0.3
pink,pink,1.0
bowl,bowl,1.0
brown,brown,1.0
almonds,almonds,1.0
jar,jar,1.0
on the same surface,on top of,0.8
orange,orange,1.0
on the bottom center,wooden,0.0
green,green,1.0
vibrant,orange,0.5
sweet potatoes,potatoes,0.7
orange,white,0.1
within the bowl,on top of,0.1
brown,brown,1.0
apples,apples,1.0
white,white,1.0
yellow,yellow,1.0
in a bowl,in a bowl,1.0
applesauce,bowl,0.1
blue,blue,1.0
red,red,1.0
on a surface,on a wooden surface,0.9
applesauce,golden-brown,0.1
golden-brown,golden-brown,1.0
scooped,adding,0.0
white,white,1.0
in the bowl,located in,0.3
golden-amber,yellow,0.6
jar,jar,1.0
yellow,yellow,1.0
on the table,on a wooden surface,0.6
white,white,1.0
meat,meat,1.0
carrots,cabbage,0.2
fried,cut,0.1
on the plate,located in,0.2
adjacent,to the left,0.4
green,green,1.0
artichoke,zucchini,0.2
white,white,1.0
to the right,on the left,0.0
green,green,1.0
asparagus,asparagus,1.0
arranged,scattered,0.1
green,green,1.0
asparagus,asparagus,1.0
upwards,towards,0.5
on top of,on the plate,0.3
green,green,1.0
avocado,pineapple,0.1
white,white,1.0
on its outer skin,on top,0.3
scattered,on top,0.0
green,green,1.0
pie,pie,1.0
white,white,1.0
on top,on top of,0.9
golden-brown,golden-brown,1.0
avocado,tofu,0.1
green,green,1.0
on a white square plate,on a plate,0.5
vary,vegan,0.1
raspberries,raspberries,1.0
scattered,scattered,1.0
red,red,1.0
on the white cloth,baking,0.0
glistening,glossy,0.8
bacon,ham,0.5
dark brown,brown,0.8
separated by,to the left,0.1
bacon,ham,0.5
oven,on a grill,0.2
on a wire rack,on a grill,0.3
golden-brown,golden-brown,1.0
bagel bites,cookies,0.1
blue,in the center,0.0
in the bottom half,visible,0.1
broken,white,0.0
golden-brown,golden-brown,1.0
bagels,donuts,0.6
spice,sprinkled,0.2
on a wire rack,on a black wire rack,0.9
pumpernickel,bread,0.7
brown,brown,1.0
bagels,donuts,0.6
on a black wire rack,on a black wire rack,1.0
white,white,1.0
golden-brown,golden-brown,1.0
melted,melted,1.0
plate,plate,1.0
sesame,sesame,1.0
on the left,located in,0.2
white,white,1.0
cheese,cheese,1.0
sausage,mushrooms,0.1
brown,brown,1.0
within the cheese,on top of,0.1
beige,beige,1.0
bananas,banana,1.0
yellow,yellow,1.0
to the left of,to the left,0.9
brown,brown,1.0
chocolate,chocolate,1.0
loaves,bars,0.3
golden-brown,golden-brown,1.0
towards the center,on the left,0.0
fries,fries,1.0
brown,golden-brown,0.8
white,white,1.0
on a plate,on a plate,1.0
bananas,mango,0.2
golden-yellow,yellow,0.8
in coconut milk,milk,0.5
bowl,bowl,1.0
golden-brown,golden-brown,1.0
banana,apples,0.2
together,stacked,0.5
tempura,casserole,0.1
irregular,round,0.0
yellow,yellow,1.0
banana,blueberries,0.2
white,white,1.0
on top of,on the plate,0.3
dark blue,blue,0.7
golden,brown,0.3
bars,rectangular,0.2
white,brown,0.2
reddish-brown,brown,0.7
chicken,chicken,1.0
white,white,1.0
on top of,on top of,1.0
green,green,1.0
mix,mix,1.0
white,white,1.0
dispersed,scattered,1.0
orange,orange,1.0
of beef,beef,1.0
white,white,1.0
chicken,chicken,1.0
brown,white,0.1
green,green,1.0
at the bottom,located in,0.2
overlapping,arranged,0.1
Sea Bass,halibut,0.3
white,white,1.0
on the left side,in the center,0.2
green,green,1.0
yellowish,browned,0.3
scattered,scattered,1.0
sea bass,halibut,0.4
on the rack,on a black wire rack,0.7
green,green,1.0
smooth,smooth,1.0
batter,chocolate,0.0
brown,light,0.1
on top,scattered,0.0
yes,scattered,0.0
tangy,spicy,0.4
beef,beef,1.0
tan,tan,1.0
orange,red,0.2
shredded,shredded,1.0
meat,meat,1.0
coating,glossy,0.3
yellowish,golden-brown,0.7
chicken,chicken,1.0
reddish-brown,reddish-brown,1.0
ribs,chicken,0.2
grill,on a grill,0.9
unevenly,scattered,0.7
on the top,on top,0.9
tasty,glistening,0.2
pan,skillet,0.3
green,green,1.0
green beans,beans,0.7
in the center,in the center,1.0
reddish-brown,brown,0.7
orange,orange,1.0
with other ingredients,mixed,0.5
plate,plate,1.0
green,green,1.0
beans,beans,1.0
tangled,scattered,0.5
yes,visible,0.0
in the bottom center,in the center,0.6
glossy,textured,0.2
beans,beans,1.0
peppered,pepper,0.8
overlapping,scattered,0.0
throughout the entire image frame,in the center,0.2
tan,brown,0.2
bowl,bowl,1.0
fill,fills,0.9
brown,brown,1.0
in the broth,in the center,0.2
sliced,sliced,1.0
beef,beef,1.0
brown,brown,1.0
with peppers,mixed,0.2
slow,grilled,0.0
reddish-brown,reddish-brown,1.0
meat,meat,1.0
in the upper-right portion,in the center,0.2
brown,brown,1.0
white,white,1.0
at the top,at the top,1.0
glasses,glasses,1.0
amber,reddish-brown,0.4
surface,on the rim,0.2
red,red,1.0
beets,potatoes,0.2
green,green,1.0
yellow,yellow,1.0
cake,cake,1.0
on a clear glass,plate,0.0
yellow,yellow,1.0
biscuits,cookies,0.8
clustered,stacked,0.3
baked,cut,0.1
golden-brown,golden-brown,1.0
pale,white,0.6
cream,white,0.5
on a wire rack,located,0.2
beige,yellow,0.3
biscuits,cookies,0.8
orange,orange,1.0
across the image,in the center,0.2
flaky,crispy,0.3
light-colored,blue,0.3
blondies,pie,0.0
brown,golden-brown,0.8
on top,on top,1.0
drizzle,chocolate,0.0
purple,purple,1.0
blueberries,blueberries,1.0
pink,pink,1.0
bowl,bowl,1.0
under the bowl,on the plate,0.2
golden-brown,golden-brown,1.0
reddish-brown,reddish-brown,1.0
covering,filling,0.3
plate,pasta,0.2
yellow,yellow,1.0
in the center,in the center,1.0
green,green,1.0
spinach,spinach,1.0
avocado,green,0.3
closer to,on top of,0.2
tan,brown,0.2
rice,rice,1.0
on the left side,in the center,0.2
green,green,1.0
reddish-brown,brown,0.7
brats,kielbasa,0.1
green,green,1.0
draped over,on top of,0.5
liquid,with,0.0
walnuts,nuts,0.7
speckled,fresh,0.1
on top,on top,1.0
white,brown,0.2
loaf,bread,1.0
tan,brown,0.2
overlapping,arranged,0.1
on the board,on a wooden cutting board,0.8
white,beige,0.7
golden-brown,golden-brown,1.0
stacked,stacked,1.0
beige,golden-brown,0.6
bread,bread,1.0
creamy,beige,0.2
on a wire rack,on a black wire rack,0.9
bright,white,0.6
orange,yellow,0.3
around the eggs,scattered,0.2
brown,brown,1.0
beef brisket,beef,0.5
green,green,1.0
gravy,sauce,0.7
on the plate,in the center,0.2
golden-brown,golden-brown,1.0
within,on top of,0.1
brown,brown,1.0
beef,beef,1.0
green,green,1.0
on a plate,on the plate,0.9
rice,rice,1.0
broccoli,broccoli,1.0
green,green,1.0
red,red,1.0
cooked,sliced,0.2
on a plate,on the plate,0.9
broth,sauce,0.6
green,green,1.0
within the broth,in the center,0.2
square,rectangular,0.5
brown,brown,1.0
on top,on top of,0.9
green,green,1.0
brown,brown,1.0
shiny,glistening,1.0
pecans,pecans,1.0
brown,brown,1.0
brownies,cake,0.5
cracked,smooth,0.0
walnuts,chocolate,0.1
on top of,on top of,1.0
dark-brown,brown,0.8
arranged,arranged,1.0
brownies,cake,0.5
within the chocolate,on top,0.0
white,white,1.0
bruschetta,sandwich,0.4
red,red,1.0
on the center,on the plate,0.2
toasted,bread,0.5
melted,melted,1.0
black,plate,0.0
red,red,1.0
on top,on top of,0.9
reddish-brown,reddish-brown,1.0
beef,beef,1.0
glistening,glossy,0.8
on top of,in the center,0.2
orange,orange,1.0
one-third,in the image,0.0
burgers,meatballs,0.2
brownish-tan,brown,0.8
of the burgers,meatballs,0.0
green,green,1.0
white,white,1.0
melted,melted,1.0
orange,yellow,0.3
in the dish,located in,0.5
layers,stacked,0.7
vegan,vegan,1.0
burritos,burritos,1.0
tan,brown,0.2
on top,on top of,0.9
sweet,sweet,1.0
burritos,burritos,1.0
black,red,0.0
on a black plate,on a plate,0.7
orange,orange,1.0
white,white,1.0
cupcake,cake,0.7
light blue,white,0.2
on top of,on top of,1.0
rectangular,rectangular,1.0
cake,cake,1.0
blue,blue,1.0
caramel,chocolate,0.3
around the perimeter,on top,0.1
shredded,shredded,1.0
cabbage,beets,0.2
on the top-right,in the center,0.1
white,bowl,0.1
pinkish-red,red,0.8
white,white,1.0
bowl,bowl,1.0
breadcrumbs,cheese,0.1
golden,golden-brown,0.8
shredded,shredded,1.0
green-cabbage,cabbage,0.8
white,white,1.0
orange,orange,1.0
within the salad,on top of,0.2
reddish-orange,orange,0.7
cabbage,cabbage,1.0
yellowish-green,yellow,0.5
beans,beans,1.0
in the center,in the center,1.0
cabbage,carrots,0.2
brown,brown,1.0
on top of the plate,on top of,0.8
orange,orange,1.0
Evenly-distributed ,scattered,0.2
floating in,in the center,0.2
red,red,1.0
orange,orange,1.0
light-brown,brown,0.8
chicken,chicken,1.0
red,red,1.0
on the right side,in the center,0.2
spaghetti,noodles,0.8
reddish-brown,red,0.6
chicken,meatballs,0.2
light-yellow,yellow,0.8
in the center,on top of,0.1
light,yellow,0.3
chicken,sausage,0.3
red,red,1.0
cheese,sprinkled,0.1
golden,golden-brown,0.8
calamari,clams,0.3
arranging,arranged,0.9
white,white,1.0
on the plate,on top of,0.6
yellow,yellow,1.0
bowl,bowl,1.0
brown,brown,1.0
on top of,on top of,1.0
yellow,yellow,1.0
plate,plate,1.0
beef,beef,1.0
brown,brown,1.0
in broth,with,0.1
yellow,yellow,1.0
chocolate,chocolate,1.0
candy,blondies,0.2
brown,yellow,0.2
right of orange ribbon,to the left,0.0
brown,brown,1.0
sugar,chocolate,0.5
white,white,1.0
to the left,on top of,0.0
brownish-red,reddish-brown,1.0
meat,meat,1.0
dark brown,brown,0.8
charred,browned,0.7
vegetables,meat,0.0
hard,coated,0.1
candy,chips,0.2
orange,orange,1.0
coated,with,0.0
throughout,in the center,0.1
green,green,1.0
candy,jerky,0.1
reddish-brown,reddish-brown,1.0
center,in the center,0.9
on the plate,on a plate,0.9
red,red,1.0
poured,drizzled,0.6
candy,cake,0.3
translucent,translucent,1.0
on a piece,on top of,0.4
yellow,yellow,1.0
center of the image,in the center,0.8
fluffy and toasted,glistening,0.1
meringue,pie,0.2
silver,golden-brown,0.2
light-green,yellow,0.2
pasta,pasta,1.0
black,brown,0.4
in a creamy sauce,cheese,0.2
silver,gray,0.5
brown,brown,1.0
meat,soup,0.2
bubbling,filling,0.2
yellow-brown,brown,0.7
orange,orange,1.0
carrots,carrots,1.0
white,white,1.0
orange,orange,1.0
carrots,carrots,1.0
glistening,glistening,1.0
in the center,in the center,1.0
green,green,1.0
yellowish,yellow,0.8
rice,mushrooms,0.1
orange,orange,1.0
green,green,1.0
cashews,pecans,0.3
tan,golden-brown,0.2
Piled randomly,piled,0.8
on a purple surface,on a wooden surface,0.2
triangular,rectangular,0.3
casserole,casserole,1.0
green,green,1.0
with cheese,mixed,0.1
egg,cheese,0.1
beige,golden-brown,0.6
catfish,salmon,0.2
reddish-orange,red,0.7
in the upper-center,in the center,0.7
fried,cut,0.1
golden-brown,golden-brown,1.0
catfish,salmon,0.2
center,located,0.4
green,green,1.0
on the foreground,in the center,0.3
fills,fills,1.0
cauliflower,potatoes,0.2
blue,blue,1.0
yellow,yellow,1.0
creamy,creamy,1.0
mac-n-cheese,salad,0.0
white,white,1.0
orange-yellow,yellow,0.7
off-white,white,0.5
cauliflower,cauliflower,1.0
green,green,1.0
broccoli,broccoli,1.0
broccoli,broccoli,1.0
glass jars,jars,0.8
white,white,1.0
orange,orange,1.0
on the countertop,on a wooden surface,0.6
golden-brown,golden-brown,1.0
bread,bread,1.0
on the cutting board,on top of,0.4
yellow,yellow,1.0
dark green,green,0.8
chard,spinach,0.3
garlic,garlic,1.0
white,white,1.0
in a bowl,located in,0.3
rainbow,red,0.2
chard,kale,0.3
green,green,1.0
in a bowl,in the center,0.2
vegetables,onions,0.8
cheeseburger,burger,0.8
yellow,yellow,1.0
golden-brown,yellow,0.5
pickle,zucchini,0.1
on a white plate,on a plate,0.8
tan,tan,1.0
burger,sandwich,0.7
orange,orange,1.0
located to the left,to the left,0.9
beige,beige,1.0
filling,covering,0.3
right side of the image,in the center,0.1
silver,blue,0.1
golden-brown,brown,0.7
cheesecake,cake,0.7
white,white,1.0
sprinkled,sprinkled,1.0
white,golden-brown,0.3
cheesecake,pie,0.3
blue,blue,1.0
on the plate,on top of,0.6
syrup,drizzled,0.2
red,red,1.0
jar,jar,1.0
on top of,jar,0.1
dark-brown,brown,0.8
cheesecake,cake,0.6
glaze,creamy,0.1
strawberries,strawberries,1.0
on top of,on top,0.9
creamy,creamy,1.0
cherries,blueberries,0.2
fills,fills,1.0
purple,purple,1.0
throughout the bowl,scattered,0.1
red,orange,0.5
cherries,cherries,1.0
brown,brown,1.0
on the left,located,0.2
orange,orange,1.0
browned,brown,0.8
chicken,chicken,1.0
on top of the plate,in the center,0.3
parsley,parsley,1.0
golden,golden-brown,0.8
brown,golden-brown,0.8
reddish-brown sauce,reddish-brown,0.9
on and around the chicken,on top,0.3
yellow,yellow,1.0
red,red,1.0
sprinkled on top,on top,0.7
fork,spoon,0.7
crispy,creamy,0.1
large,large,1.0
chili,meat,0.1
red,reddish-brown,0.7
in a pot,in the bowl,0.3
sausage,beef,0.2
green,green,1.0
bowl,bowl,1.0
in the bowl,located in,0.3
green,pink,0.1
dip in,submerged,0.3
scattered,scattered,1.0
chips,vegetables,0.1
green,green,1.0
golden-yellow,orange,0.5
towards the central region,in the center,0.8
swirled,striped,0.2
tan,brown,0.2
many,filling,0.0
rectangular,bars,0.2
in clear plastic,glass,0.2
dessert,dessert,1.0
clear,clear,1.0
raspberries,raspberries,1.0
scattered,scattered,1.0
on a metallic surface,on top of,0.3
chocolate,brown,0.3
brown,yellow,0.2
golden-brown,white,0.0
on top of,on top of,1.0
creamy,creamy,1.0
cake,chocolate,0.5
brown,brown,1.0
on top,on top of,0.9
chocolate,chocolate,1.0
drizzled,covering,0.2
brown,chocolate,0.7
ice cream,ice cream,1.0
white,white,1.0
at the bottom,bowl,0.1
yellow,yellow,1.0
bowl,bowl,1.0
dispersed,scattered,1.0
carrots,carrots,1.0
on the surface,on top of,0.8
corn,corn,1.0
brown,reddish-brown,0.8
yellow,yellow,1.0
across the surface,scattered,0.2
red,red,1.0
bowl,bowl,1.0
center of the bowl,located in,0.2
fills,fills,1.0
pulpy,thick,0.5
jar,jar,1.0
brownish-yellow,brown,0.7
with the chutney,filling,0.0
label,jar,0.1
red,yellow,0.2
apple,apples,0.9
slices,with,0.0
green,green,1.0
in a clear liquid,on the left,0.0
white,white,1.0
bowl,bowl,1.0
brown,brown,1.0
in the center,in the center,1.0
off-white,white,0.5
chowder,chowder,1.0
sits on,sits,0.8
circle,toasted,0.0
herbs,herbs,1.0
white,white,1.0
clams,mussels,0.7
brown,brown,1.0
in a bowl,bowl,0.8
green,green,1.0
golden-brown,golden-brown,1.0
pumpkin,pumpkin,1.0
white,white,1.0
on the plate,on a plate,0.9
crumbly,crispy,0.3
golden-brown,golden-brown,1.0
cobbler,cake,0.1
yellow,yellow,1.0
with variations,crust,0.0
baking,baking,1.0
homemade,homemade,1.0
jars,jars,1.0
yes,overlapping,0.0
vegetable,orange,0.2
yes,overlapping,0.0
Cocktail,cocktail,1.0
float,fills,0.1
clear,clear,1.0
glass,glass,1.0
in a slight curve,scattered,0.1
clear,clear,1.0
glass,glass,1.0
white,white,1.0
yellow,yellow,1.0
on top of,on the rim,0.5
turquoise-blue,blue,0.7
jar,jar,1.0
red,red,1.0
on the rim,jar,0.1
shark,garnished,0.0
garnished,drizzled,0.4
orange,orange,1.0
yellow-orange,orange,0.8
Monkey Gland,martini,0.1
on the surface,at the top,0.6
yes,plate,0.0
cocoa,chocolate,0.9
no,plate,0.0
yes,light,0.0
on the upper left,visible,0.1
spiced,spicy,0.9
chocolate-brown,brown,0.8
two,scoops,0.0
on top of,behind,0.0
golden-brown,white,0.0
cod,salmon,0.3
resting,filling,0.0
on top of,on top of,1.0
glass,glass,1.0
green,green,1.0
green,green,1.0
on the rim,on the rim,1.0
vibrant red,vibrant,0.5
light,brown,0.1
mug,mug,1.0
red,red,1.0
across a light brown surface,on a wooden surface,0.5
coffe beans,seeds,0.3
clear,clear,1.0
coffee,coffee,1.0
brown,white,0.1
straw,ice,0.1
white,cream,0.8
coffee,coffee,1.0
glass,glass,1.0
whipped cream,topped,0.2
on the rim,on top of,0.3
at the center,in the center,1.0
sausages,bacon,0.3
brown with a slight char,orange,0.1
white,white,1.0
filling,filling,1.0
white,white,1.0
bowl,bowl,1.0
green,green,1.0
pink,pink,1.0
multicolored,colorful,0.9
creamy,creamy,1.0
coleslaw,coleslaw,1.0
orange,orange,1.0
in the left,on the left,0.9
onion,cabbage,0.3
green,green,1.0
bowl,bowl,1.0
orange,orange,1.0
creamy,creamy,1.0
in a glass bowl,bowl,0.5
red-purple,red,0.5
in the bowl,contained,0.1
wooden board,on a wooden cutting board,0.8
Cutting and serving,on a wooden cutting board,0.3
to the right of,in the center,0.1
yes,melted,0.0
cookie,cake,0.4
brown,brown,1.0
on the pan,on a black wire rack,0.2
clear,clear,1.0
jar,jar,1.0
brown,brown,1.0
with red ribbon,checkered,0.0
bright,vibrant,0.8
on the colorful surface,on a wooden surface,0.2
orange juice,fills,0.0
into the cooler,inserted,0.2
yellow,yellow,1.0
yes,corn,0.0
across the majority of,located,0.0
melted and browned cheese,cheese,0.5
brownish-orange,reddish-brown,0.6
light,golden-brown,0.3
golden-brown,brown,0.7
glass,bowl,0.5
on the top-left,on the left,0.7
yellow,yellow,1.0
corn,corn,1.0
mixed,mixed,1.0
red,red,1.0
brown,black,0.2
beans,vegetables,0.3
red,red,1.0
on the right,on the left,0.0
white,white,1.0
scattered,scattered,1.0
yellow,yellow,1.0
in a bowl,on top of,0.2
in a bowl,located,0.1
golden-yellow,yellow,0.8
cornbread,cornbread,1.0
black,black,1.0
coarse,crispy,0.2
golden,yellow,0.7
cornbread,cornbread,1.0
white,white,1.0
on a plate,on top of,0.6
cornbread,herbs,0.1
cornbread,cornbread,1.0
green,green,1.0
on the top-left,on the left,0.7
cottage cheese,cheese,0.7
white,white,1.0
yellow,yellow,1.0
around the cottage cheese,on top of,0.2
chicken,chicken,1.0
on the pan,in the center,0.1
spinach,spinach,1.0
white,white,1.0
in the foreground,on top of,0.5
yellow,yellow,1.0
couscous,rice,0.3
white,white,1.0
green,green,1.0
on top of,on top of,1.0
tan,beige,0.1
filling,filling,1.0
couscous,quinoa,0.5
white,white,1.0
creamy,creamy,1.0
tan,light,0.0
couscous,quinoa,0.5
red,green,0.1
green,brown,0.2
within the pot,in the center,0.2
bowl,bowl,1.0
white,yellow,0.2
beige,brown,0.7
small and round,bowl,0.5
in a white bowl,bowl,0.5
yellowish-orange,yellow,0.7
green,green,1.0
across the top,scattered,0.1
spoon,spoon,1.0
crab cakes,fish,0.2
golden,golden-brown,0.8
green,green,1.0
reddish-orange,orange,0.7
crab,mussels,0.1
clustered,scattered,0.0
sausages,chicken,0.2
red,red,1.0
pie,pie,1.0
tan,brown,0.2
golden,golden-brown,0.8
towards the left,overlapping,0.0
cranberry,sauce,0.2
chicken,chicken,1.0
light blue,white,0.2
golden brown,golden-brown,1.0
on a plate,on a plate,1.0
fills,fills,1.0
bowl,bowl,1.0
thick,thick,1.0
light brown and red,reddish-brown,0.8
in the center,in the center,1.0
crawfish,shrimp,0.6
green,green,1.0
within a white bowl,in a bowl,0.7
beige,beige,1.0
piled,piled,1.0
crawfish,shrimp,0.6
red,red,1.0
on top of,on top of,1.0
light,creamy,0.1
walnuts,almonds,0.6
beige,white,0.2
on top,on top of,0.9
bowl,bowl,1.0
soft,creamy,0.7
cream,ice cream,0.9
off-white,white,0.5
fills,fills,1.0
on top,on top of,0.9
white,white,1.0
blueberries,blueberries,1.0
brown,brown,1.0
blueberries,with,0.0
on the plate,scattered,0.1
golden brown,golden-brown,1.0
crepe,cheese,0.1
darker,browned,0.6
in the center,in the image,0.2
purple,purple,1.0
rolls,pinwheels,0.4
golden brown ,brown,0.7
flaky dough,filling,0.1
on the lower right,to the left,0.0
golden-yellow,yellow,0.8
overlap,stacked,0.1
cheese,chips,0.1
lacy,crispy,0.1
on the upper-left,located,0.2
white,white,1.0
brown,brown,1.0
on a white plate,on a plate,0.8
the crisp in the front,larger,0.0
green,green,1.0
cones,triangular,0.1
golden-brown,golden-brown,1.0
lies,arranged,0.0
brown,brown,1.0
croquettes,fritters,0.6
dark,brown,0.5
on a plate,on a plate,1.0
arranged,arranged,1.0
yummylicious,fresh,0.2
croquettes,fritters,0.6
golden,golden-brown,0.8
on a silver metal rack,on a black wire rack,0.4
brown,golden-brown,0.8
beige,white,0.2
croquettes,fritters,0.6
golden brown,golden-brown,1.0
resting on the plate,on a plate,0.8
yes,visible,0.0
pie,pie,1.0
green,green,1.0
off-white,white,0.5
on a white plate,on a plate,0.8
red,red,1.0
bowl,bowl,1.0
orange,orange,1.0
mixed,mixed,1.0
on top of,on top of,1.0
red,red,1.0
bowl,bowl,1.0
yes,filling,0.0
golden-brown,brown,0.7
at the bottom,on top of,0.0
pie,pie,1.0
red,red,1.0
beneath,on top of,0.0
brown,orange,0.2
green,green,1.0
scattered,scattered,1.0
brown,brown,1.0
berries,blueberries,0.9
atop,bowl,0.1
golden-brown,golden-brown,1.0
pie,pie,1.0
lattice,checkered,0.5
across the entire top,on top of,0.7
leaves,checkered,0.0
yellow,beige,0.4
pie,pie,1.0
crust,crust,1.0
crimped,crimped,1.0
in the center,in the center,1.0
golden,golden-brown,0.8
pie,pie,1.0
red,red,1.0
tan,yellow,0.1
dripping,melted,0.3
tan,golden-brown,0.2
premium,textured,0.1
cheese,cheese,1.0
in the lower portion,in the center,0.3
green,green,1.0
cucumbers,zucchini,0.7
white,white,1.0
creamy,creamy,1.0
throughout the image,throughout,0.8
white,white,1.0
salad,salad,1.0
red,red,1.0
on a plate,on a plate,1.0
green,green,1.0
green,green,1.0
salad,salad,1.0
visible,visible,1.0
white,white,1.0
inside a transparent bowl,in a bowl,0.7
green,green,1.0
cucumbers,zucchini,0.7
sliced,sliced,1.0
on their surfaces,on top,0.6
fresh,vibrant,0.6
cucumbers,zucchini,0.7
green,green,1.0
overlapping,scattered,0.1
yellow,yellow,1.0
margaritas,cocktail,0.7
white,white,1.0
cucumber,zucchini,0.8
on the rim,on top of,0.3
green,green,1.0
cucumber,zucchini,0.8
wooden,wooden,1.0
cucumbers,zucchini,0.7
fill,fills,0.9
white,white,1.0
in a shallow bowl,in a bowl,0.8
white,white,1.0
golden-brown,golden-brown,1.0
on a white surface,on a plate,0.5
pink,brown,0.1
reddish-brown,brown,0.7
cupcake,cupcakes,1.0
on the plate,on a plate,0.9
yellow,yellow,1.0
curd,flan,0.2
glass,bowl,0.5
submerged inside,submerged,0.8
smooth,creamy,0.8
curry,soup,0.2
white,white,1.0
golden-brown,brown,0.7
on top of,on top of,1.0
covering,covering,1.0
cake,cake,1.0
roses,swirled,0.1
swirling,scattered,0.3
over the entire surface,on top,0.5
yellow,yellow,1.0
custard,ice cream,0.5
into the custard,inserted,0.1
orange-brown,orange,0.7
custard,pudding,0.7
fills,fills,1.0
white,white,1.0
on the plate,on a plate,0.9
pale,yellow,0.3
chicken,chicken,1.0
brown,green,0.1
on top,on top of,0.9
red,red,1.0
white,white,1.0
immersing,covering,0.2
dark,black,1.0
spices,pepper,0.9
across the bowl,scattered,0.1
raspberry,strawberries,0.5
golden-brown,golden-brown,1.0
plate,on a plate,0.7
red,red,1.0
on a plate,on top of,0.6
Turkish Delight,cookies,0.2
coated,sugar,0.1
white,white,1.0
scattered,scattered,1.0
across the frame,in the center,0.2
dessert,dessert,1.0
taking,covering,0.2
white,white,1.0
on top,on top of,0.9
glossy,creamy,0.2
baking,baking,1.0
yellow,yellow,1.0
melted,melted,1.0
in a clear glass,casserole,0.0
filling,filling,1.0
bean,hummus,0.3
brown-black,brown,0.7
in the center-left,in the center,0.7
white,white,1.0
pizza,salad,0.2
red,red,1.0
across the surface,scattered,0.2
green,green,1.0
golden-brown,yellow,0.5
corn dogs,fish,0.1
reddish-brown,brown,0.7
on a white plate,on a plate,0.8
chocolate,chocolate,1.0
donuts,donuts,1.0
brown,brown,1.0
in the bottom left,in the center,0.1
white,white,1.0
pierogi,wontons,0.5
beige,beige,1.0
on plate,on a plate,1.0
fried,cooking,0.4
brown,golden-brown,0.8
doughnuts,donuts,1.0
yellow,golden-brown,0.6
stacked,arranged,0.6
on top of,in the center,0.2
doughnuts,cookies,0.3
white,white,1.0
in the center,on top of,0.1
orange-brown,brown,0.7
doughnuts,donuts,1.0
maple,chocolate,0.1
green,green,1.0
vanilla,vanilla,1.0
tan,golden-brown,0.2
in the front,in the center,0.3
salad,salad,1.0
Best,translucent,0.0
brownish,yellow,0.2
black,brown,0.4
in the lower-left corner,in the center,0.0
orange,orange,1.0
salad,salad,1.0
drizzled,drizzled,1.0
top of the salad,at the top,0.7
lettuce,lettuce,1.0
white,white,1.0
bowl,bowl,1.0
brown,brown,1.0
wasabi,sauce,0.3
towards the upper-right,in the center,0.1
orange-red,orange,0.7
fills,fills,1.0
pitcher,pitcher,1.0
white,white,1.0
to the bottom left,to the left,0.7
yellow,yellow,1.0
jar,jar,1.0
creamy,creamy,1.0
greenish,red,0.1
on a red surface,on a wooden surface,0.2
crispy,crispy,1.0
drumsticks,wings,0.3
white,white,1.0
