reference,hypothesis,gpt_score
dish,bowties,0.1
red,crimson,0.9
scattered,scattered around,0.9
eggplant,eggplant,1.0
golden-yellow,golden yellow,1.0
bowls,foreground bowl,0.8
with a brown wooden handle,brown,0.5
white,ivory,0.8
yellow,yellow,1.0
blueberries,blueberries,1.0
nestled among,on dessert,0.1
pavlova,pavlova cake,0.9
greenish-yellow,yellowish green,1.0
soup,split pea,0.7
white,ivory,0.8
submerged,inside the chowder,0.2
peas,garden peas,0.9
bowl,in bowl,0.8
Italian,european,0.5
on the right side,inside bowl,0.1
vibrant,yellowish orange,0.7
holding,scooping slices,0.2
white,"ivory, black, pale_green",0.2
in the center,center view,0.5
yellow-orange,yellowish,0.7
glasses,tall glass,0.7
wooden,wood,0.9
on the rim,on rims,0.8
reddish-yellow,yellow reddish,0.9
margaritas,margarita,1.0
served,in glass,0.1
bright,goldish yellow,0.7
glasses,margarita glasses,0.9
in the center,in frame,0.3
tea,peach juice,0.2
drinking,consuming beverage,0.9
peach,fruit drink,0.3
yellow,goldish white,0.4
to the right,next to fruit,0.1
peachy-orange,reddish orange,0.7
pitcher,glass pitcher,0.9
red,red,1.0
on the left,on surface,0.2
dark,dark brown,0.8
peanut butter,peanut,0.7
golden brown,golden brown,1.0
on the lower right,foreground right,0.4
cookie,peanut butter cups,0.2
light brown,tan,0.8
ice cream,gravy,0.1
smooth,smooth and shiny,0.8
near the top,top area,0.8
yellow,beige,0.4
muffins,cupcakes,0.7
perfect,golden brown,0.2
white,ivory,0.8
on the plate,on plate,0.9
red,dark red,0.8
in the left side,inside dish,0.1
brown,brown,1.0
pecan,pecan,1.0
white,ivory,0.8
on top,inside jars,0.0
reddish-brown,brown,0.7
tan,yellowish brown,0.2
overlapping,slightly overlapping,0.8
brown,brownish,0.8
on the cracker,on cracker,0.9
appetizer,cracker topping,0.4
penne,penne noodles,0.9
distributed,randomly scattered,0.7
red,red,1.0
cilantro,cilantro leaves,0.9
on top of,on pasta,0.2
penne,penne,1.0
red-orange,reddish,0.7
sauteed,diced and sautéed,0.8
peppers,red vegetables meatball,0.2
green,emerald,0.8
peppers,pimientos de padrón,0.8
scattered across,on plate,0.2
glistening,in pile,0.0
white,ivory,0.8
pesto,green sauce,0.7
container,ice cube tray,0.5
vibrant,vibrant hue,0.9
textured,slightly coarse,0.7
pesto,pesto,1.0
fills,white pot,0.1
white,light,0.5
on top of,into bowl,0.1
chicken,fish fillet,0.2
falling onto,onto chicken,0.1
green,verdant,1.0
scattered,next to each other,0.0
pickles,yellow squash,0.0
glass,transparent solid,0.7
full,not blank,0.5
yellow,yellow green,0.8
sliced,sliced and strips,0.8
yellowish-green,yellowish green,1.0
pickles,dill slices,0.5
on the left side,on the plate,0.2
white,white,1.0
clear,yellowish,0.2
pickles,pickled cucumbers,0.9
green,yellowish green,0.8
in a jar,inside jar,0.8
melted,melted and stretched,0.8
pie,cheesy tart,0.4
tan,beige,0.1
silver,silver,1.0
apricot,not discernible,0.0
golden-brown,golden brown,1.0
pies,fried pie,0.8
uneven,crisp golden,0.1
pie,chocolate pie,0.9
white,verdant,0.1
green plate,green,0.8
yellow,yellowish brown,0.8
pierogi,pierogi dish,0.9
on the plate,on dish,0.8
center,on dish,0.2
white,ivory,0.8
pinkish-red,reddish brown,0.4
on a plate,white dish,0.5
rice,rice,1.0
inside the bowl,within dish,0.7
yellow,black,0.0
scattered,scattered randomly slices,0.8
rice,rice,1.0
red,red and verdant,0.7
on the left,in image,0.1
large,cannot tell,0.0
to the lower left,below large receptacle,0.2
chocolate,chocolate coconut,0.9
brown,brown,1.0
on the left,on the left,1.0
hot,cannot determine,0.0
brown,brown and yellowish,0.7
on top,on breads,0.2
bread,pita loaf,0.7
brown,light beige,0.4
on the plate,on plate,0.9
crumbs,crumbs and sauce,0.8
white,white,1.0
bread,naan bread,0.8
red,red,1.0
tan,beige,0.2
on a white plate,on plate,0.7
arranged,in circular pattern,0.2
pear,pear,1.0
on top of,on top,0.9
silver,silver,1.0
pizza,dough with sauce,0.6
red,red,1.0
beige,white,0.2
on a round,circular,0.8
golden-brown,yellowish-brown,0.8
on the left,left side,0.8
plum bread,muffins,0.2
white,ivory,0.8
tan,tan,1.0
cracked,cracked surface,0.9
on a plate,on counter,0.4
pink,red,0.5
plate,white surface,0.4
red,crimson,0.9
parsley,parsley,1.0
polenta,mashed potato,0.2
yellow,yellow,1.0
green,green,1.0
polenta,creamed vegetables,0.1
in the lower center,in dish,0.1
roasted,added whole,0.1
beige,pale yellow,0.4
chicken,chicken,1.0
yellow,yellowish,0.9
cream,light yellowish,0.3
yellow,yellowish brown,0.8
rice,rice,1.0
brown,brown,1.0
in light yellow,ivory,0.4
interspersed,mixed together,0.7
rice,cooked grain,0.7
red,red,1.0
green,green,1.0
above the rice,above it,0.7
pink,rose,0.7
cake,cake pop,0.9
colorful,tiny colored circles,0.7
on a light brown surface,on surface,0.4
brown,brown,1.0
ice pops,ice pops,1.0
white,ivory,0.8
on a white plate,on plate,0.7
blurred,present,0.0
brown,brown,1.0
cookies,brown round items,0.5
on a metal baking sheet,on sheet,0.5
shiny,brown and shiny,0.8
rice,tan,0.1
brown,tan,0.7
stacked on,stacked on rice,0.9
pink,pink,1.0
bowl,pink container,0.3
brown,tan,0.7
almonds,almonds,1.0
jar,glass jar,0.9
on the same surface,on board,0.2
orange,orangish,0.8
on the bottom center,table top,0.1
green,green,1.0
vibrant,orange,0.5
sweet potatoes,squash puree,0.3
orange,orange,1.0
within the bowl,glassware,0.1
brown,brown,1.0
apples,baked apple,0.8
white,white and blue,0.7
yellow,yellowish brown,0.8
in a bowl,in dish,0.8
applesauce,blue bowl,0.0
blue,dark blue,0.9
red,red,1.0
on a surface,on surface,0.9
applesauce,light brown,0.1
golden-brown,beige,0.5
scooped,scooping puree,0.7
white,ivory,0.8
in the bowl,in bowl,0.9
golden-amber,yellowish brown,0.7
jar,glass container,0.8
yellow,golden,0.8
on the table,on lumber,0.3
white,light,0.5
meat,ground meat,0.9
carrots,peas carrots,0.5
fried,deep fried,0.8
on the plate,on plate,0.9
adjacent,adjacent right,0.9
green,light greenish,0.8
artichoke,artichoke hearts,0.9
white,ivory,0.8
to the right,right side,0.8
green,green,1.0
asparagus,asparagus,1.0
arranged,in heap,0.2
green,emerald,0.8
asparagus,asparagus,1.0
upwards,upward,0.9
on top of,on plate,0.3
green,green yellow,0.8
avocado,alligator pear,1.0
white,ivory,0.8
on its outer skin,green rind,0.5
scattered,on food,0.0
green,lime green,0.9
pie,key lime pie,0.8
white,white,1.0
on top,on dessert,0.3
golden-brown,light brown,0.7
avocado,zucchini,0.2
green,pale green,0.8
on a white square plate,on plate,0.5
vary,no they do not,0.0
raspberries,raspberries blueberries,0.8
scattered,in a bowl,0.1
red,red,1.0
on the white cloth,iron skillet,0.0
glistening,glossy and dark,0.5
bacon,pork belly,0.7
dark brown,dark brown,1.0
separated by,next each other,0.2
bacon,bacon,1.0
oven,inside appliance,0.5
on a wire rack,on rack,0.8
golden-brown,golden brown,1.0
bagel bites,everything bagel bombs,0.6
blue,on surface,0.0
in the bottom half,two are,0.0
broken,light blue,0.0
golden-brown,brown,0.7
bagels,bagels,1.0
spice,cinnamon topping,0.5
on a wire rack,wire rack,0.9
pumpernickel,whole wheat,0.2
brown,brown,1.0
bagels,baked rings,0.8
on a black wire rack,cooling rack,0.6
white,ivory,0.8
golden-brown,tan,0.7
melted,melted and bubbly,0.8
plate,a dish,0.8
sesame,sesame,1.0
on the left,on plate,0.2
white,ivory,0.8
cheese,cheese,1.0
sausage,sausage pieces,0.9
brown,brown,1.0
within the cheese,in dish,0.2
beige,pale yellowish,0.7
bananas,banana,1.0
yellow,lime,0.6
to the left of,green surface,0.0
brown,brown,1.0
chocolate,chocolate discs,0.9
loaves,rectangular prisms,0.2
golden-brown,tan,0.7
towards the center,left corner,0.1
fries,sweet potato,0.2
brown,brown,1.0
white,ivory,0.8
on a plate,on dish,0.9
bananas,banana,1.0
golden-yellow,yellowish,0.7
in coconut milk,coconut milk,1.0
bowl,glass container,0.6
golden-brown,golden brown,1.0
banana,banana,1.0
together,pile high,0.2
tempura,fried dessert,0.2
irregular,roundish,0.2
yellow,yellow,1.0
banana,ripe yellow,0.7
white,ivory,0.8
on top of,on banana,0.2
dark blue,deep blue,0.9
golden,brown,0.3
bars,squared items,0.1
white,white,1.0
reddish-brown,brown,0.7
chicken,poultry thighs,0.8
white,white,1.0
on top of,atop the grains,0.9
green,green yellow,0.8
mix,meat vegetables grains,0.2
white,white,1.0
dispersed,evenly throughout,0.6
orange,orange,1.0
of beef,beef,1.0
white,ivory,0.8
chicken,chicken pieces,0.9
brown,brown,1.0
green,green,1.0
at the bottom,in the bowl,0.2
overlapping,side by side,0.3
Sea Bass,cod fillets,0.3
white,pale white,0.9
on the left side,left side,0.9
green,verdant,1.0
yellowish,pale creamy,0.6
scattered,scattered randomly,0.9
sea bass,cod fillet,0.4
on the rack,on rack,0.9
green,green,1.0
smooth,yes it is,0.0
batter,cannot be determined,0.0
brown,yes,0.0
on top,yes on surface,0.4
yes,yes they are,0.8
tangy,sweet tangy,0.8
beef,cattle muscle,0.8
tan,light brown,0.3
orange,orange,1.0
shredded,shredded,1.0
meat,pulled pork,0.8
coating,shiny coating,0.9
yellowish,light brown,0.5
chicken,chicken breast,0.9
reddish-brown,dark reddish-brown,0.9
ribs,pork ribs,0.9
grill,on grill,0.8
unevenly,thick and glossy,0.0
on the top,on meat,0.1
tasty,in dish,0.1
pan,pan,1.0
green,verdant,1.0
green beans,green string,0.4
in the center,inside pan,0.3
reddish-brown,brown,0.7
orange,orange,1.0
with other ingredients,diced vegetables,0.2
plate,a plate,1.0
green,green,1.0
beans,green beans,0.9
tangled,in a pile,0.6
yes,yes they do,0.9
in the bottom center,center bottom,0.9
glossy,shiny coating,0.8
beans,green beans,0.9
peppered,dark particles,0.2
overlapping,randomly piled,0.2
throughout the entire image frame,in picture,0.3
tan,light reddish brown,0.1
bowl,clay bowl,0.9
fill,mostly filled,0.7
brown,light brown,0.8
in the broth,inside bowl,0.3
sliced,cooked with meat,0.1
beef,ground beef,0.9
brown,brown,1.0
with peppers,bell peppers,0.9
slow,pot roast,0.1
reddish-brown,brown,0.7
meat,roast beef,0.8
in the upper-right portion,top center,0.3
brown,brown,1.0
white,ivory,0.8
at the top,top of drink,0.5
glasses,clear receptacles,0.1
amber,amber,1.0
surface,on surface,0.8
red,reddish purple,0.6
beets,diced beet,0.9
green,green,1.0
yellow,light brown,0.3
cake,coffee cake,0.8
on a clear glass,pedestal tray,0.0
yellow,pale yellow,0.8
biscuits,biscuits,1.0
clustered,in a pile,0.6
baked,baked well,0.8
golden-brown,light brown,0.7
pale,white,0.6
cream,white,0.5
on a wire rack,in image,0.1
beige,yellowish cream,0.7
biscuits,biscuits,1.0
orange,golden yellow,0.6
across the image,on surface,0.3
flaky,flaky golden,0.8
light-colored,several colors,0.2
blondies,blondie bars,0.8
brown,tan brown,0.8
on top,on pastries,0.2
drizzle,caramel sauce,0.0
purple,violet,0.9
blueberries,small dark spheres,0.4
pink,pinkish,0.8
bowl,white container,0.4
under the bowl,on plate,0.1
golden-brown,yellowish brown,0.8
reddish-brown,reddish brown,1.0
covering,covering it,0.9
plate,tube pasta,0.2
yellow,pale yellow,0.8
in the center,on the noodles,0.0
green,verdant,1.0
spinach,avocado spinach,0.8
avocado,pale yellowness,0.1
closer to,near container rim,0.5
tan,light brown,0.3
rice,cooked rice,0.9
on the left side,the container,0.1
green,pale greenish,0.8
reddish-brown,brown,0.7
brats,bratwursts,0.7
green,verdant,1.0
draped over,above sausages,0.1
liquid,white surface,0.1
walnuts,nuts,0.7
speckled,light tan,0.3
on top,on loaf,0.2
white,light yellow,0.4
loaf,loaf shape,0.8
tan,light brownish,0.2
overlapping,overlapping each other,0.9
on the board,cutting board,0.5
white,ivory,0.8
golden-brown,light brown,0.7
stacked,stacked on top,0.9
beige,light beige,0.9
bread,loaf of bread,0.9
creamy,light brown,0.2
on a wire rack,on cooling rack,0.9
bright,ivory,0.2
orange,yellow orange,0.8
around the eggs,in dish,0.2
brown,dark brown,0.8
beef brisket,roast beef,0.6
green,verdant,1.0
gravy,brown liquid,0.7
on the plate,right side,0.2
golden-brown,yellowish brown,0.8
within,embedded throughout,0.7
brown,brown,1.0
beef,beef,1.0
green,light greenish,0.8
on a plate,on rice,0.5
rice,white grains,0.6
broccoli,broccoli,1.0
green,green,1.0
red,red,1.0
cooked,it's steamed,0.5
on a plate,on plate,0.9
broth,stock broth,0.9
green,yellowish green,0.8
within the broth,in the broth,0.9
square,square,1.0
brown,dark,0.3
on top,on cream,0.2
green,light greenish,0.8
brown,tan,0.7
shiny,"smooth, cracked",0.2
pecans,pecans,1.0
brown,cocoa,0.6
brownies,brownies,1.0
cracked,crumbly,0.5
walnuts,walnuts,1.0
on top of,on it,0.5
dark-brown,deep brown,0.8
arranged,messy arrangement,0.4
brownies,brownie squares,0.9
within the chocolate,within treats,0.4
white,ivory,0.8
bruschetta,tomato muffin melt,0.2
red,red,1.0
on the center,on plate,0.2
toasted,english muffin,0.2
melted,it melted,0.8
black,dark,0.7
red,red,1.0
on top,atop bread,0.7
reddish-brown,reddish brown,1.0
beef,beef,1.0
glistening,thinly sliced,0.1
on top of,in image,0.1
orange,orange,1.0
one-third,approximately half,0.2
burgers,meat with gravy,0.2
brownish-tan,brown,0.8
of the burgers,meatloaf and potatoes,0.0
green,green,1.0
white,ivory,0.8
melted,it's melted,1.0
orange,yellowish orange,0.8
in the dish,in dish,0.9
layers,rectangular shape,0.1
vegan,unclear from image,0.0
burritos,chicken burrito,0.9
tan,yellowish brown,0.1
on top,top of wrap,0.6
sweet,beans squash tasty,0.2
burritos,quesadillas,0.6
black,dark,0.7
on a black plate,on platter,0.4
orange,orange,1.0
white,light,0.5
cupcake,frosted cake,0.7
light blue,azure,0.8
on top of,on top,0.9
rectangular,rectangle,1.0
cake,sheet treat,0.4
blue,azure,0.8
caramel,tan,0.5
around the perimeter,on top,0.1
shredded,shredded,1.0
cabbage,red cabbage,0.9
on the top-right,in bowl,0.0
white,ivory with patterns,0.6
pinkish-red,reddish purple,0.4
white,ivory,0.8
bowl,circular,0.2
breadcrumbs,breadcrumbs,1.0
golden,yellowish brown,0.7
shredded,shredded fine,0.9
green-cabbage,green/white,0.5
white,whitish green,0.5
orange,orange,1.0
within the salad,mixed inside,0.4
reddish-orange,reddish orange,1.0
cabbage,cabbage,1.0
yellowish-green,yellow,0.5
beans,kidney,0.7
in the center,in bowl,0.2
cabbage,carrots,0.2
brown,black,0.2
on top of the plate,on bread,0.3
orange,orangish,0.8
Evenly-distributed ,randomly mixed.,0.4
floating in,inside container,0.2
red,red,1.0
orange,orange,1.0
light-brown,light brown,1.0
chicken,poultry part,0.8
red,reddish,0.8
on the right side,on spaghetti,0.1
spaghetti,spaghetti,1.0
reddish-brown,reddish brown,1.0
chicken,beef,0.2
light-yellow,yellowish,0.8
in the center,atop some pasta,0.1
light,light yellow,0.8
chicken,chicken,1.0
red,red,1.0
cheese,grated cheese,0.9
golden,tan,0.5
calamari,fried calamari,0.9
arranging,irregularly arranged,0.7
white,white,1.0
on the plate,white bowl,0.2
yellow,yellow white,0.8
bowl,yellow container,0.3
brown,light brown,0.8
on top of,atop mixture,0.8
yellow,yellow,1.0
plate,white plate,0.9
beef,beef,1.0
brown,brown,1.0
in broth,broth,1.0
yellow,yellowish,0.9
chocolate,chocolate,1.0
candy,honeycomb candy,0.8
brown,brown,1.0
right of orange ribbon,behind sweets,0.1
brown,brown and white,0.8
sugar,walnuts,0.0
white,white,1.0
to the left,at left,0.8
brownish-red,reddish brown,0.9
meat,roast beef,0.8
dark brown,dark brown,1.0
charred,dark roasted,0.7
vegetables,no animals,0.1
hard,brittle hard,0.8
candy,sugar candy,0.9
orange,orangish,0.8
coated,covered confectionery,0.7
throughout,on surface,0.1
green,green,1.0
candy,hard candies,0.8
reddish-brown,reddish,0.8
center,on it,0.0
on the plate,on a plate,0.9
red,red,1.0
poured,liquid poured,0.9
candy,fruit leather,0.4
translucent,translucent,1.0
on a piece,on the cooking sheet,0.5
yellow,yellow,1.0
center of the image,in image,0.5
fluffy and toasted,browned spots,0.3
meringue,meringue layer,0.9
silver,silver,1.0
light-green,yellow green,0.7
pasta,green noodles,0.7
black,dark brown,0.6
in a creamy sauce,green sauce,0.3
silver,gray,0.5
brown,light brownish,0.8
meat,meat stew,0.8
bubbling,it's boiling,0.7
yellow-brown,tan,0.8
orange,orangish,0.8
carrots,carrots,1.0
white,ivory,0.8
orange,orange,1.0
carrots,carrots,1.0
glistening,arranged together,0.0
in the center,center portion,0.8
green,verdant,1.0
yellowish,yellow orange,0.8
rice,carrot onion,0.0
orange,orange,1.0
green,green,1.0
cashews,cashews,1.0
tan,tan,1.0
Piled randomly,haphazardly stacked,0.9
on a purple surface,on surface,0.4
triangular,wedge slice,0.4
casserole,glass plate,0.1
green,emerald,0.8
with cheese,melted dairy,0.5
egg,dairy topping,0.1
beige,light brown,0.8
catfish,cod,0.2
reddish-orange,reddish orange,1.0
in the upper-center,on plate,0.1
fried,deep fried,0.8
golden-brown,golden brown,1.0
catfish,baked cod,0.1
center,on plate,0.2
green,emerald,0.8
on the foreground,in foreground,0.9
fills,fills container,0.9
cauliflower,potato,0.2
blue,azure,0.8
yellow,pale yellow,0.8
creamy,creamy cheesy,0.9
mac-n-cheese,cheesy pasta,0.8
white,ivory,0.8
orange-yellow,yellow,0.7
off-white,ivory,0.7
cauliflower,cauliflower,1.0
green,green,1.0
broccoli,sprouts broccoli,0.7
broccoli,broccoli,1.0
glass jars,clear container,0.6
white,light,0.5
orange,orange,1.0
on the countertop,countertop,0.8
golden-brown,golden brown,1.0
bread,challah bread,0.9
on the cutting board,on surface,0.5
yellow,light yellow,0.8
dark green,emerald,0.7
chard,cooked spinach,0.2
garlic,diced scallions,0.2
white,ivory,0.8
in a bowl,in bowl,0.9
rainbow,green red yellow,0.5
chard,swiss rainbow,0.1
green,emerald,0.8
in a bowl,on table,0.2
vegetables,other vegetables,1.0
cheeseburger,cheesed beef,0.6
yellow,yellow,1.0
golden-brown,yellowish brown,0.8
pickle,a dill,0.7
on a white plate,on plate,0.7
tan,beige,0.2
burger,sandwich,0.7
orange,orange color,0.9
located to the left,beside fries,0.2
beige,light yellow,0.3
filling,filling it,0.8
right side of the image,in baking pan,0.1
silver,grey,0.5
golden-brown,light brown,0.7
cheesecake,cheesecake,1.0
white,ivory,0.8
sprinkled,brown powder,0.3
white,light brown,0.4
cheesecake,berry tart,0.3
blue,indigo,0.8
on the plate,gray servingware,0.2
syrup,sweet sauce,0.7
red,red,1.0
jar,glass container,0.8
on top of,inside glass,0.1
dark-brown,dark brown,1.0
cheesecake,cake,0.6
glaze,smooth dark,0.2
strawberries,red berry,0.8
on top of,top of cake,0.7
creamy,lumpy,0.1
cherries,cherries,1.0
fills,fills it,0.9
purple,dark,0.2
throughout the bowl,throughout content,0.4
red,red,1.0
cherries,covered berry,0.3
brown,brown,1.0
on the left,left side,0.8
orange,orange,1.0
browned,light brown,0.8
chicken,poultry dish,0.6
on top of the plate,over grain,0.2
parsley,parsley sprig,0.9
golden,brown,0.3
brown,light beige,0.5
reddish-brown sauce,reddish brown,0.9
on and around the chicken,pan,0.1
yellow,yellowish,0.9
red,red,1.0
sprinkled on top,on dish,0.2
fork,silver fork,0.9
crispy,crisp,0.9
large,large,1.0
chili,ground beef,0.1
red,reddish brown,0.7
in a pot,in pot,0.9
sausage,ground and sausage,0.7
green,green,1.0
bowl,a plate,0.2
in the bowl,in dish,0.7
green,pinkish brown,0.1
dip in,inside it,0.1
scattered,scattered together,0.8
chips,pepper chips,0.8
green,yellow dark,0.1
golden-yellow,yellow greenish brown,0.3
towards the central region,entire picture,0.1
swirled,swirl design,0.8
tan,brown and beige,0.1
many,about twenty,0.3
rectangular,square or rectangle,0.8
in clear plastic,plastic wrap,0.5
dessert,glass container,0.0
clear,clear rectangular container,0.8
raspberries,raspberries,1.0
scattered,scattered underneath it,0.8
on a metallic surface,plate surface,0.4
chocolate,brown,0.3
brown,pale yellow,0.1
golden-brown,light,0.2
on top of,between pastries,0.1
creamy,creamy crumbly,0.8
cake,cake base,0.8
brown,maroon,0.6
on top,on top,1.0
chocolate,chocolate cookie,0.9
drizzled,covering dessert,0.2
brown,dark brown,0.8
ice cream,iced cream,0.9
white,ivory,0.8
at the bottom,bottom area,0.6
yellow,light yellow,0.8
bowl,bowl,1.0
dispersed,evenly,0.5
carrots,carrot,1.0
on the surface,inside dish,0.1
corn,corn,1.0
brown,red brown,0.7
yellow,yellow,1.0
across the surface,atop dish,0.2
red,red,1.0
bowl,white dish,0.5
center of the bowl,in bowl,0.6
fills,almost full,0.4
pulpy,thick jammy,0.6
jar,glass bottle,0.5
brownish-yellow,brownish yellow,1.0
with the chutney,food preserve,0.2
label,label,1.0
red,red yellow,0.5
apple,sliced pome,0.5
slices,liquid,0.1
green,green yellow,0.8
in a clear liquid,in pot,0.1
white,white,1.0
bowl,a container,0.6
brown,tan,0.7
in the center,inside bowl,0.3
off-white,off white,1.0
chowder,chowder,1.0
sits on,tableware,0.0
circle,round and crusty,0.5
herbs,green herb,0.9
white,white,1.0
clams,cockles,0.7
brown,brown,1.0
in a bowl,in liquid,0.3
green,green,1.0
golden-brown,orangeish yellowish,0.5
pumpkin,squash,0.7
white,ivory,0.8
on the plate,on plate,0.9
crumbly,crumbly granular,0.9
golden-brown,golden yellow,0.8
cobbler,gooey butter cake,0.1
yellow,yellow,1.0
with variations,baking process,0.1
baking,browning reaction,0.5
homemade,yes canned,0.1
jars,mason jars,0.9
yes,yes they are,0.9
vegetable,carrot type,0.7
yes,no they arent,0.0
Cocktail,red beverage,0.4
float,they float,0.7
clear,very good,0.3
glass,martini stemware,0.7
in a slight curve,in a row,0.1
clear,transparent,0.9
glass,wine glass,0.9
white,ivory,0.8
yellow,barely hued,0.2
on top of,in beverage,0.0
turquoise-blue,blue,0.7
jar,mason jar,0.9
red,crimson,0.9
on the rim,on beverage,0.2
shark,red candies,0.0
garnished,drink garnish,0.7
orange,yellowish,0.3
yellow-orange,vibrant hue,0.4
Monkey Gland,bees knees,0.1
on the surface,in beverage,0.0
yes,yes it is,0.8
cocoa,cannot be determined,0.0
no,yes,0.0
yes,yes,1.0
on the upper left,yes it is,0.0
spiced,nutty and fruity,0.2
chocolate-brown,dark brown,0.8
two,two parts,0.8
on top of,above it,0.8
golden-brown,golden brown,1.0
cod,salmon fillet,0.2
resting,resting on it,0.7
on top of,on it,0.5
glass,clear substance,0.7
green,verdant,1.0
green,verdant,1.0
on the rim,glass rim,0.7
vibrant red,crimson,0.9
light,tan,0.2
mug,container holding liquid,0.7
red,red,1.0
across a light brown surface,on surface,0.3
coffe beans,roasted beans,0.5
clear,clear,1.0
coffee,dalgona beverage,0.7
brown,tan,0.7
straw,dalgona beverage,0.1
white,ivory,0.8
coffee,irish brew,0.5
glass,clear substance,0.7
whipped cream,cream,0.7
on the rim,rim of glass,0.7
at the center,in bowl,0.2
sausages,some pork products,0.5
brown with a slight char,light brown,0.6
white,whitish,0.8
filling,being served,0.2
white,white,1.0
bowl,white dish,0.5
green,verdant,1.0
pink,pink,1.0
multicolored,tan green red,0.5
creamy,creamy and shredded,0.8
coleslaw,coleslaw,1.0
orange,orange,1.0
in the left,in the salad,0.1
onion,red onion,0.9
green,green and yellow,0.8
bowl,glass bowl,0.9
orange,light reddish,0.2
creamy,creamy,1.0
in a glass bowl,in container,0.4
red-purple,dark red,0.5
in the bowl,in bowl,0.9
wooden board,wood board,0.9
Cutting and serving,serving food,0.8
to the right of,right side,0.7
yes,yes it is,0.8
cookie,baked good,0.7
brown,brown,1.0
on the pan,on the stove,0.5
clear,clear,1.0
jar,glass jar,0.9
brown,dark,0.3
with red ribbon,gingham ribbon,0.2
bright,yellow liquid,0.3
on the colorful surface,striped surface,0.5
orange juice,yellow liquid,0.5
into the cooler,through the lid,0.2
yellow,yellow,1.0
yes,yes its colored,0.8
across the majority of,on the surface,0.0
melted and browned cheese,baked cheese,0.6
brownish-orange,brown,0.7
light,brown,0.1
golden-brown,tan,0.7
glass,ceramics,0.2
on the top-left,upper left,0.9
yellow,yellow,1.0
corn,corn kernels,0.9
mixed,chopped tiny pieces,0.5
red,red,1.0
brown,dark brownish,0.8
beans,corn beans peppers,0.3
red,red orange,0.8
on the right,in bowl,0.0
white,ivory,0.8
scattered,mixed together,0.2
yellow,light gold,0.8
in a bowl,in salad,0.5
in a bowl,in container,0.6
golden-yellow,golden yellow,1.0
cornbread,cornbread,1.0
black,dark,0.7
coarse,slightly coarse,0.8
golden,golden yellow,0.9
cornbread,cornbread muffins,0.9
white,white,1.0
on a plate,around bakedgoods,0.2
cornbread,green bits,0.1
cornbread,cornbread,1.0
green,dark-emerald,0.8
on the top-left,upper left,0.9
cottage cheese,cottage variety,0.5
white,ivory,0.8
yellow,yellow,1.0
around the cottage cheese,around it,0.5
chicken,poultry meat,0.8
on the pan,within image,0.0
spinach,spinach,1.0
white,ivory,0.8
in the foreground,it contains it,0.1
yellow,light yellow,0.8
couscous,couscous,1.0
white,ivory,0.8
green,verdant,1.0
on top of,on top,0.9
tan,tan,1.0
filling,creamy sauce,0.3
couscous,pearl couscous,0.9
white,ivory,0.8
creamy,smooth creamy,0.9
tan,yellow brown,0.1
couscous,couscous,1.0
red,reddish orange,0.7
green,red blue,0.0
within the pot,in the pot,0.9
bowl,bowl,1.0
white,beige,0.6
beige,yellowish tan,0.8
small and round,pile,0.1
in a white bowl,in container,0.3
yellowish-orange,light orange,0.7
green,emerald,0.8
across the top,within the food,0.0
spoon,wooden spoon,0.9
crab cakes,crab cake,0.9
golden,tan golden,0.8
green,emerald,0.8
reddish-orange,orange reddish,0.9
crab,crab,1.0
clustered,mixed together,0.4
sausages,sausage,1.0
red,red,1.0
pie,crumble pastry,0.2
tan,tan,1.0
golden,beige,0.3
towards the left,top left,0.5
cranberry,berry preserve,0.4
chicken,poultry legs,0.7
light blue,green,0.2
golden brown,brown,0.8
on a plate,on platter,0.8
fills,fills it,0.9
bowl,glass container,0.6
thick,thick jellied,0.9
light brown and red,brown tan,0.5
in the center,within mixture,0.2
crawfish,crawfish meat,0.9
green,emerald,0.8
within a white bowl,white dish,0.8
beige,light brown,0.8
piled,in mound,0.4
crawfish,crawfish meat,0.9
red,reddish hue,0.8
on top of,mixed within,0.1
light,smooth,0.1
walnuts,walnuts,1.0
beige,beige,1.0
on top,on top,1.0
bowl,bowl,1.0
soft,smooth and airy,0.7
cream,sweet cream,0.9
off-white,ivory,0.7
fills,fills it,0.9
on top,in dessert,0.1
white,off white,0.8
blueberries,blueberries,1.0
brown,light brown,0.8
blueberries,cream and berries,0.3
on the plate,upon crepes,0.2
golden brown,yellow brown,0.7
crepe,crepe,1.0
darker,crispy looking,0.2
in the center,in pan,0.1
purple,violet,0.9
rolls,crescent rolls,0.8
golden brown ,tan,0.7
flaky dough,filling swirls,0.2
on the lower right,above it,0.1
golden-yellow,yellow,0.8
overlap,stacked together,0.3
cheese,crispy cheese,0.9
lacy,holey appearance,0.1
on the upper-left,on surface,0.2
white,ivory,0.8
brown,brown,1.0
on a white plate,on plate,0.7
the crisp in the front,rightmost one,0.2
green,pale green,0.8
cones,tapered cylinders,0.4
golden-brown,yellowish brown,0.8
lies,lying down,0.2
brown,brown,1.0
croquettes,fried balls,0.7
dark,brownish,0.5
on a plate,on a plate,1.0
arranged,together closely,0.6
yummylicious,golden brown,0.2
croquettes,fried patties,0.7
golden,tan,0.4
on a silver metal rack,baking sheet,0.1
brown,brown,1.0
beige,light beige,0.9
croquettes,crab cakes,0.4
golden brown,tan,0.7
