Answer,Predict,EM,Precision,Recall,F1
on a sheet,on a plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
pink,red,0.0,0.0,0.0,0.0
strawberry,watermelon,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on the rim,on the rim,1.0,1.0,1.0,1.0
lemonade,lemonade,1.0,1.0,1.0,1.0
lemonade,filled,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
lentils,mushrooms,0.0,0.0,0.0,0.0
visible,visible,1.0,1.0,1.0,1.0
light brown,translucent,0.0,0.0,0.0,0.0
dispersed,in the center,0.0,0.0,0.0,0.0
yellowish-orange,brown,0.0,0.0,0.0,0.0
lentils,rice,0.0,0.0,0.0,0.0
dispersed,scattered,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
dispersed,in the center,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
orange-brown,green,0.0,0.0,0.0,0.0
on the left,on top,0.0,0.5,0.3333333333333333,0.4
to the right,to the left,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
grain,filling,0.0,0.0,0.0,0.0
translucent,green,0.0,0.0,0.0,0.0
glass,glass,1.0,1.0,1.0,1.0
whitish-yellow,green,0.0,0.0,0.0,0.0
on the rim,on the rim,1.0,1.0,1.0,1.0
lime,lemon,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
linguine,ravioli,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
scattered,scattered,1.0,1.0,1.0,1.0
beige,yellow,0.0,0.0,0.0,0.0
pasta,pasta,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
white,white,1.0,1.0,1.0,1.0
golden-brown,brown,0.0,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0,1.0
blueberries,rhubarb,0.0,0.0,0.0,0.0
wooden,wooden,1.0,1.0,1.0,1.0
cheese,vegetables,0.0,0.0,0.0,0.0
yellow,white,0.0,0.0,0.0,0.0
on the left,to the left,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
yes,vegan,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
golden,golden-brown,0.0,0.0,0.0,0.0
overlapping,overlapping,1.0,1.0,1.0,1.0
reddish-brown,yellow,0.0,0.0,0.0,0.0
reddish-brown,red,0.0,0.0,0.0,0.0
on the right side,located,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
covering,covering,1.0,1.0,1.0,1.0
vibrant,colorful,0.0,0.0,0.0,0.0
skillet,skillet,1.0,1.0,1.0,1.0
browned,reddish-brown,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
green,green,1.0,1.0,1.0,1.0
in the center,on the plate,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
macaroni,macaroni,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
on the top,on top,0.0,1.0,0.6666666666666666,0.8
yellow,yellow,1.0,1.0,1.0,1.0
macaroni,ravioli,0.0,0.0,0.0,0.0
clustered,mixed,0.0,0.0,0.0,0.0
on the left side,on the right side,0.0,0.75,0.75,0.75
ginger,spicy,0.0,0.0,0.0,0.0
mahi mahi,walleye,0.0,0.0,0.0,0.0
brown,orange,0.0,0.0,0.0,0.0
in the bottom center,in the center,0.0,1.0,0.75,0.8571428571428571
golden-brown,yellow,0.0,0.0,0.0,0.0
mahi mahi,walleye,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
beans,zucchini,0.0,0.0,0.0,0.0
white,golden-brown,0.0,0.0,0.0,0.0
reddish-brown,brown,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
orange,white,0.0,0.0,0.0,0.0
spinach,zucchini,0.0,0.0,0.0,0.0
melted,melted,1.0,1.0,1.0,1.0
sticky,creamy,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
arranged,scattered,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
pink,yellow,0.0,0.0,0.0,0.0
cadillac,punch,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
on the surface,on the rim,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
green,green,1.0,1.0,1.0,1.0
yellowish-green,yellow,0.0,0.0,0.0,0.0
margaritas,smoothie,0.0,0.0,0.0,0.0
silver,white,0.0,0.0,0.0,0.0
yellow-green,yellow,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
from the top,on top of,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
margaritas,margarita,0.0,0.0,0.0,0.0
blue,white,0.0,0.0,0.0,0.0
on the plate,on a plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
green,green,1.0,1.0,1.0,1.0
red,yellow,0.0,0.0,0.0,0.0
blackberries,lemon,0.0,0.0,0.0,0.0
on the wooden surface,on top,0.0,0.5,0.25,0.3333333333333333
green,green,1.0,1.0,1.0,1.0
marinade,surrounds,0.0,0.0,0.0,0.0
surrounding,in the center,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
glossy,glossy,1.0,1.0,1.0,1.0
in the background,next to,0.0,0.0,0.0,0.0
viscous,thick,0.0,0.0,0.0,0.0
marinade,dipping,0.0,0.0,0.0,0.0
in the bowl,is contained,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
lemon,bananas,0.0,0.0,0.0,0.0
reddish-brown,reddish-brown,1.0,1.0,1.0,1.0
coats,covers,0.0,0.0,0.0,0.0
skewers,are,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
reddish-brown,brown,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
on the upper chicken,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
amber,vibrant,0.0,0.0,0.0,0.0
marmalade,margarita,0.0,0.0,0.0,0.0
amber,red,0.0,0.0,0.0,0.0
glass,glass jar,0.0,0.5,1.0,0.6666666666666666
orange,red,0.0,0.0,0.0,0.0
amber,red,0.0,0.0,0.0,0.0
marmalade,relish,0.0,0.0,0.0,0.0
striped,checkered,0.0,0.0,0.0,0.0
to its left,to the left of,0.0,0.5,0.6666666666666666,0.5714285714285715
brown,white,0.0,0.0,0.0,0.0
coated,chocolate,0.0,0.0,0.0,0.0
three,scoops,0.0,0.0,0.0,0.0
on the left,located,0.0,0.0,0.0,0.0
coconut,sugar,0.0,0.0,0.0,0.0
marshmallows,toffee,0.0,0.0,0.0,0.0
light pink,white,0.0,0.0,0.0,0.0
on a small plate,on top,0.0,0.5,0.25,0.3333333333333333
bottom,on the left,0.0,0.0,0.0,0.0
vibrant,vibrant,1.0,1.0,1.0,1.0
watermelon,lime,0.0,0.0,0.0,0.0
pink,red,0.0,0.0,0.0,0.0
on the top,on the rim,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
green,green,1.0,1.0,1.0,1.0
red,yellow,0.0,0.0,0.0,0.0
stemmed,glasses,0.0,0.0,0.0,0.0
brown,white,0.0,0.0,0.0,0.0
on top of,on the rim,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
reddish-purple,yellow,0.0,0.0,0.0,0.0
martini,smoothie,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
with two bright red cherries,sliced,0.0,0.0,0.0,0.0
agave,clear,0.0,0.0,0.0,0.0
pistachio,almond,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
cylindrical,rectangular,0.0,0.0,0.0,0.0
rectangular bar,rectangular,0.0,1.0,0.5,0.6666666666666666
on the left side,on the left side,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
orange,orange,1.0,1.0,1.0,1.0
carrots,zucchini,0.0,0.0,0.0,0.0
in a bowl,in a brown bowl,0.0,0.75,1.0,0.8571428571428571
crispy,crispy,1.0,1.0,1.0,1.0
chicken,chicken,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
mayo,chutney,0.0,0.0,0.0,0.0
smooth,creamy,0.0,0.0,0.0,0.0
gray,black,0.0,0.0,0.0,0.0
in the upper left corner,on top of,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
orange,red,0.0,0.0,0.0,0.0
basil,cilantro,0.0,0.0,0.0,0.0
on a light-colored surface,on a wooden surface,0.0,0.75,0.75,0.75
light green,yellow,0.0,0.0,0.0,0.0
fills,fills,1.0,1.0,1.0,1.0
bowl,container,0.0,0.0,0.0,0.0
leaves,salad,0.0,0.0,0.0,0.0
to the right of,to the left,0.0,0.6666666666666666,0.5,0.5714285714285715
yellow,yellow,1.0,1.0,1.0,1.0
meatballs,chicken,0.0,0.0,0.0,0.0
on top,on top of,0.0,0.6666666666666666,1.0,0.8
green,green,1.0,1.0,1.0,1.0
orange-brown,brown,0.0,0.0,0.0,0.0
tomato sauce,pesto,0.0,0.0,0.0,0.0
covers,coats,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
sweet,spicy,0.0,0.0,0.0,0.0
meatballs,soup,0.0,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0,0.0
in the center,on a plate,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
creamy,creamy,1.0,1.0,1.0,1.0
meatballs,chicken,0.0,0.0,0.0,0.0
orange,red,0.0,0.0,0.0,0.0
underneath,behind,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
salad,mushrooms,0.0,0.0,0.0,0.0
sliced,sliced,1.0,1.0,1.0,1.0
is in,in the center,0.0,0.3333333333333333,0.5,0.4
golden,golden-brown,0.0,0.0,0.0,0.0
meatloaf,salad,0.0,0.0,0.0,0.0
light-brown,brown,0.0,0.0,0.0,0.0
reddish-brown,red,0.0,0.0,0.0,0.0
towards the right side,on top of,0.0,0.0,0.0,0.0
dark,brown,0.0,0.0,0.0,0.0
meatloaf,meatloaf,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
with sprigs,bacon,0.0,0.0,0.0,0.0
bright,green,0.0,0.0,0.0,0.0
broccoli,zucchini,0.0,0.0,0.0,0.0
red,pink,0.0,0.0,0.0,0.0
browned,browned,1.0,1.0,1.0,1.0
across the image,throughout the bowl,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
yellow,orange,0.0,0.0,0.0,0.0
smoothie,smoothie,1.0,1.0,1.0,1.0
glass,glass,1.0,1.0,1.0,1.0
white,orange,0.0,0.0,0.0,0.0
near to,on top of,0.0,0.0,0.0,0.0
clear,clear,1.0,1.0,1.0,1.0
pitcher,glass jar,0.0,0.0,0.0,0.0
beige,is,0.0,0.0,0.0,0.0
in the center-left,sitting,0.0,0.0,0.0,0.0
pink,white,0.0,0.0,0.0,0.0
milkshakes,margarita,0.0,0.0,0.0,0.0
topped,on top,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
on each milkshake,on top of,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
chocolate,chocolate,1.0,1.0,1.0,1.0
brown,yellow,0.0,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0,1.0
clear,clear,1.0,1.0,1.0,1.0
pitcher,jar,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on a wooden board,on a wooden surface,0.0,0.75,0.75,0.75
yellowish,reddish-brown,0.0,0.0,0.0,0.0
tofu,bacon,0.0,0.0,0.0,0.0
scattered across,scattered,0.0,1.0,0.5,0.6666666666666666
blue,blue,1.0,1.0,1.0,1.0
reddish-brown,brown,0.0,0.0,0.0,0.0
jar,container,0.0,0.0,0.0,0.0
viscous,creamy,0.0,0.0,0.0,0.0
on the top,on top of,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
tomatoes,lettuce,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
mixed,mixed,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
orange,golden-brown,0.0,0.0,0.0,0.0
in a clear glass bowl,on a plate,0.0,0.3333333333333333,0.2,0.25
brown,brown,1.0,1.0,1.0,1.0
bowl,bowl,1.0,1.0,1.0,1.0
candies,candies,1.0,1.0,1.0,1.0
golden-brown,brown,0.0,0.0,0.0,0.0
blue,red,0.0,0.0,0.0,0.0
wooden,wooden,1.0,1.0,1.0,1.0
pretzels,mushrooms,0.0,0.0,0.0,0.0
orange,white,0.0,0.0,0.0,0.0
on the left,on the left,1.0,1.0,1.0,1.0
beige,yellow,0.0,0.0,0.0,0.0
brown,golden-brown,0.0,0.0,0.0,0.0
towards the bottom,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
brown,brown,1.0,1.0,1.0,1.0
jar,bowl,0.0,0.0,0.0,0.0
filled,filled,1.0,1.0,1.0,1.0
white,brown,0.0,0.0,0.0,0.0
to the left of,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
brown,brown,1.0,1.0,1.0,1.0
foamy,creamy,0.0,0.0,0.0,0.0
with whipped cream,sprinkled,0.0,0.0,0.0,0.0
scattered,on top,0.0,0.0,0.0,0.0
yellow-green,green,0.0,0.0,0.0,0.0
mojito,margarita,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
by the pitcher,served,0.0,0.0,0.0,0.0
fresh,colorful,0.0,0.0,0.0,0.0
green,red,0.0,0.0,0.0,0.0
mojito,margarita,0.0,0.0,0.0,0.0
yellow,green,0.0,0.0,0.0,0.0
strawberry,rhubarb,0.0,0.0,0.0,0.0
transparent,clear,0.0,0.0,0.0,0.0
mousse,cake,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
creamy,creamy,1.0,1.0,1.0,1.0
on a silver tray,on a plate,0.0,0.6666666666666666,0.5,0.5714285714285715
golden-yellow,brown,0.0,0.0,0.0,0.0
muffins,muffins,1.0,1.0,1.0,1.0
obscuring,covering,0.0,0.0,0.0,0.0
blue,white,0.0,0.0,0.0,0.0
beverage,margarita,0.0,0.0,0.0,0.0
fill,float,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
on top of,on top of,1.0,1.0,1.0,1.0
copper,copper,1.0,1.0,1.0,1.0
mug,mug,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
on the wooden surface,on the rim,0.0,0.6666666666666666,0.5,0.5714285714285715
brown,brown,1.0,1.0,1.0,1.0
mushrooms,chips,0.0,0.0,0.0,0.0
glossy,creamy,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
in a pile,stacked,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
eggs,mushrooms,0.0,0.0,0.0,0.0
mushroom,mushrooms,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
chicken,chicken,1.0,1.0,1.0,1.0
brown,white,0.0,0.0,0.0,0.0
on the right,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
herbs,herbs,1.0,1.0,1.0,1.0
creamy,charred,0.0,0.0,0.0,0.0
mushrooms,fish,0.0,0.0,0.0,0.0
black,silver,0.0,0.0,0.0,0.0
from the pan,in a pan,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
brown,brown,1.0,1.0,1.0,1.0
yellow,brown,0.0,0.0,0.0,0.0
enoki mushrooms,mushrooms,0.0,1.0,0.5,0.6666666666666666
tangled,appear,0.0,0.0,0.0,0.0
strands,sliced,0.0,0.0,0.0,0.0
immersed,submerged,0.0,0.0,0.0,0.0
mussels,mussels,1.0,1.0,1.0,1.0
orange-red,reddish-brown,0.0,0.0,0.0,0.0
brownish-red,reddish-brown,0.0,0.0,0.0,0.0
on the left,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
yellow-orange,yellow,0.0,0.0,0.0,0.0
pouring,spilling,0.0,0.0,0.0,0.0
jar,jar,1.0,1.0,1.0,1.0
wooden,wooden,1.0,1.0,1.0,1.0
above the jar,on a spoon,0.0,0.0,0.0,0.0
glass,glass,1.0,1.0,1.0,1.0
wooden,wooden surface,0.0,0.5,1.0,0.6666666666666666
mustard,mustard,1.0,1.0,1.0,1.0
to the right,to the left,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
dijon,jalapenos,0.0,0.0,0.0,0.0
tan,yellow,0.0,0.0,0.0,0.0
lined up,arranged,0.0,0.0,0.0,0.0
jars,jars,1.0,1.0,1.0,1.0
creamy,creamy,1.0,1.0,1.0,1.0
nachos,pancakes,0.0,0.0,0.0,0.0
light-orange,yellow,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
bowl,bowl,1.0,1.0,1.0,1.0
potato,rice,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
cheese,cheese,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
chocolate,drizzled,0.0,0.0,0.0,0.0
nachos,rice,0.0,0.0,0.0,0.0
brown,yellow,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
on top of,in the center,0.0,0.0,0.0,0.0
smooth,creamy,0.0,0.0,0.0,0.0
glass,mug,0.0,0.0,0.0,0.0
pink,pink,1.0,1.0,1.0,1.0
refresher,smoothie,0.0,0.0,0.0,0.0
soup,salad,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
chicken,chicken,1.0,1.0,1.0,1.0
on the lower-right,on the rim,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
light blue,white,0.0,0.0,0.0,0.0
bowl,dish,0.0,0.0,0.0,0.0
fill,fill,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
crunchy,crispy,0.0,0.0,0.0,0.0
nuggets,burrito,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
on the right side,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
red,red,1.0,1.0,1.0,1.0
corn nuts,pecans,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
on the napkin,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
golden-brown,golden-brown,1.0,1.0,1.0,1.0
oatmeal,pie,0.0,0.0,0.0,0.0
filling,filling,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
on a white surface,on a plate,0.0,0.6666666666666666,0.5,0.5714285714285715
beige,brown,0.0,0.0,0.0,0.0
fill,fill,1.0,1.0,1.0,1.0
blueberries,blueberries,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
on top,on top of,0.0,0.6666666666666666,1.0,0.8
black,blue,0.0,0.0,0.0,0.0
rice,tofu,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
okra,zucchini,0.0,0.0,0.0,0.0
in a black cooking pot,skillet,0.0,0.0,0.0,0.0
beige,white,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
tomatoes,cranberries,0.0,0.0,0.0,0.0
golden,green,0.0,0.0,0.0,0.0
olives,chips,0.0,0.0,0.0,0.0
cut,cut,1.0,1.0,1.0,1.0
on the bottom,on top,0.0,0.5,0.3333333333333333,0.4
green,green,1.0,1.0,1.0,1.0
wooden,wooden,1.0,1.0,1.0,1.0
bread,pita bread,0.0,0.5,1.0,0.6666666666666666
black,green,0.0,0.0,0.0,0.0
golden-brown,brown,0.0,0.0,0.0,0.0
on a wooden cutting board,on a plate,0.0,0.6666666666666666,0.4,0.5
visible,visible,1.0,1.0,1.0,1.0
olives,pickles,0.0,0.0,0.0,0.0
glass,glass,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
spilling out of,covering,0.0,0.0,0.0,0.0
bacon,sausage,0.0,0.0,0.0,0.0
mixed,roasted,0.0,0.0,0.0,0.0
located on the left side,on top,0.0,0.5,0.2,0.28571428571428575
omelette,polenta,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
caramelized,brown,0.0,0.0,0.0,0.0
melted,melted,1.0,1.0,1.0,1.0
onions,mushrooms,0.0,0.0,0.0,0.0
brown,white,0.0,0.0,0.0,0.0
cheese,cheese,1.0,1.0,1.0,1.0
towards the bottom,on the left,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
reddish-brown,red,0.0,0.0,0.0,0.0
nestled,folded,0.0,0.0,0.0,0.0
orange,white,0.0,0.0,0.0,0.0
to the left of,behind,0.0,0.0,0.0,0.0
orange,orange,1.0,1.0,1.0,1.0
plate,plate,1.0,1.0,1.0,1.0
vibrant,bright,0.0,0.0,0.0,0.0
thick,creamy,0.0,0.0,0.0,0.0
drink,drink,1.0,1.0,1.0,1.0
garnished,garnish,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
at the bottom,on the left,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
pink,purple,0.0,0.0,0.0,0.0
oreo,contains,0.0,0.0,0.0,0.0
sprinkled,sprinkled,1.0,1.0,1.0,1.0
on top surface,scattered across,0.0,0.0,0.0,0.0
circular,round,0.0,0.0,0.0,0.0
crust,pie crust,0.0,0.5,1.0,0.6666666666666666
star-shaped,white,0.0,0.0,0.0,0.0
oysters,mussels,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
on a star-shaped plate,on a plate,0.0,1.0,0.75,0.8571428571428571
white,white,1.0,1.0,1.0,1.0
oysters,mussels,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
reddish-brown,reddish-brown,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
shrimp,shrimp,1.0,1.0,1.0,1.0
in a bowl,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
chicken,sausage,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
orange-brown,brown,0.0,0.0,0.0,0.0
shrimp,shrimp,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
pancake,chips,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
golden brown,brown,0.0,1.0,0.5,0.6666666666666666
on the left side,on the left,0.0,1.0,0.75,0.8571428571428571
salty,sweet,0.0,0.0,0.0,0.0
pancakes,chips,0.0,0.0,0.0,0.0
cooking,frying,0.0,0.0,0.0,0.0
yellow,brown,0.0,0.0,0.0,0.0
golden yellow,yellow,0.0,1.0,0.5,0.6666666666666666
paneer,tofu,0.0,0.0,0.0,0.0
reddish-brown,brown,0.0,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0,1.0
vibrant,vibrant,1.0,1.0,1.0,1.0
green,yellow,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
blue,white,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
cranberry,rhubarb,0.0,0.0,0.0,0.0
glass,bowl,0.0,0.0,0.0,0.0
red,yellow,0.0,0.0,0.0,0.0
on a table,on a wooden surface,0.0,0.5,0.6666666666666666,0.5714285714285715
white,white,1.0,1.0,1.0,1.0
parfaits,cake,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
orange,rhubarb,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
fills,fills,1.0,1.0,1.0,1.0
vegetable,soup,0.0,0.0,0.0,0.0
white,pink,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
round,rectangular,0.0,0.0,0.0,0.0
parsnips,zucchini,0.0,0.0,0.0,0.0
beige,yellow,0.0,0.0,0.0,0.0
smooth,creamy,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
reddish-orange,red,0.0,0.0,0.0,0.0
pasta,macaroni,0.0,0.0,0.0,0.0
scattered amidst,in the center,0.0,0.0,0.0,0.0
diced,diced,1.0,1.0,1.0,1.0
orange,yellow,0.0,0.0,0.0,0.0
pasta,pasta,1.0,1.0,1.0,1.0
melted,melted,1.0,1.0,1.0,1.0
brownish-tan,yellow,0.0,0.0,0.0,0.0
beige,yellow,0.0,0.0,0.0,0.0
pasta,ravioli,0.0,0.0,0.0,0.0
shrimp,shrimp,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
over the shrimp,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
scattered,scattered,1.0,1.0,1.0,1.0
pasta,rice,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
dish,polenta,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
scattered,distributed,0.0,0.0,0.0,0.0
eggplant,zucchini,0.0,0.0,0.0,0.0
golden-yellow,golden-brown,0.0,0.0,0.0,0.0
bowls,on top of,0.0,0.0,0.0,0.0
with a brown wooden handle,silver,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
blueberries,rhubarb,0.0,0.0,0.0,0.0
nestled among,on top of,0.0,0.0,0.0,0.0
pavlova,ice cream,0.0,0.0,0.0,0.0
greenish-yellow,yellow,0.0,0.0,0.0,0.0
soup,salad,0.0,0.0,0.0,0.0
white,bowl,0.0,0.0,0.0,0.0
submerged,submerged,1.0,1.0,1.0,1.0
peas,soup,0.0,0.0,0.0,0.0
bowl,are,0.0,0.0,0.0,0.0
italian,italian,1.0,1.0,1.0,1.0
on the right side,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
vibrant,vibrant,1.0,1.0,1.0,1.0
holding,held,0.0,0.0,0.0,0.0
white,black,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
yellow-orange,yellow,0.0,0.0,0.0,0.0
glasses,bowl,0.0,0.0,0.0,0.0
wooden,wooden,1.0,1.0,1.0,1.0
on the rim,on the rim,1.0,1.0,1.0,1.0
reddish-yellow,red,0.0,0.0,0.0,0.0
margaritas,margarita,0.0,0.0,0.0,0.0
served,served,1.0,1.0,1.0,1.0
bright,vibrant,0.0,0.0,0.0,0.0
glasses,glasses,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
tea,drink,0.0,0.0,0.0,0.0
drinking,drinking,1.0,1.0,1.0,1.0
peach,chocolate,0.0,0.0,0.0,0.0
yellow,red,0.0,0.0,0.0,0.0
to the right,on the left,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
peachy-orange,orange,0.0,0.0,0.0,0.0
pitcher,bowl,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
