Answer,Predict,gpt_score
pie,potatoes,0.1
tan,golden-brown,0.7
silver,silver,1.0
apricot,blueberry,0.2
golden-brown,golden-brown,1.0
pies,cake,0.2
uneven,creamy,0.1
pie,cake,0.2
white,white,1.0
green plate,white,0.1
yellow,golden-brown,0.6
pierogi,chips,0.1
on the plate,on a plate,0.9
center,in the center,1.0
white,white,1.0
pinkish-red,red,0.7
on a plate,on a plate,1.0
rice,rhubarb,0.1
inside the bowl,on a plate,0.2
yellow,white,0.1
scattered,scattered,1.0
rice,oatmeal,0.2
red,red,1.0
on the left,in the center,0.2
large,large,1.0
to the lower left,located,0.3
chocolate,chocolate,1.0
brown,brown,1.0
on the left,located,0.3
hot,warm,0.7
brown,white,0.0
on top,on top,1.0
bread,pita bread,0.9
brown,beige,0.5
on the plate,on the left side,0.2
crumbs,scattered,0.3
white,white,1.0
bread,pita bread,0.9
red,white,0.0
tan,yellow,0.3
on a white plate,on top of,0.2
arranged,scattered,0.1
pear,rhubarb,0.2
on top of,on top,0.9
silver,silver,1.0
pizza,chips,0.1
red,red,1.0
beige,brown,0.3
on a round,pan,0.2
golden-brown,golden-brown,1.0
on the left,located,0.3
plum bread,pita bread,0.3
white,white,1.0
tan,golden-brown,0.7
cracked,toasted,0.1
on a plate,on a white plate,0.9
pink,red,0.3
plate,plate,1.0
red,red,1.0
parsley,cilantro,0.3
polenta,salad,0.2
yellow,yellow,1.0
green,green,1.0
polenta,meatloaf,0.1
in the lower center,in the center,0.7
roasted,shredded,0.2
beige,golden-brown,0.6
chicken,chicken,1.0
yellow,white,0.1
cream,red,0.1
yellow,brown,0.2
rice,rice,1.0
brown,brown,1.0
in light yellow,red,0.1
interspersed,scattered,0.7
rice,potato,0.1
red,red,1.0
green,green,1.0
above the rice,next to,0.2
pink,white,0.1
cake,cake,1.0
colorful,sprinkled,0.3
on a light brown surface,on a plate,0.5
brown,brown,1.0
ice pops,chips,0.1
white,white,1.0
on a white plate,on a plate,0.9
blurred,melted,0.2
brown,brown,1.0
cookies,muffins,0.2
on a metal baking sheet,on a plate,0.5
shiny,textured,0.2
rice,white,0.3
brown,golden-brown,0.7
stacked on,stacked,0.7
pink,white,0.1
bowl,plate,0.2
brown,brown,1.0
almonds,pecans,0.3
jar,bowl,0.2
on the same surface,on top,0.6
orange,brown,0.2
on the bottom center,wooden surface,0.2
green,white,0.0
vibrant,orange,0.3
sweet potatoes,tomato,0.1
orange,orange,1.0
within the bowl,on top of,0.2
brown,brown,1.0
apples,bananas,0.2
white,white,1.0
yellow,red,0.1
in a bowl,on a plate,0.3
applesauce,pot,0.1
blue,white,0.0
red,red,1.0
on a surface,on a wooden surface,0.9
applesauce,golden-brown,0.2
golden-brown,yellow,0.5
scooped,adding,0.1
white,white,1.0
in the bowl,located,0.2
golden-amber,yellow,0.6
jar,bowl,0.2
yellow,red,0.1
on the table,on a wooden surface,0.6
white,white,1.0
meat,chicken,0.5
carrots,onions,0.2
fried,seasoned,0.3
on the plate,in the center,0.2
adjacent,on top of,0.2
green,green,1.0
artichoke,tomatoes,0.2
white,white,1.0
to the right,on top of,0.2
green,green,1.0
asparagus,carrots,0.2
arranged,arranged,1.0
green,green,1.0
asparagus,zucchini,0.3
upwards,pointing,0.3
on top of,stacked,0.3
green,green,1.0
avocado,peaches,0.1
white,yellow,0.1
on its outer skin,crispy,0.2
scattered,on top of,0.1
green,yellow,0.1
pie,cake,0.2
white,white,1.0
on top,on top,1.0
golden-brown,golden-brown,1.0
avocado,polenta,0.1
green,green,1.0
on a white square plate,on a plate,0.9
vary,vary,1.0
raspberries,raspberries,1.0
scattered,scattered,1.0
red,red,1.0
on the white cloth,on a plate,0.4
glistening,glossy,0.7
bacon,chicken,0.1
dark brown,brown,0.8
separated by,on top of,0.2
bacon,chicken,0.1
oven,baking,0.7
on a wire rack,slow,0.1
golden-brown,golden-brown,1.0
bagel bites,chips,0.2
blue,in the image,0.2
in the bottom half,fresh,0.1
broken,white,0.1
golden-brown,golden-brown,1.0
bagels,chips,0.2
spice,glaze,0.2
on a wire rack,on a plate,0.3
pumpernickel,pita bread,0.2
brown,golden-brown,0.7
bagels,pancakes,0.1
on a black wire rack,on a plate,0.2
white,white,1.0
golden-brown,brown,0.7
melted,melted,1.0
plate,plate,1.0
sesame,sesame,1.0
on the left,on top,0.3
white,white,1.0
cheese,cheese,1.0
sausage,raisins,0.1
brown,brown,1.0
within the cheese,scattered across,0.1
beige,green,0.1
bananas,watermelon,0.1
yellow,red,0.1
to the left of,to the left,0.9
brown,brown,1.0
chocolate,pita chips,0.1
loaves,square,0.1
golden-brown,golden-brown,1.0
towards the center,on the left side,0.2
fries,fries,1.0
brown,golden-brown,0.7
white,white,1.0
on a plate,plate,0.7
bananas,peaches,0.2
golden-yellow,yellow,0.7
in coconut milk,broth,0.2
bowl,dish,0.7
golden-brown,golden-brown,1.0
banana,watermelon,0.2
together,stacked,0.3
tempura,salad,0.1
irregular,loaf,0.1
yellow,yellow,1.0
banana,cranberries,0.1
white,white,1.0
on top of,on top,0.9
dark blue,blue,0.7
golden,brown,0.2
bars,pinwheels,0.1
white,white,1.0
reddish-brown,golden-brown,0.4
chicken,chicken,1.0
white,white,1.0
on top of,above the rim,0.6
green,green,1.0
mix,mixture,0.9
white,white,1.0
dispersed,scattered,1.0
orange,orange,1.0
of beef,sausage,0.2
white,white,1.0
chicken,bacon,0.1
brown,white,0.1
green,green,1.0
at the bottom,located in,0.2
overlapping,scattered,0.1
sea bass,halibut,0.3
white,white,1.0
on the left side,in the center,0.2
green,green,1.0
yellowish,orange,0.6
scattered,scattered,1.0
sea bass,walleye,0.2
on the rack,on a plate,0.2
green,green,1.0
smooth,creamy,0.6
batter,mixed,0.2
brown,dark,0.3
on top,topped,0.4
yes,scattered,0.1
tangy,spicy,0.7
beef,bacon,0.3
tan,golden-brown,0.7
orange,white,0.0
shredded,shredded,1.0
meat,meat,1.0
coating,glossy,0.6
yellowish,brown,0.3
chicken,chicken,1.0
reddish-brown,reddish-brown,1.0
ribs,chicken,0.2
grill,grill,1.0
unevenly,scattered,0.7
on the top,located,0.3
tasty,glistening,0.2
pan,skillet,0.3
green,green,1.0
green beans,beans,0.7
in the center,in the center,1.0
reddish-brown,brown,0.7
orange,orange,1.0
with other ingredients,with,0.3
plate,plate,1.0
green,green,1.0
beans,tomatoes,0.2
tangled,scattered,0.3
yes,fill,0.1
in the bottom center,in the center,0.8
glossy,textured,0.2
beans,tomatoes,0.2
peppered,garlic,0.2
overlapping,scattered,0.1
throughout the entire image frame,in the center,0.3
tan,green,0.1
bowl,dish,0.7
fill,fill,1.0
brown,red,0.1
in the broth,submerged,0.5
sliced,diced,0.6
beef,chicken,0.1
brown,brown,1.0
with peppers,mushrooms,0.2
slow,frying,0.1
reddish-brown,brown,0.7
meat,chips,0.1
in the upper-right portion,in the center,0.3
brown,red,0.1
white,white,1.0
at the top,on top of,0.7
glasses,glasses,1.0
amber,red,0.2
surface,on the rim,0.2
red,red,1.0
beets,oatmeal,0.1
green,green,1.0
yellow,yellow,1.0
cake,cake,1.0
on a clear glass,on a white plate,0.3
yellow,brown,0.1
biscuits,muffins,0.2
clustered,arranged,0.7
baked,baked,1.0
golden-brown,yellow,0.5
pale,yellow,0.2
cream,golden-brown,0.3
on a wire rack,located in,0.2
beige,golden-brown,0.6
biscuits,chips,0.2
orange,green,0.0
across the image,in the center,0.3
flaky,crispy,0.6
light-colored,white,0.7
blondies,cake,0.5
brown,golden-brown,0.7
on top,on top,1.0
drizzle,chocolate,0.1
purple,blue,0.2
blueberries,grapes,0.2
pink,yellow,0.1
bowl,bowl,1.0
under the bowl,on a plate,0.2
golden-brown,brown,0.7
reddish-brown,yellow,0.1
covering,coated,0.7
plate,plate,1.0
yellow,yellow,1.0
in the center,in the center,1.0
green,green,1.0
spinach,avocado,0.1
avocado,green,0.5
closer to,on top of,0.3
tan,white,0.1
rice,rice,1.0
on the left side,in the center,0.2
green,green,1.0
reddish-brown,brown,0.7
brats,brats,1.0
green,green,1.0
draped over,on top,0.6
liquid,lettuce,0.1
walnuts,garlic,0.1
speckled,amazing,0.2
on top,on top,1.0
white,yellow,0.1
loaf,sliced,0.2
tan,brown,0.5
overlapping,scattered,0.1
on the board,resting on,0.2
white,yellow,0.1
golden-brown,brown,0.8
stacked,stacked,1.0
beige,brown,0.4
bread,chips,0.1
creamy,yellow,0.2
on a wire rack,on a plate,0.3
bright,golden-brown,0.4
orange,yellow,0.2
around the eggs,scattered across,0.3
brown,brown,1.0
beef brisket,chicken,0.1
green,green,1.0
gravy,coating,0.3
on the plate,located,0.2
golden-brown,brown,0.8
within,in the center,0.4
brown,brown,1.0
beef,chicken,0.1
green,green,1.0
on a plate,on the plate,1.0
rice,rice,1.0
broccoli,zucchini,0.2
green,green,1.0
red,white,0.0
cooked,baked,0.7
on a plate,on the plate,1.0
broth,milk,0.2
green,green,1.0
within the broth,on top of,0.2
square,square,1.0
brown,brown,1.0
on top,on top,1.0
green,green,1.0
brown,white,0.1
shiny,textured,0.2
pecans,pecans,1.0
brown,brown,1.0
brownies,flan,0.1
cracked,creamy,0.1
walnuts,bacon,0.1
on top of,on a plate,0.5
dark-brown,brown,0.8
arranged,arranged,1.0
brownies,cake,0.5
within the chocolate,on top of,0.2
white,white,1.0
bruschetta,kugel,0.1
red,red,1.0
on the center,on the plate,0.5
toasted,bread,0.7
melted,melted,1.0
black,on a white plate,0.2
red,red,1.0
on top,on top,1.0
reddish-brown,brown,0.7
beef,chicken,0.1
glistening,browned,0.2
on top of,in the center,0.3
orange,orange,1.0
one-third,fill,0.1
burgers,pasta,0.1
brownish-tan,red,0.2
of the burgers,plate,0.2
green,green,1.0
white,white,1.0
melted,melted,1.0
orange,white,0.0
in the dish,on the plate,0.4
layers,arranged,0.3
vegan,vegan,1.0
burritos,chips,0.2
tan,golden-brown,0.7
on top,on top of,0.9
sweet,spicy,0.1
burritos,chips,0.2
black,white,0.0
on a black plate,on a plate,0.9
orange,orange,1.0
white,white,1.0
cupcake,flan,0.2
light blue,green,0.2
on top of,on top,0.9
rectangular,cake,0.1
cake,cake,1.0
blue,white,0.0
caramel,spicy,0.1
around the perimeter,on top,0.2
shredded,shredded,1.0
cabbage,tomatoes,0.2
on the top-right,in the center,0.2
white,bowl,0.2
pinkish-red,cabbage,0.1
white,white,1.0
bowl,bowl,1.0
breadcrumbs,filling,0.1
golden,brown,0.2
shredded,shredded,1.0
green-cabbage,cabbage,0.7
white,green,0.0
orange,orange,1.0
within the salad,scattered throughout,0.3
reddish-orange,white,0.1
cabbage,cabbage,1.0
yellowish-green,red,0.1
beans,beans,1.0
in the center,in the center,1.0
cabbage,cabbage,1.0
brown,white,0.1
on top of the plate,on a plate,0.7
orange,orange,1.0
evenly-distributed ,scattered,0.2
floating in,in the center,0.3
red,red,1.0
orange,orange,1.0
light-brown,golden-brown,0.7
chicken,chicken,1.0
red,red,1.0
on the right side,in the center,0.2
spaghetti,noodles,0.7
reddish-brown,red,0.7
chicken,chicken,1.0
light-yellow,yellow,0.9
in the center,in the center,1.0
light,yellow,0.3
chicken,chicken,1.0
red,red,1.0
cheese,sprinkled,0.1
golden,golden-brown,0.7
calamari,mussels,0.3
arranging,arranged,0.6
white,white,1.0
on the plate,on top,0.3
yellow,white,0.1
bowl,soup,0.2
brown,reddish-brown,0.7
on top of,on top of,1.0
yellow,yellow,1.0
plate,plate,1.0
beef,chicken,0.1
brown,brown,1.0
in broth,submerged,0.3
yellow,red,0.1
chocolate,meat,0.1
candy,chips,0.1
brown,brown,1.0
right of orange ribbon,to the left,0.1
brown,brown,1.0
sugar,polenta,0.1
white,white,1.0
to the left,on top,0.2
brownish-red,brown,0.7
meat,burger,0.7
dark brown,brown,0.8
charred,charred,1.0
vegetables,in the center,0.1
hard,creamy,0.1
candy,chips,0.2
orange,brown,0.2
coated,with,0.1
throughout,in the center,0.2
green,white,0.1
candy,chips,0.2
reddish-brown,red,0.7
center,in the center,0.9
on the plate,on a plate,0.9
red,yellow,0.1
poured,drizzled,0.6
candy,chips,0.1
translucent,translucent,1.0
on a piece,on top,0.5
yellow,yellow,1.0
center of the image,in the image,0.7
fluffy and toasted,creamy,0.2
meringue,pie,0.3
silver,golden-brown,0.2
light-green,yellow,0.2
pasta,salad,0.2
black,red,0.0
in a creamy sauce,coated,0.5
silver,silver,1.0
brown,brown,1.0
meat,fish,0.2
bubbling,spilling,0.3
yellow-brown,red,0.2
orange,orange,1.0
carrots,zucchini,0.2
white,white,1.0
orange,orange,1.0
carrots,zucchini,0.2
glistening,glistening,1.0
in the center,in the center,1.0
green,green,1.0
yellowish,white,0.2
rice,tofu,0.1
orange,green,0.0
green,green,1.0
cashews,pecans,0.2
tan,brown,0.5
piled randomly,scattered,0.7
on a purple surface,on a wooden surface,0.3
triangular,sliced,0.2
casserole,dish,0.7
green,green,1.0
with cheese,mushrooms,0.1
egg,potatoes,0.0
beige,golden-brown,0.6
catfish,halibut,0.2
reddish-orange,red,0.7
in the upper-center,situated,0.3
fried,baked,0.3
golden-brown,golden-brown,1.0
catfish,walleye,0.2
center,in the center,0.9
green,green,1.0
on the foreground,in the center,0.3
fills,fills,1.0
cauliflower,zucchini,0.2
blue,white,0.0
yellow,white,0.1
creamy,creamy,1.0
mac-n-cheese,salad,0.1
white,white,1.0
orange-yellow,orange,0.7
off-white,white,0.7
cauliflower,cabbage,0.7
green,green,1.0
broccoli,cabbage,0.6
broccoli,zucchini,0.2
glass jars,jars,0.9
white,white,1.0
orange,orange,1.0
on the countertop,on a wooden surface,0.6
golden-brown,brown,0.7
bread,chips,0.1
on the cutting board,on top of,0.3
yellow,red,0.1
dark green,green,0.7
chard,kale,0.3
garlic,bacon,0.1
white,white,1.0
in a bowl,on top,0.2
rainbow,multicolored,0.7
chard,pesto,0.2
green,green,1.0
in a bowl,in the center,0.2
vegetables,bacon,0.1
cheeseburger,cheeseburger,1.0
yellow,yellow,1.0
golden-brown,yellow,0.5
pickle,avocado,0.1
on a white plate,on a plate,0.9
tan,tan,1.0
burger,burrito,0.2
orange,orange,1.0
located to the left,behind,0.2
beige,yellow,0.3
filling,cooling,0.2
right side of the image,in the image,0.6
silver,silver,1.0
golden-brown,brown,0.7
cheesecake,cake,0.7
white,white,1.0
sprinkled,sprinkled,1.0
white,golden-brown,0.2
cheesecake,cake,0.7
blue,blue,1.0
on the plate,on a plate,0.9
syrup,drizzled,0.3
red,red,1.0
jar,dish,0.2
on top of,on a plate,0.5
dark-brown,yellow,0.1
cheesecake,cake,0.7
glaze,creamy,0.2
strawberries,blueberries,0.2
on top of,on top,0.9
creamy,creamy,1.0
cherries,rhubarb,0.1
fills,fills,1.0
purple,red,0.1
throughout the bowl,throughout the bowl,1.0
red,red,1.0
cherries,cranberries,0.3
brown,brown,1.0
on the left,located,0.3
orange,orange,1.0
browned,pinkish-orange,0.2
chicken,chicken,1.0
on top of the plate,in the center,0.3
parsley,parsley,1.0
golden,golden-brown,0.7
brown,brown,1.0
reddish-brown sauce,red,0.6
on and around the chicken,on top of,0.4
yellow,golden-brown,0.6
red,red,1.0
sprinkled on top,on top of,0.3
fork,spoon,0.2
crispy,crispy,1.0
large,large,1.0
chili,tofu,0.1
red,reddish-brown,0.7
in a pot,on top of,0.2
sausage,sausage,1.0
green,reddish-brown,0.1
bowl,pot,0.3
in the bowl,on the plate,0.2
green,white,0.0
dip in,submerged,0.4
scattered,scattered,1.0
chips,chips,1.0
green,yellow,0.1
golden-yellow,yellow,0.7
towards the central region,in the center,0.9
swirled,speckled,0.4
tan,brown,0.5
many,pieces,0.2
rectangular,cut,0.2
in clear plastic,wrapped,0.4
dessert,dish,0.5
clear,clear,1.0
raspberries,cranberries,0.5
scattered,scattered,1.0
on a metallic surface,on top,0.3
chocolate,brown,0.5
brown,brown,1.0
golden-brown,white,0.1
on top of,on top of,1.0
creamy,creamy,1.0
cake,toast,0.1
brown,yellow,0.1
on top,on top of,0.9
chocolate,chocolate,1.0
drizzled,drizzled,1.0
brown,brown,1.0
ice cream,ice cream,1.0
white,white,1.0
at the bottom,spilled,0.2
yellow,yellow,1.0
bowl,bowl,1.0
dispersed,scattered,1.0
carrots,tomato,0.1
on the surface,on top,0.7
corn,tomato,0.1
brown,reddish-brown,0.7
yellow,yellow,1.0
across the surface,across the top,0.8
red,red,1.0
bowl,bowl,1.0
center of the bowl,is in,0.2
fills,fills,1.0
pulpy,thick,0.6
jar,bowl,0.2
brownish-yellow,reddish-brown,0.6
with the chutney,filled,0.2
label,is,0.1
red,red,1.0
apple,bananas,0.1
slices,submerged,0.1
green,yellow,0.1
in a clear liquid,on top of,0.2
white,white,1.0
bowl,bowl,1.0
brown,brown,1.0
in the center,in the center,1.0
off-white,yellow,0.2
chowder,soup,0.7
sits on,sits,0.9
circle,patterned,0.2
herbs,cheese,0.1
white,white,1.0
clams,shrimp,0.3
brown,green,0.0
in a bowl,on a plate,0.3
green,green,1.0
golden-brown,orange,0.4
pumpkin,tomato,0.2
white,white,1.0
on the plate,on a plate,0.9
crumbly,crispy,0.3
golden-brown,golden-brown,1.0
cobbler,cake,0.1
yellow,brown,0.2
with variations,crispy,0.2
baking,browning,0.5
homemade,homemade,1.0
jars,jars,1.0
yes,overlapping,0.1
vegetable,tomatoes,0.7
yes,overlapping,0.1
cocktail,smoothie,0.3
float,float,0.0
clear,clear,1.0
glass,clear,0.3
in a slight curve,distributed,0.2
clear,clear,1.0
glass,clear,0.3
white,white,1.0
yellow,yellow,1.0
on top of,on the rim,0.6
turquoise-blue,yellow,0.1
jar,mug,0.3
red,white,0.0
on the rim,on a plate,0.5
shark,garnish,0.0
garnished,contrast,0.1
orange,red,0.2
yellow-orange,orange,0.7
monkey gland,punch,0.1
on the surface,in the center,0.2
yes,sitting,0.1
cocoa,filling,0.2
no,white,0.1
yes,dark,0.1
on the upper left,positioned,0.3
spiced,spicy,0.9
chocolate-brown,yellow,0.1
two,slices,0.2
on top of,on top of,1.0
golden-brown,white,0.1
cod,halibut,0.2
resting,resting,1.0
on top of,behind,0.2
glass,glass,1.0
green,green,1.0
green,green,1.0
on the rim,on the rim,1.0
vibrant red,vibrant,0.7
light,brown,0.1
mug,mug,1.0
red,white,0.0
across a light brown surface,scattered across,0.6
coffe beans,mushrooms,0.0
clear,clear,1.0
coffee,margarita,0.1
brown,brown,1.0
straw,glasses,0.1
white,cream,0.7
coffee,lemonade,0.1
glass,glass,1.0
whipped cream,sprinkled,0.2
on the rim,on top,0.5
at the center,in the center,0.9
sausages,on top,0.1
brown with a slight char,brown,0.7
white,reddish-brown,0.2
filling,filling,1.0
white,white,1.0
bowl,bowl,1.0
green,green,1.0
pink,pink,1.0
multicolored,mix,0.5
creamy,creamy,1.0
coleslaw,relish,0.2
orange,orange,1.0
in the left,submerged,0.2
onion,bacon,0.1
green,green,1.0
bowl,spoon,0.2
orange,orange,1.0
creamy,creamy,1.0
in a glass bowl,on a plate,0.2
red-purple,red,0.7
in the bowl,contained,0.3
wooden board,bowl,0.1
cutting and serving,skewers,0.2
to the right of,in the center,0.2
yes,melted,0.1
cookie,toast,0.1
brown,brown,1.0
on the pan,on a wooden surface,0.3
clear,white,0.2
jar,bowl,0.2
brown,brown,1.0
with red ribbon,bacon,0.1
bright,vibrant,0.8
on the colorful surface,on a wooden surface,0.3
orange juice,fills,0.2
into the cooler,into the milkshake,0.2
yellow,yellow,1.0
yes,yellow,0.1
across the majority of,in the center,0.2
melted and browned cheese,with,0.0
brownish-orange,yellow,0.3
light,yellow,0.3
golden-brown,yellow,0.5
glass,jars,0.5
on the top-left,located,0.3
yellow,yellow,1.0
corn,tomato,0.1
mixed,sliced,0.2
red,red,1.0
brown,black,0.1
beans,vegetables,0.6
red,red,1.0
on the right,submerged,0.2
white,white,1.0
scattered,scattered,1.0
yellow,yellow,1.0
in a bowl,on top of,0.2
in a bowl,in the center,0.2
golden-yellow,yellow,0.7
cornbread,pita bread,0.2
black,black,1.0
coarse,crispy,0.2
golden,yellow,0.6
cornbread,pita bread,0.2
white,white,1.0
on a plate,on top of,0.3
cornbread,herbs,0.1
cornbread,pita bread,0.3
green,green,1.0
on the top-left,in the center,0.2
cottage cheese,feta,0.3
white,white,1.0
yellow,yellow,1.0
around the cottage cheese,on top of,0.3
chicken,chicken,1.0
on the pan,in the center,0.2
spinach,zucchini,0.2
white,white,1.0
in the foreground,on top of,0.4
yellow,yellow,1.0
couscous,quinoa,0.4
white,white,1.0
green,green,1.0
on top of,on a plate,0.5
tan,beige,0.6
filling,is,0.1
couscous,quinoa,0.4
white,white,1.0
creamy,creamy,1.0
tan,yellow,0.2
couscous,rice,0.3
red,red,1.0
green,green,1.0
within the pot,in the center,0.2
bowl,bowl,1.0
white,yellow,0.1
beige,brown,0.4
small and round,rectangular,0.1
in a white bowl,plate,0.2
yellowish-orange,white,0.1
green,green,1.0
across the top,on top,0.7
spoon,spoon,1.0
crab cakes,chips,0.2
golden,brown,0.2
green,green,1.0
reddish-orange,golden-brown,0.3
crab,shrimp,0.5
clustered,scattered,0.1
sausages,bacon,0.3
red,red,1.0
pie,cake,0.2
tan,brown,0.3
golden,golden-brown,0.7
towards the left,running vertically,0.2
cranberry,teriyaki,0.1
chicken,chicken,1.0
light blue,white,0.2
golden brown,golden-brown,1.0
on a plate,on a plate,1.0
fills,fills,1.0
bowl,bowl,1.0
thick,thick,1.0
light brown and red,brown,0.6
in the center,in the center,1.0
crawfish,shrimp,0.5
green,green,1.0
within a white bowl,plate,0.2
beige,white,0.2
piled,piled,1.0
crawfish,shrimp,0.5
red,pink,0.3
on top of,on top of,1.0
light,creamy,0.1
walnuts,peanuts,0.2
beige,brown,0.3
on top,on top of,0.9
bowl,bowl,1.0
soft,creamy,0.4
cream,cake,0.3
off-white,brown,0.2
fills,fills,1.0
on top,on top of,0.9
white,white,1.0
blueberries,rhubarb,0.1
brown,yellow,0.1
blueberries,filling,0.2
on the plate,on top,0.3
golden brown,yellow,0.4
crepe,in the center,0.1
darker,textured,0.2
in the center,in the center,1.0
purple,red,0.1
rolls,patties,0.1
golden brown ,golden-brown,1.0
flaky dough,filling,0.2
on the lower right,behind,0.3
golden-yellow,golden-brown,0.8
overlap,arranged,0.2
cheese,burrito,0.1
lacy,crispy,0.2
on the upper-left,in the center,0.2
white,white,1.0
brown,browned,0.7
on a white plate,on a plate,0.9
the crisp in the front,larger,0.2
green,white,0.0
cones,square,0.0
golden-brown,golden-brown,1.0
lies,leaning,0.2
brown,brown,1.0
croquettes,chips,0.2
dark,brown,0.2
on a plate,on a plate,1.0
arranged,arranged,1.0
yummylicious,amazing,0.7
croquettes,chips,0.2
golden,golden-brown,0.8
on a silver metal rack,on a plate,0.3
brown,brown,1.0
beige,white,0.2
croquettes,chips,0.2
golden brown,golden-brown,1.0
resting on the plate,resting on,0.7
yes,visible,0.2
pie,cake,0.2
green,green,1.0
off-white,white,0.7
on a white plate,on a plate,0.9
red,red,1.0
bowl,dish,0.7
orange,yellow,0.2
mixed,mixed,1.0
on top of,on top of,1.0
red,red,1.0
bowl,dish,0.7
yes,covered by,0.1
golden-brown,brown,0.8
at the bottom,on top,0.1
pie,cake,0.2
red,red,1.0
beneath,on top of,0.1
brown,brown,1.0
green,white,0.1
scattered,scattered,1.0
brown,brown,1.0
berries,cranberries,0.7
atop,on a plate,0.3
golden-brown,golden-brown,1.0
pie,chips,0.1
lattice,flower,0.1
across the entire top,on top,0.7
leaves,pizzelles,0.1
yellow,golden-brown,0.6
pie,chips,0.1
crust,pie crust,0.9
crimped,crimped,1.0
in the center,in the image,0.5
golden,golden-brown,0.7
pie,chips,0.1
red,yellow,0.1
tan,white,0.1
dripping,dripping,1.0
tan,golden-brown,0.7
premium,amazing,0.6
cheese,cheese,1.0
in the lower portion,in the center,0.2
green,white,0.0
cucumbers,mushrooms,0.1
white,white,1.0
creamy,creamy,1.0
throughout the image,throughout the image,1.0
white,white,1.0
salad,salad,1.0
red,red,1.0
on a plate,on the plate,1.0
green,green,1.0
green,green,1.0
salad,salad,1.0
visible,visible,1.0
white,white,1.0
inside a transparent bowl,on a plate,0.2
green,green,1.0
cucumbers,zucchini,0.5
sliced,cut,0.9
on their surfaces,on top,0.6
fresh,bright,0.3
cucumbers,tomatoes,0.2
green,green,1.0
overlapping,scattered,0.1
yellow,yellow,1.0
margaritas,margarita,1.0
white,red,0.0
cucumber,zucchini,0.7
on the rim,on a plate,0.5
green,green,1.0
cucumber,zucchini,0.7
wooden,wooden surface,0.9
cucumbers,tomatoes,0.2
fill,fill,1.0
white,white,1.0
in a shallow bowl,on a plate,0.3
white,white,1.0
golden-brown,golden-brown,1.0
on a white surface,on a plate,0.7
pink,white,0.1
reddish-brown,brown,0.7
cupcake,cake,0.7
on the plate,on a plate,0.9
yellow,yellow,1.0
curd,hummus,0.1
glass,dish,0.2
submerged inside,submerged,0.8
smooth,creamy,0.6
curry,meatloaf,0.1
white,white,1.0
golden-brown,orange,0.4
on top of,on top,0.9
covering,topped,0.2
cake,flan,0.3
roses,resembling,0.2
swirling,stacked,0.1
over the entire surface,on a plate,0.3
yellow,yellow,1.0
custard,cake,0.3
into the custard,into the sorbet,0.3
orange-brown,golden-yellow,0.4
custard,ice cream,0.6
fills,fills,1.0
white,white,1.0
on the plate,on a wooden surface,0.3
pale,golden-brown,0.2
chicken,chicken,1.0
brown,green,0.0
on top,on a plate,0.5
red,white,0.0
white,red,0.0
immersing,covering,0.3
dark,green,0.1
spices,mushrooms,0.2
across the bowl,scattered across,0.6
raspberry,rhubarb,0.2
golden-brown,golden-brown,1.0
plate,on a plate,0.7
red,red,1.0
on a plate,on a plate,1.0
turkish delight,cake,0.3
coated,covering,0.7
white,white,1.0
scattered,scattered,1.0
across the frame,on a plate,0.2
dessert,chips,0.1
taking,held,0.3
white,white,1.0
on top,on top of,0.9
glossy,creamy,0.2
baking,grilling,0.2
yellow,yellow,1.0
melted,shredded,0.2
in a clear glass,dish,0.2
filling,filling,1.0
bean,queso,0.1
brown-black,brown,0.7
in the center-left,in the center,0.7
white,yellow,0.1
pizza,salad,0.1
red,red,1.0
across the surface,scattered across,0.6
green,green,1.0
golden-brown,yellow,0.6
corn dogs,chips,0.2
reddish-brown,pink,0.2
on a white plate,on a plate,0.9
chocolate,chocolate,1.0
donuts,croissant,0.2
brown,brown,1.0
in the bottom left,in the center,0.2
white,white,1.0
pierogi,chips,0.1
beige,golden-brown,0.6
on plate,on a plate,1.0
fried,toasted,0.6
brown,golden-brown,0.7
doughnuts,chips,0.1
yellow,golden-brown,0.6
stacked,arranged,0.7
on top of,on top of,1.0
doughnuts,chips,0.1
white,white,1.0
in the center,located,0.3
orange-brown,golden-brown,0.7
doughnuts,chips,0.1
maple,chocolate,0.1
green,green,1.0
vanilla,chocolate,0.1
tan,brown,0.5
in the front,in the center,0.3
salad,salad,1.0
best,creamy,0.2
brownish,yellow,0.2
black,green,0.0
in the lower-left corner,in the center,0.2
orange,yellow,0.2
salad,salad,1.0
drizzled,drizzled,1.0
top of the salad,in the center,0.3
lettuce,rhubarb,0.2
white,white,1.0
bowl,bowl,1.0
brown,yellow,0.1
wasabi,tomato,0.0
towards the upper-right,in the center,0.2
orange-red,yellow,0.3
fills,fills,1.0
pitcher,bowl,0.2
white,white,1.0
to the bottom left,to the left,0.7
yellow,yellow,1.0
jar,jar,1.0
creamy,creamy,1.0
greenish,yellow,0.2
on a red surface,on a wooden surface,0.4
crispy,crispy,1.0
drumsticks,wings,0.3
white,white,1.0
blue,red,0.0
on a plate,on a plate,1.0
decorative,decorative,1.0
drumsticks,chicken,0.3
pinkish-tan,brown,0.6
on the left,positioned,0.3
green,green,1.0
pink,brown,0.1
duck,chicken,0.2
sliced,sliced,1.0
