reference,hypothesis,gpt_score
cilantro,parsley,0.7
on top of,on top of,1.0
penne,pasta,0.7
red-orange,red,0.5
sauteed,sliced,0.2
peppers,ginger,0.2
green,green,1.0
peppers,garlic,0.2
scattered across,scattered across,1.0
glistening,appearing,0.3
white,white,1.0
pesto,glass,0.0
container,green,0.0
vibrant,vibrant,1.0
textured,glossy,0.2
pesto,jars,0.1
fills,fills,1.0
white,blue,0.1
on top of,around the center,0.2
chicken,chicken,1.0
falling onto,on top of,0.2
green,green,1.0
scattered,scattered,1.0
pickles,garlic,0.1
glass,glass jar,0.9
full,filling,0.5
yellow,green,0.2
sliced,cut,0.9
yellowish-green,green,0.7
pickles,cucamelons,0.2
on the left side,submerged,0.1
white,blue,0.2
clear,clear,1.0
pickles,pickles,1.0
green,yellowish-green,0.8
in a jar,in a glass jar,0.9
melted,melted,1.0
pie,fish,0.0
tan,golden brown,0.2
silver,silver,1.0
apricot,grape,0.2
golden-brown,brown,0.7
pies,enchiladas,0.1
uneven,brown,0.0
pie,enchiladas,0.0
white,white,1.0
green plate,blue,0.1
yellow,greyish-brown,0.1
pierogi,fajitas,0.1
on the plate,on a plate,0.9
center,in the center,0.9
white,green,0.1
pinkish-red,reddish-brown,0.5
on a plate,wreath,0.1
rice,rice,1.0
inside the bowl,on a white platter,0.2
yellow,is,0.0
scattered,red,0.1
rice,rice,1.0
red,green,0.1
on the left,in the lower left,0.5
large,large,1.0
to the lower left,brown,0.0
chocolate,garlic,0.0
brown,chocolate,0.7
on the left,located,0.2
hot,hot,1.0
brown,white,0.1
on top,in color,0.0
bread,lefse,0.3
brown,gluten-free,0.0
on the plate,in the upper left corner,0.1
crumbs,white,0.0
white,green,0.1
bread,lefse,0.3
red,mauve-colored,0.3
tan,yellow,0.1
on a white plate,cloth,0.0
arranged,green,0.0
pear,strawberries,0.3
on top of,on the plate,0.3
silver,gray,0.5
pizza,fajitas,0.1
red,red,1.0
beige,brown,0.7
on a round,gray,0.0
golden-brown,golden-brown,1.0
on the left,on top,0.2
plum bread,lefse,0.1
white,green,0.1
tan,tan,1.0
cracked,with a tomato mixture,0.0
on a plate,on a plate,1.0
pink,red,0.5
plate,plate,1.0
red,red,1.0
parsley,cinnamon,0.1
polenta,gnocchi,0.3
yellow,yellow,1.0
green,green,1.0
polenta,pink,0.0
in the lower center,in the image,0.2
roasted,yellow,0.0
beige,brown,0.7
chicken,chicken,1.0
yellow,white,0.2
cream,pasta,0.1
yellow,tan,0.6
rice,rice,1.0
brown,ham,0.1
in light yellow,light green,0.2
interspersed,scattered,0.8
rice,yams,0.1
red,red,1.0
green,green,1.0
above the rice,above the chicken,0.5
pink,pink,1.0
cake,biscuits,0.3
colorful,colorful,1.0
on a light brown surface,on a white plate,0.2
brown,white,0.1
ice pops,fajitas,0.0
white,green,0.1
on a white plate,on a plate,0.8
blurred,white,0.0
brown,arranged,0.0
cookies,cookies,1.0
on a metal baking sheet,on a black wire,0.2
shiny,browned,0.2
rice,is,0.0
brown,glossy,0.1
stacked on,scattered,0.0
pink,dark brown,0.0
bowl,glass jar,0.2
brown,brown,1.0
almonds,pecans,0.5
jar,bowl,0.5
on the same surface,scattered,0.1
orange,amber,0.7
on the bottom center,wooden,0.0
green,on a green background,0.8
vibrant,orange,0.5
sweet potatoes,greens,0.1
orange,orange,1.0
within the bowl,orange,0.0
brown,brown,1.0
apples,grapes,0.2
white,dark brown,0.1
yellow,red,0.2
in a bowl,on the plate,0.2
applesauce,golden-brown,0.1
blue,dark brown,0.0
red,red,1.0
on a surface,on the bowl,0.5
applesauce,golden-brown,0.1
golden-brown,golden-brown,1.0
scooped,adding,0.0
white,golden-brown,0.3
in the bowl,golden-brown,0.0
golden-amber,golden-brown,0.8
jar,golden-brown,0.1
yellow,wooden,0.0
on the table,golden-brown,0.0
white,golden-brown,0.3
meat,chicken,0.8
carrots,brownish,0.1
fried,dried,0.4
on the plate,in the image,0.1
adjacent,brownish,0.0
green,green,1.0
artichoke,Chiles Rellenos,0.1
white,green,0.1
to the right,green,0.0
green,brown,0.1
asparagus,leeks,0.5
arranged,scattered,0.1
green,green,1.0
asparagus,fennel,0.4
upwards,towards,0.5
on top of,inside a clear glass jar,0.1
green,red,0.1
avocado,avocados,1.0
white,light-brown,0.4
on its outer skin,green,0.0
scattered,pinkish-red,0.0
green,yellow,0.2
pie,enchiladas,0.0
white,white,1.0
on top,on top,1.0
golden-brown,golden-brown,1.0
avocado,falafel,0.0
green,green,1.0
on a white square plate,on a plate,0.5
vary,diced,0.1
raspberries,raspberries,1.0
scattered,positioned,0.2
red,red,1.0
on the white cloth,green,0.0
glistening,glossy,0.8
bacon,chicken,0.2
dark brown,reddish-pink,0.1
separated by,overlapping,0.1
bacon,chicken,0.2
oven,reddish-brown,0.0
on a wire rack,on a plate,0.2
golden-brown,light,0.2
bagel bites,fajitas,0.1
blue,on the right side,0.0
in the bottom half,light,0.0
broken,white,0.0
golden-brown,light brown,0.7
bagels,fajitas,0.0
spice,jalapeño,0.6
on a wire rack,on a light blue plate,0.2
pumpernickel,light brown,0.1
brown,light brown,0.8
bagels,pancakes,0.2
on a black wire rack,on a light blue plate,0.1
white,black,0.0
golden-brown,beige,0.4
melted,golden,0.1
plate,on a white plate,0.8
sesame,beige,0.1
on the left,on top,0.2
white,white,1.0
cheese,potato,0.1
sausage,raisins,0.0
brown,brown,1.0
within the cheese,throughout,0.1
beige,pink,0.2
bananas,strawberry,0.1
yellow,blue,0.2
to the left of,to the left,0.9
brown,chocolate,0.7
chocolate,irregularly shaped,0.0
loaves,irregularly shaped,0.1
golden-brown,irregularly shaped,0.0
towards the center,on a black wire rack,0.1
fries,fries,1.0
brown,golden-yellow,0.2
white,green,0.1
on a plate,bowl,0.3
bananas,strawberries,0.2
golden-yellow,brown,0.3
in coconut milk,immersed in,0.2
bowl,bowl,1.0
golden-brown,on a light blue plate,0.0
banana,pineapple,0.2
together,on a light blue plate,0.0
tempura,golden,0.1
irregular,on a light blue plate,0.0
yellow,yellow,1.0
banana,tomatoes,0.1
white,dark brown,0.2
on top of,white,0.0
dark blue,dark blue,1.0
golden,orange-yellow,0.7
bars,pinwheels,0.0
white,orange-yellow,0.2
reddish-brown,orange,0.4
chicken,chicken,1.0
white,white,1.0
on top of,above the chicken,0.7
green,green,1.0
mix,mix,1.0
white,dark brown,0.1
dispersed,brown,0.0
orange,orange,1.0
of beef,chicken,0.0
white,white,1.0
chicken,chicken,1.0
brown,white,0.1
green,green,1.0
at the bottom,on a plate,0.1
overlapping,on a tan baking sheet,0.0
Sea Bass,halibut,0.3
white,white,1.0
on the left side,on the plate,0.2
green,green,1.0
yellowish,brown,0.5
scattered,scattered,1.0
sea bass,Flounder,0.3
on the rack,on the plate,0.2
green,golden-brown,0.2
smooth,green,0.0
batter,green,0.0
brown,green,0.1
on top,chocolate,0.0
yes,scattered,0.0
tangy,sweet,0.2
beef,Blackberry,0.0
tan,golden,0.1
orange,berries,0.1
shredded,dark brown,0.0
meat,sauce,0.2
coating,glistening,0.2
yellowish,golden-brown,0.7
chicken,chicken,1.0
reddish-brown,brown,0.7
ribs,chicken,0.2
grill,in a pan,0.2
unevenly,brown,0.0
on the top,brown,0.0
tasty,glistening,0.2
pan,microwave,0.1
green,green,1.0
green beans,beans,0.7
in the center,located,0.2
reddish-brown,beige,0.2
orange,orange,1.0
with other ingredients,beige,0.0
plate,beige,0.1
green,green,1.0
beans,pepper,0.2
tangled,scattered throughout,0.2
yes,green,0.0
in the bottom center,green,0.0
glossy,bright,0.5
beans,garlic,0.1
peppered,with black pepper,0.7
overlapping,arranged,0.1
throughout the entire image frame,green,0.0
tan,tan,1.0
bowl,bowl,1.0
fill,fill,1.0
brown,brown,1.0
in the broth,located,0.1
sliced,sliced,1.0
beef,venison,0.3
brown,red,0.2
with peppers,vegetables,0.2
slow,grill,0.1
reddish-brown,brownish-gray,0.4
meat,fajitas,0.5
in the upper-right portion,on the left side,0.0
brown,rice,0.1
white,of the foam,0.0
at the top,white,0.0
glasses,glasses,1.0
amber,yellow,0.7
surface,on top of,0.7
red,red,1.0
beets,granola,0.0
green,red,0.1
yellow,light,0.3
cake,enchiladas,0.1
on a clear glass,on a white plate,0.2
yellow,white,0.2
biscuits,cookies,0.8
clustered,stacked,0.3
baked,cooked,0.8
golden-brown,located,0.0
pale,on the plate,0.0
cream,on the plate,0.1
on a wire rack,on top,0.2
beige,white,0.2
biscuits,fajitas,0.0
orange,white,0.1
across the image,in the bowl,0.2
flaky,flaky,1.0
light-colored,black,0.0
blondies,enchiladas,0.0
brown,brown,1.0
on top,red,0.0
drizzle,olives,0.0
purple,dark blue,0.3
blueberries,mango,0.1
pink,reddish-pink,0.8
bowl,reddish-pink,0.0
under the bowl,on the plate,0.2
golden-brown,golden-tan,0.9
reddish-brown,white,0.0
covering,coating,0.8
plate,plate,1.0
yellow,tan,0.6
in the center,on the plate,0.2
green,green,1.0
spinach,tofu,0.1
avocado,green,0.3
closer to,throughout the bowl,0.1
tan,white,0.0
rice,quiche,0.1
on the left side,at the bottom,0.1
green,green,1.0
reddish-brown,brown,0.7
brats,brats,1.0
green,green,1.0
draped over,on top of,0.5
liquid,brown,0.1
walnuts,visible,0.0
speckled,bright,0.1
on top,on top,1.0
white,yellow,0.2
loaf,glasses,0.0
tan,golden-brown,0.2
overlapping,white,0.0
on the board,on the left,0.2
white,golden-orange,0.2
golden-brown,golden-brown,1.0
stacked,cascading,0.6
beige,golden-brown,0.6
bread,fajitas,0.1
creamy,yellowish,0.2
on a wire rack,on a wooden surface,0.2
bright,creamy,0.2
orange,golden-brown,0.5
around the eggs,throughout,0.2
brown,brown,1.0
beef brisket,filet mignon,0.2
green,beige,0.1
gravy,brown,0.2
on the plate,on the left side,0.2
golden-brown,brown,0.7
within,on top of,0.1
brown,brown,1.0
beef,chicken,0.2
green,green,1.0
on a plate,on top of,0.6
rice,on top of,0.0
broccoli,fennel,0.4
green,green,1.0
red,yellow,0.2
cooked,cooked,1.0
on a plate,in the center,0.1
broth,silver,0.0
green,green,1.0
within the broth,in,0.5
square,brown,0.0
brown,brown,1.0
on top,on top of,0.9
green,green,1.0
brown,white,0.0
shiny,thick,0.0
pecans,peanuts,0.4
brown,dark brown,0.8
brownies,cake,0.5
cracked,on top of,0.0
walnuts,brown,0.1
on top of,on a black plate,0.3
dark-brown,dark brown,1.0
arranged,on a black plate,0.1
brownies,enchiladas,0.0
within the chocolate,scattered,0.0
white,green,0.1
bruschetta,kugel,0.1
red,red,1.0
on the center,on a plate,0.2
toasted,bread,0.5
melted,toasted,0.2
black,plate,0.0
red,red,1.0
on top,on top of,0.9
reddish-brown,reddish-brown,1.0
beef,chicken,0.2
glistening,appears,0.2
on top of,orange,0.0
orange,orange,1.0
one-third,takes,0.0
burgers,salad,0.1
brownish-tan,brown,0.8
of the burgers,pasta,0.0
green,green,1.0
white,white,1.0
melted,melted,1.0
orange,yellow,0.3
in the dish,on the plate,0.3
layers,scattered,0.1
vegan,on the plate,0.0
burritos,fajitas,0.4
tan,beige,0.1
on top,on top of,0.9
sweet,spicy,0.1
burritos,fajitas,0.4
black,green,0.0
on a black plate,on the plate,0.5
orange,orange,1.0
white,clear,0.3
cupcake,cake,0.7
light blue,brown,0.0
on top of,on top of,1.0
rectangular,cake,0.2
cake,enchiladas,0.1
blue,blue,1.0
caramel,white,0.0
around the perimeter,towards the top,0.1
shredded,shredded,1.0
cabbage,garlic,0.2
on the top-right,red,0.0
white,brown,0.2
pinkish-red,golden-yellow,0.1
white,dark brown,0.2
bowl,bowl,1.0
breadcrumbs,on the right,0.0
golden,on the bottom right,0.0
shredded,green,0.0
green-cabbage,cabbage,0.8
white,white,1.0
orange,orange,1.0
within the salad,orange,0.0
reddish-orange,dark brown,0.1
cabbage,okra,0.2
yellowish-green,green,0.7
beans,beans,1.0
in the center,in the center,1.0
cabbage,okra,0.2
brown,green,0.1
on top of the plate,green,0.0
orange,orange,1.0
Evenly-distributed ,dispersed,0.7
floating in,towards the center,0.0
red,tomatoes,0.5
orange,purple,0.1
light-brown,orange,0.3
chicken,chicken,1.0
red,red,1.0
on the right side,on a plate,0.2
spaghetti,white,0.1
reddish-brown,red,0.6
chicken,chicken,1.0
light-yellow,yellow,0.8
in the center,on a plate,0.1
light,brownish-orange,0.2
chicken,venison,0.1
red,reddish-orange,0.7
cheese,sprinkled,0.1
golden,golden,1.0
calamari,lobster,0.1
arranging,arranged,0.9
white,green,0.1
on the plate,on the surface,0.5
yellow,dark brown,0.1
bowl,soup,0.3
brown,brownish-red,0.8
on top of,bowl,0.0
yellow,browned,0.2
plate,plate,1.0
beef,chicken,0.2
brown,reddish-brown,0.8
in broth,in it,0.2
yellow,brown,0.2
chocolate,reddish-brown,0.3
candy,fajitas,0.0
brown,brown,1.0
right of orange ribbon,on top of,0.1
brown,off-white,0.1
sugar,caramel,0.6
white,green,0.1
to the left,red,0.0
brownish-red,brown,0.7
meat,pizza,0.2
dark brown,reddish-brown,0.7
charred,darker,0.5
vegetables,crawfish,0.1
hard,glossy,0.1
candy,fajitas,0.0
orange,creamy,0.1
coated,with each other,0.0
throughout,is located,0.0
green,green,1.0
candy,fajitas,0.0
reddish-brown,brown,0.7
center,on the left side,0.0
on the plate,on a plate,0.9
red,reddish-purple,0.6
poured,light,0.0
candy,fajitas,0.1
translucent,translucent,1.0
on a piece,light,0.0
yellow,purplish-red,0.2
center of the image,on the right side,0.1
fluffy and toasted,fluffy,0.5
meringue,meringue,1.0
silver,golden brown,0.2
light-green,tan,0.2
pasta,enchiladas,0.1
black,cheese,0.0
in a creamy sauce,coated,0.3
silver,silver,1.0
brown,yellow,0.2
meat,brisket,0.8
bubbling,pooling,0.4
yellow-brown,meat,0.1
orange,orange,1.0
carrots,kale,0.2
white,dark brown,0.2
orange,orange,1.0
carrots,asparagus,0.2
glistening,scattered,0.1
in the center,scattered,0.0
green,dill,0.3
yellowish,white,0.2
rice,noodles,0.2
orange,green,0.1
green,glasses,0.0
cashews,corn nuts,0.2
tan,brown,0.2
Piled randomly,brown,0.0
on a purple surface,on the bowl,0.2
triangular,mound,0.2
casserole,casserole,1.0
green,within the layers,0.0
with cheese,mixed with,0.2
egg,jicama,0.1
beige,elongated,0.0
catfish,grouper,0.2
reddish-orange,red,0.7
in the upper-center,elongated,0.0
fried,brown,0.3
golden-brown,golden-brown,1.0
catfish,Flounder,0.2
center,at the top,0.1
green,green,1.0
on the foreground,at the top,0.2
fills,fills,1.0
cauliflower,potatoes,0.2
blue,dark brown,0.0
yellow,yellow,1.0
creamy,creamy,1.0
mac-n-cheese,mac and cheese,1.0
white,dark brown,0.1
orange-yellow,green,0.2
off-white,white,0.5
cauliflower,jicama,0.2
green,green,1.0
broccoli,apple,0.1
broccoli,cabbage,0.7
glass jars,glass jars,1.0
white,yellow,0.2
orange,orange,1.0
on the countertop,on a surface,0.7
golden-brown,brown,0.7
bread,fajitas,0.1
on the cutting board,in the center,0.2
yellow,brown,0.2
dark green,green,0.8
chard,beans,0.1
garlic,green,0.1
white,on or near,0.0
in a bowl,green,0.0
rainbow,orange,0.2
chard,green,0.2
green,green,1.0
in a bowl,in the center,0.2
vegetables,green,0.3
cheeseburger,burger,0.8
yellow,yellow,1.0
golden-brown,tan,0.7
pickle,red,0.0
on a white plate,tan,0.1
tan,light,0.1
burger,burger,1.0
orange,orange,1.0
located to the left,orange,0.0
beige,yellow,0.3
filling,gray,0.0
right side of the image,on plate,0.1
silver,gray,0.6
golden-brown,golden,0.8
cheesecake,enchiladas,0.1
white,white,1.0
sprinkled,sprinkled,1.0
white,brown,0.2
cheesecake,enchiladas,0.0
blue,dark-blue,0.9
on the plate,on plate,0.9
syrup,drizzled,0.2
red,red,1.0
jar,ramekin,0.3
on top of,red,0.0
dark-brown,golden-brown,0.5
cheesecake,enchiladas,0.0
glaze,creamy,0.1
strawberries,icing,0.1
on top of,on top,0.9
creamy,chocolate,0.2
cherries,raspberries,0.6
fills,takes,0.2
purple,orange,0.1
throughout the bowl,throughout,0.7
red,yellow-brown,0.2
cherries,dipped,0.0
brown,brown,1.0
on the left,on top,0.2
orange,orange,1.0
browned,brown,0.8
chicken,oxtail,0.1
on top of the plate,in the center,0.3
parsley,basil,0.5
golden,tan,0.4
brown,glossy,0.1
reddish-brown sauce,with a reddish-brown tomato-based sauce,0.9
on and around the chicken,on top,0.3
yellow,brown,0.2
red,brown,0.4
sprinkled on top,on top of,0.7
fork,fork,1.0
crispy,crispy,1.0
large,large,1.0
chili,fries,0.0
red,brownish-red,0.8
in a pot,contained within,0.4
sausage,chili,0.2
green,is,0.0
bowl,is,0.0
in the bowl,in the image,0.2
green,dark brown,0.1
dip in,on the spoon,0.1
scattered,piled,0.2
chips,fajitas,0.1
green,yellow,0.2
golden-yellow,brownish,0.3
towards the central region,yellow,0.0
swirled,speckled,0.4
tan,white,0.0
many,jars,0.0
rectangular,diced,0.2
in clear plastic,foil,0.0
dessert,dessert,1.0
clear,clear,1.0
raspberries,plum,0.2
scattered,on top of,0.1
on a metallic surface,on top of,0.3
chocolate,brown,0.3
brown,golden-brown,0.8
golden-brown,white,0.0
on top of,brown,0.0
creamy,brown,0.1
cake,rice,0.1
brown,golden-yellow,0.2
on top,in the upper left quadrant,0.2
chocolate,white,0.2
drizzled,white,0.0
brown,brown,1.0
ice cream,ice cream,1.0
white,white,1.0
at the bottom,on the plate,0.2
yellow,beige,0.5
bowl,bowl,1.0
dispersed,scattered,1.0
carrots,corn,0.2
on the surface,on the top,0.7
corn,leeks,0.1
brown,brown,1.0
yellow,yellow,1.0
across the surface,on top of,0.7
red,green,0.1
bowl,bowl,1.0
center of the bowl,in the bowl,0.5
fills,fills,1.0
pulpy,red,0.1
jar,jar,1.0
brownish-yellow,green,0.0
with the chutney,filled,0.1
label,clear,0.2
red,yellow-green,0.2
apple,visible,0.0
slices,yellow-green,0.0
green,tan,0.1
in a clear liquid,in the water,0.8
white,dark brown,0.1
bowl,bowl,1.0
brown,tan,0.7
in the center,located,0.3
off-white,beige,0.3
chowder,soup,0.7
sits on,sits on,1.0
circle,patterned,0.2
herbs,light,0.0
white,dark brown,0.1
clams,mussels,0.7
brown,brown,1.0
in a bowl,on a plate,0.2
green,green,1.0
golden-brown,golden,0.8
pumpkin,golden,0.1
white,green,0.1
on the plate,on the plate,1.0
crumbly,on top,0.0
golden-brown,brown,0.7
cobbler,enchiladas,0.0
yellow,orange-brown,0.4
with variations,brown,0.0
baking,along the outer edge,0.0
homemade,vibrant,0.0
jars,jars,1.0
yes,overlapping,0.0
vegetable,vibrant,0.1
yes,centered,0.0
Cocktail,juice,0.3
float,fill,0.1
clear,clear,1.0
glass,martini,0.3
in a slight curve,red,0.0
clear,clear,1.0
glass,martini,0.3
white,white,1.0
yellow,rice,0.1
on top of,on the rim,0.5
turquoise-blue,yellow,0.0
jar,glass,0.5
red,white,0.2
on the rim,on top of,0.3
shark,garnish,0.0
garnished,orange,0.1
orange,in the foreground,0.0
yellow-orange,orange,0.8
Monkey Gland,Super Al's,0.1
on the surface,orange,0.0
yes,brown,0.0
cocoa,tofu,0.1
no,orange,0.0
yes,pâté,0.0
on the upper left,on the left side,0.6
spiced,Ginger,0.7
chocolate-brown,white,0.0
two,slices,0.0
on top of,sitting on top of,0.9
golden-brown,white,0.0
cod,grouper,0.3
resting,white,0.0
on top of,next to,0.2
glass,glass,1.0
green,green,1.0
green,green,1.0
on the rim,on the right,0.2
vibrant red,vibrant,0.5
light,brown,0.1
mug,chocolate,0.1
red,white,0.2
across a light brown surface,on the lower left,0.1
coffe beans,potatoes,0.0
clear,clear,1.0
coffee,cocktail,0.1
brown,light brown,0.8
straw,in the lower left,0.0
white,cream,0.8
coffee,coffee,1.0
glass,glass,1.0
whipped cream,foamy,0.3
on the rim,brown,0.0
at the center,in the center,1.0
sausages,green,0.0
brown with a slight char,brownish-gray,0.3
white,yellow,0.2
filling,fills,0.9
white,dark brown,0.1
bowl,yellow,0.0
green,green,1.0
pink,ham,0.0
multicolored,yellow,0.2
creamy,creamy,1.0
coleslaw,Relish,0.2
orange,orange,1.0
in the left,located to the left,0.9
onion,adds,0.0
green,throughout the dish,0.0
bowl,spoon,0.2
orange,orange,1.0
creamy,creamy,1.0
in a glass bowl,in the center,0.2
red-purple,red,0.5
in the bowl,bowl,0.8
wooden board,bowl,0.1
Cutting and serving,brown,0.0
to the right of,on the left side,0.0
yes,brown,0.0
cookie,bread,0.3
brown,green,0.1
on the pan,in the upper left,0.0
clear,clear,1.0
jar,jar,1.0
brown,brown,1.0
with red ribbon,tied with,0.3
bright,vibrant,0.8
on the colorful surface,on the left,0.1
orange juice,on the left,0.0
into the cooler,into the frappuccino,0.2
yellow,brown,0.3
yes,scattered,0.0
across the majority of,on the cob,0.0
melted and browned cheese,topped with,0.1
brownish-orange,in the background,0.0
light,inside a tin,0.1
golden-brown,light-brown,0.7
glass,glass bowls,0.8
on the top-left,in the upper left corner,0.9
yellow,yellow,1.0
corn,lentils,0.1
mixed,mixed,1.0
red,red,1.0
brown,black,0.2
beans,vegetables,0.3
red,red,1.0
on the right,on the top,0.2
white,dark brown,0.2
scattered,packed,0.0
yellow,yellow,1.0
in a bowl,on the top of bacon,0.1
in a bowl,in color,0.1
golden-yellow,golden-yellow,1.0
cornbread,lefse,0.2
black,black,1.0
coarse,crumbly,0.6
golden,golden-yellow,0.9
cornbread,lefse,0.2
white,blue,0.2
on a plate,on top of,0.6
cornbread,within the base,0.0
cornbread,lefse,0.2
green,green,1.0
on the top-left,located on,0.3
cottage cheese,cheese,0.7
white,dark brown,0.1
yellow,brown,0.2
around the cottage cheese,towards the center,0.1
chicken,chicken,1.0
on the pan,on the left plate,0.2
spinach,white,0.0
white,white,1.0
in the foreground,with orange,0.1
yellow,brown,0.2
couscous,farro,0.3
white,dark brown,0.1
green,brown,0.2
on top of,on top of,1.0
tan,brown,0.2
filling,brown,0.0
couscous,quinoa,0.5
white,brown,0.2
creamy,sandy,0.1
tan,light,0.1
couscous,rice,0.3
red,couscous,0.0
green,couscous,0.0
within the pot,brown,0.0
bowl,bowl,1.0
white,brown,0.2
beige,brown,0.7
small and round,brown,0.2
in a white bowl,bowl,0.5
yellowish-orange,light,0.2
green,tomatoes,0.2
across the top,across the top,1.0
spoon,brown,0.1
crab cakes,kabobs,0.1
golden,golden-brown,0.8
green,golden-brown,0.2
reddish-orange,mixed in,0.0
crab,crawfish,0.5
clustered,scattered,0.0
sausages,reddish,0.1
red,red,1.0
pie,enchiladas,0.0
tan,tan,1.0
golden,golden-brown,0.8
towards the left,upward,0.1
cranberry,yellow,0.0
chicken,chicken,1.0
light blue,green,0.2
golden brown,orange,0.3
on a plate,on a white paper,0.3
fills,fills,1.0
bowl,red,0.1
thick,red,0.0
light brown and red,brown,0.5
in the center,on top,0.2
crawfish,crab,0.5
green,on top,0.0
within a white bowl,orange-pink,0.0
beige,terracotta-colored,0.3
piled,piled,1.0
crawfish,chicken,0.1
red,orange-pink,0.3
on top of,on top of,1.0
light,creamy,0.1
walnuts,feta,0.1
beige,white,0.2
on top,within the crumb,0.1
bowl,bowl,1.0
soft,creamy,0.7
cream,ice cream,0.9
off-white,cream,0.6
fills,fills,1.0
on top,at the top,0.9
white,green,0.1
blueberries,white,0.0
brown,yellow,0.2
blueberries,yellow,0.0
on the plate,on the wooden surface,0.3
golden brown,beige,0.4
crepe,slice,0.1
darker,darker,1.0
in the center,beige,0.0
purple,red,0.2
rolls,patties,0.2
golden brown ,on the white plate,0.1
flaky dough,inner,0.0
on the lower right,yellow,0.0
golden-yellow,tan,0.6
overlap,brown,0.0
cheese,fries,0.1
lacy,crisp,0.1
on the upper-left,brown,0.0
white,buns,0.1
brown,tan,0.7
on a white plate,tan,0.1
the crisp in the front,larger,0.0
green,green,1.0
cones,spherical,0.1
golden-brown,golden brown,1.0
lies,sitting on,0.0
brown,golden-brown,0.8
croquettes,fajitas,0.1
dark,to the right,0.0
on a plate,on a white surface,0.5
arranged,plate,0.1
yummylicious,amazing,0.6
croquettes,fajitas,0.1
golden,on a white surface,0.0
on a silver metal rack,on a white surface,0.2
brown,on a white surface,0.1
beige,green,0.1
croquettes,fajitas,0.1
golden brown,covered,0.1
resting on the plate,on a white surface,0.3
yes,visible,0.1
pie,enchiladas,0.0
green,green,1.0
off-white,white,0.5
on a white plate,on plate,0.7
red,red,1.0
bowl,ramekin,0.5
orange,orange,1.0
mixed,arranged,0.2
on top of,glass,0.0
red,glistening,0.1
bowl,ramekin,0.5
yes,glass,0.0
golden-brown,glass,0.0
at the bottom,on top of,0.0
pie,enchiladas,0.0
red,filling,0.0
beneath,glass,0.1
brown,slice,0.0
green,white,0.1
scattered,raspberries,0.1
brown,golden-brown,0.8
berries,scattered,0.1
atop,blackberry,0.0
golden-brown,golden-brown,1.0
pie,fajitas,0.1
lattice,sandwich,0.0
across the entire top,on top,0.7
leaves,candy canes,0.0
yellow,golden-brown,0.6
pie,fajitas,0.1
crust,pie crust,0.9
crimped,golden,0.0
in the center,in the image,0.2
golden,golden-brown,0.8
pie,fajitas,0.1
red,purplish-red,0.8
tan,golden-brown,0.2
dripping,cheese,0.1
tan,golden-brown,0.2
premium,vibrant,0.1
cheese,topped with,0.0
in the lower portion,right side,0.2
green,green,1.0
cucumbers,yogurt,0.1
white,white,1.0
creamy,yogurt,0.5
throughout the image,throughout the image,1.0
white,white,1.0
salad,casserole,0.1
red,red,1.0
on a plate,on a white plate,0.9
green,green,1.0
green,green,1.0
salad,enchiladas,0.1
visible,green,0.2
white,white,1.0
inside a transparent bowl,rollups,0.0
green,green,1.0
cucumbers,onion,0.1
sliced,green,0.0
on their surfaces,on the pot's side,0.4
fresh,small,0.1
cucumbers,garlic,0.1
green,green,1.0
overlapping,overlapping,1.0
yellow,amber,0.8
margaritas,cocktail,0.7
white,woven,0.1
cucumber,carrots,0.2
on the rim,on top of,0.3
green,green,1.0
cucumber,glasses,0.0
wooden,in a clear glass bowl,0.0
cucumbers,peppers,0.2
fill,fill,1.0
white,tan,0.5
in a shallow bowl,inside,0.2
white,on a light blue tray,0.2
golden-brown,golden-brown,1.0
on a white surface,on a light blue tray,0.3
pink,white,0.2
reddish-brown,yellow,0.1
cupcake,enchiladas,0.0
on the plate,in a hand,0.2
yellow,yellow,1.0
curd,almond sherbet,0.0
glass,yellow,0.0
submerged inside,submerged,0.8
smooth,yellow,0.0
curry,salad,0.1
white,dark brown,0.2
golden-brown,off-white,0.1
on top of,on and around,0.6
covering,white,0.0
cake,cake,1.0
roses,blue,0.1
swirling,blue,0.0
over the entire surface,white,0.0
yellow,yellow,1.0
custard,enchiladas,0.0
into the custard,into the sorbet,0.5
orange-brown,yellow,0.2
custard,ice cream,0.5
fills,fills,1.0
white,white,1.0
on the plate,on the bowl,0.4
pale,golden-brown,0.4
chicken,chicken,1.0
brown,green,0.1
on top,on top of,0.9
red,green,0.1
white,red,0.1
immersing,bowl,0.1
dark,reddish-brown,0.3
spices,capers,0.6
across the bowl,throughout the pan,0.3
raspberry,apple,0.2
golden-brown,golden-brown,1.0
plate,yellow,0.1
red,red,1.0
on a plate,yellow,0.0
Turkish Delight,enchiladas,0.0
coated,tan,0.1
white,golden-brown,0.3
scattered,clustered,0.2
across the frame,serving,0.0
dessert,showing,0.0
taking,piercing,0.2
white,blue,0.2
on top,on the top,0.9
glossy,creamy,0.2
baking,bake,0.9
yellow,beige,0.4
melted,creamy,0.2
in a clear glass,bowl,0.1
filling,dark brown,0.0
bean,queso,0.1
brown-black,dark brown,0.8
in the center-left,dark brown,0.0
white,orange,0.1
pizza,on top,0.0
red,reddish-brown,0.7
across the surface,scattered,0.2
green,green,1.0
golden-brown,across the top,0.0
corn dogs,fajitas,0.1
