Image,Question,Answer
2836bea848092dc,What type of glass is the lassi served in,glass
2836bea848092dc,What color is the spiced mango lassi,golden-orange
2836bea848092dc,Where is the straw inserted,into the lassi
2836bea848092dc,What color are the leaves in the backdrop,green
66e6140aca81459,What color is the mug,brown
66e6140aca81459,What color is the whipped cream on top of the latte,white
66e6140aca81459,Where is the mug placed,sitting on
66e6140aca81459,What is on top of the latte,whipped
66e6140aca81459,What is scattered across the whipped cream,scattered
44bbcb71225e21a,What is the color of the glass mugs,transparent
44bbcb71225e21a,What type of mugs are used,mugs
44bbcb71225e21a,What color is the tray,white
44bbcb71225e21a,What is the primary color of the Eggnog Lattes,tan
44bbcb71225e21a,Where are the mugs situated,on a white
0bd5b1fdb2657ea,What color is the mug,brown
0bd5b1fdb2657ea,What color is the foam on top of the latte,mug
0bd5b1fdb2657ea,What is the croissant filled with,white
0bd5b1fdb2657ea,Where is the white foam located,filling
0bd5b1fdb2657ea,Where is the croissant placed,on top
9eef702c19b23dd,What color is the foam on the latte,white
9eef702c19b23dd,What type of chocolate is shaved on top of the foam,chocolate
9eef702c19b23dd,What color is the latte,tan
9eef702c19b23dd,Where is the shaved white chocolate placed,on top of
9eef702c19b23dd,What fruit is placed to the left of the plate,strawberry
3bf094c92960bc0,What color is the mug,white
3bf094c92960bc0,What is the latte served in,mug
3bf094c92960bc0,What is the latte topped with,topped
3bf094c92960bc0,What color is the swirl of coffee in the foam,light brown
3bf094c92960bc0,Where is the bottle of caramel syrup located,to the left
30b4ce0f9b8b4b7,What type of mug is the latte served in,glass
30b4ce0f9b8b4b7,Is the color of the latte darkening towards the top,darkening
30b4ce0f9b8b4b7,What is the overall color of the latte,brown
30b4ce0f9b8b4b7,What color is the foam at the top of the glass,white
30b4ce0f9b8b4b7,Where is the caramel sauce drizzled,down the side
f6d25a896d5af22,What color is the top creamy layer of the latte,creamy
f6d25a896d5af22,How many distinct layers does the latte have,layer
f6d25a896d5af22,What color is the dark brown layer of the latte,brown
f6d25a896d5af22,Where is the dark brown layer located in the latte,in the center
f6d25a896d5af22,Where is the mug situated in the image,on
c5cc39a0e3818c9,What color is the cup,white
c5cc39a0e3818c9,What type of drink is in the cup,latte
c5cc39a0e3818c9,What does the latte have on top of the foam,has
c5cc39a0e3818c9,What color is the bottom layer of the latte,brown
c5cc39a0e3818c9,Where is the dusting of brown spice located,on top of
6af14acb7137174,What color is the icing on the bombs,orange
6af14acb7137174,What are the spherical items on the plate called,bombs
6af14acb7137174,What color is the base of the bombs,white
6af14acb7137174,What is the color of the plate,on a white plate
6af14acb7137174,What shape are the Pumpkin-Spice Latte Bombs,spherical
c9415b9229130d1,What color is the coffee-colored liquid at the bottom of the glass,brown
c9415b9229130d1,What type of beverage is the Frozen Caramel Latte,coffee
c9415b9229130d1,What is the texture of the frozen liquid layer,layer
c9415b9229130d1,What is on top of the Frozen Caramel Latte,with whipped cream
c9415b9229130d1,What color is the mint sprig on the whipped cream,green
5792a191d9f0d66,What is the pattern of the light brown color in the latte,swirling
5792a191d9f0d66,What type of drink is shown in the image,latte
5792a191d9f0d66,What color is the cup and saucer,green
5792a191d9f0d66,What color are the spices sprinkled on the whipped cream,with reddish-brown spices
5792a191d9f0d66,What does the latte do to the rest of the cup,fills
6a3f684ef892829,What color is the glass mug,clear
6a3f684ef892829,What type of drink is shown in the image,latte
6a3f684ef892829,What color is the latte beneath the foam,brown
6a3f684ef892829,What is the texture of the foam on top of the latte,creamy
6a3f684ef892829,Where is the Pumpkin Spice Latte located in the image,in the image
d0b4cadd13bcf9d,What type of drink is shown in the image,iced
d0b4cadd13bcf9d,What is the main ingredient in the whipped mixture,coffee
d0b4cadd13bcf9d,What color is the whipped coffee mixture,brown
d0b4cadd13bcf9d,Where is the Whipped Coffee Iced Latte located in the image,in the center
d0b4cadd13bcf9d,What is the white liquid at the bottom of the glass,milk
e412721ebf46e76,What is the primary color of the latte,brown
e412721ebf46e76,What type of drink is shown in the image,latte
e412721ebf46e76,What is on top of the latte,topped
e412721ebf46e76,What color is the whipped cream,white
e412721ebf46e76,Where is the latte positioned in the frame,to the left
ec44bc0ad6147d1,What color is the liquid in the latte,yellow-orange
ec44bc0ad6147d1,How is the brown powder distributed on the latte,sprinkled
ec44bc0ad6147d1,What type of drink is shown in the image,latte
ec44bc0ad6147d1,What color is the powder sprinkled on the latte,brown
ec44bc0ad6147d1,Where is the brown powder mostly concentrated on the latte,in the center
ef402d5f3664220,What color is the base of the latte,brown
ef402d5f3664220,What color is the foam on top of the latte,white
ef402d5f3664220,What is the latte served in,mug
ef402d5f3664220,What is covering much of the latte's surface,covering
ef402d5f3664220,What sits on top of the latte,foam
1546a9a725566d8,What flavor is the latte,Coconut-White
1546a9a725566d8,What type of drink is shown in the image,latte
1546a9a725566d8,What color is the latte,tan
1546a9a725566d8,What color is the foam on top of the latte,white
1546a9a725566d8,Where is the whipped cream located,on the whipped cream
973bdf53297b123,What color is the plate,white
973bdf53297b123,What vegetable is being prepared,leeks
973bdf53297b123,What color are the leeks at the bottom of the plate,green
973bdf53297b123,How do the leeks appear after being cooked,glistening
973bdf53297b123,What were the leeks sautéed in,in butter
3696eb3ca18cf5c,What color is the dish,white
3696eb3ca18cf5c,What vegetable is the main ingredient,leeks
3696eb3ca18cf5c,What color are the edges of the roasted leeks,brown
3696eb3ca18cf5c,What cheese is sprinkled on the leeks,with parmesan
3696eb3ca18cf5c,What is sprinkled over the leeks,sprinkled
5a89b6975a97023,What color are the leeks,green
5a89b6975a97023,What vegetable is pale green to yellow in the pan,leeks
5a89b6975a97023,How are the leeks arranged in the pan,scattered
5a89b6975a97023,What color are the carrot strips,orange
5a89b6975a97023,Where are all the ingredients located,on a black stovetop
6e19c26f8bf383e,What color is the serving dish,silver
6e19c26f8bf383e,What vegetable is featured in the dish,leeks
6e19c26f8bf383e,What color is the napkin under the dish,green
6e19c26f8bf383e,Where is the serving dish placed,resting on
6e19c26f8bf383e,What is the texture of the cheese on top of the leeks,shredded
101177a218f0e00,What color are the leeks,green
101177a218f0e00,What vegetable is being cooked,leeks
101177a218f0e00,What cooking method is used for the leeks,sauteing
101177a218f0e00,Where are some leeks placed in relation to the steak,on top of
101177a218f0e00,Where are the leeks primarily located on the plate,located
c13fbf37f37fc40,What color are the baby carrots,orange
c13fbf37f37fc40,What is the dominant food item in the dish,carrots
c13fbf37f37fc40,How would you describe the color of the baby carrots,vibrant
c13fbf37f37fc40,What color are the leeks in the dish,green
c13fbf37f37fc40,How are the leeks cut,cut
94512c29dd5e7f1,What color is the plate,beige
94512c29dd5e7f1,What vegetable is on the plate,leeks
94512c29dd5e7f1,What color are the tops of the leeks,green
94512c29dd5e7f1,Where are the leeks placed,on a light beige plate
94512c29dd5e7f1,What color are the lemon wedges,yellow
2b6bc808859f051,What color is the lemon filling,yellow
2b6bc808859f051,What fruit flavor are the squares,lemon
2b6bc808859f051,What shape are the lemon squares,squares
2b6bc808859f051,How does the lemon filling appear,translucent
2b6bc808859f051,Where is the top lemon square positioned,on top of
d2643da452a3eab,What color is the rice on the plate,white
d2643da452a3eab,What type of meat is in the dish,chicken
d2643da452a3eab,What fruit is used to flavor the chicken,lemon
d2643da452a3eab,What color are the scallions used as garnish,green
d2643da452a3eab,Where is the food placed,on a plate
266ba9144fa1bca,What color is the pie filling,yellow
266ba9144fa1bca,Where does the pie filling sit,sits
266ba9144fa1bca,What is the dessert described in the image,pie
266ba9144fa1bca,What shape is the pie slice,triangular
266ba9144fa1bca,Where is the whipped cream located,on the top
c3ef4bebd7d83f7,What color is the bottom layer of the pie,yellow
c3ef4bebd7d83f7,What color is the top layer of the pie,golden-brown
c3ef4bebd7d83f7,What is the texture of the crust's edge,crimped
c3ef4bebd7d83f7,What is the color of the crust,is
c3ef4bebd7d83f7,Where are the two yellow lemons located,on the upper right side
d455083a5c96001,What color is the filling of the pie,yellow
d455083a5c96001,What type of dessert is shown in the image,pie
d455083a5c96001,What color is the plate the pie slice is resting on,gray
d455083a5c96001,Where is the dollop of whipped cream located,on the
d455083a5c96001,What color is the whipped cream on the pie,white
137c8d16da7ce95,What is located on the top of each mini cheesecake,curd
137c8d16da7ce95,Where is the lemon curd located,located on the top
137c8d16da7ce95,What type of dessert is shown in the image,cheesecakes
137c8d16da7ce95,How is the lemon curd garnished,garnished
137c8d16da7ce95,What color is the mint leaf,green
6e8e08d339b08c2,What color is the filling of the pie,yellow
6e8e08d339b08c2,What type of dessert is shown in the image,pie
6e8e08d339b08c2,What color are the mint leaves on the pie,green
6e8e08d339b08c2,What color is the crust of the pie,brown
6e8e08d339b08c2,Where are the crumbs located on the pie,on top
def71955d0af5cb,What color is the lemon curd in the left jar,yellow
def71955d0af5cb,What fruit is associated with the curd in the image,lemon
def71955d0af5cb,How would you describe the color of the lemon curd in the left jar,bright
def71955d0af5cb,What containers hold the lemon curd,jars
def71955d0af5cb,Where are the two lemons located in the image,to the left
b312ccef1073d2e,What color is the lemon ginger water,yellow
b312ccef1073d2e,What fruit is visible in the glasses and pitcher,lemon
b312ccef1073d2e,What is the lemon ginger water made with,water
b312ccef1073d2e,What color is the tray,white
b312ccef1073d2e,Where are the glasses and pitcher arranged,on a tray
c0df1ab0d23d4bd,What is the lemon sauce described as,vibrant
c0df1ab0d23d4bd,What fruit is associated with the sauce,lemon
c0df1ab0d23d4bd,What color is the pitcher,yellow
c0df1ab0d23d4bd,What is positioned in the center of the image,pitcher
c0df1ab0d23d4bd,Where is the pitcher positioned,in the center
374e87ebca31172,What color is the baking dish,blue
374e87ebca31172,What flavor is the dump cake,lemon
374e87ebca31172,What color is the crumb topping of the cake,golden-brown
374e87ebca31172,What is the whipped cream doing to the cake on the plate,obscuring
374e87ebca31172,Where is the portion of cake with whipped cream located,on the plate
9844f41e998ae72,What color is the lemon filling,pale yellow
9844f41e998ae72,What is located between the two layers of cake,is
9844f41e998ae72,What is the texture of the lemon filling,creamy
9844f41e998ae72,What is the lemon filling on top of,cake
9844f41e998ae72,Where is the lemon filling located in relation to the strawberries,on top of
8790e4e04b8ec77,How would you describe the shade of the lemon squares,light
8790e4e04b8ec77,What type of dessert is shown in the image,lemon squares
8790e4e04b8ec77,How are the lemon squares positioned on the plate,arranged
8790e4e04b8ec77,Where are the lemon squares placed,on a white plate
8790e4e04b8ec77,What herb is next to the lemon,mint
aacd533122666f9,What is the predominant color of the lemon cream,vibrant
aacd533122666f9,What fruit is the cream made from,lemon
aacd533122666f9,What color is the lemon cream,yellow
aacd533122666f9,What utensil is partially submerged in the cream,spoon
aacd533122666f9,Where is the spoon located in the cream,in the cream
c573ec9c9c7cfab,What color is the lemon sauce for salmon patties,beige
c573ec9c9c7cfab,What is the lemon sauce for salmon patties served with,sauce
c573ec9c9c7cfab,What color is the spatula in the image,blue
c573ec9c9c7cfab,What is the texture of the lemon sauce for salmon patties,creamy
c573ec9c9c7cfab,What is the lemon sauce for salmon patties clinging to,to a blue spatula
2ba326ff12d40bb,What color are the chicken pieces,beige
2ba326ff12d40bb,What type of meat is featured in the dish,chicken
2ba326ff12d40bb,What color is the sauce on the chicken,yellow
2ba326ff12d40bb,What color are the capers on top of the chicken,green
2ba326ff12d40bb,Where are the lemon slices placed in relation to the chicken,on top of
00c8bb3230bf194,What color is the lemon slice on top of the pie,yellow
00c8bb3230bf194,What type of dessert is in the glass dish,pie
00c8bb3230bf194,What color is the lime slice,bright
00c8bb3230bf194,Where is the lime slice located,green
00c8bb3230bf194,What is the lemon slice on top of,on top
2b2ae359725db30,What does the Lemon Custard Pie do to the frame,fills
2b2ae359725db30,What type of dessert is shown in the image,pie
2b2ae359725db30,What color is the pie crust around the edge,golden
2b2ae359725db30,What color are the blueberries in the pie,blue
2b2ae359725db30,Where are the blueberries located in the pie,within the custard
bba74b49fed8206,What type of seasoning is shown in the image,homemade
bba74b49fed8206,What is the color of the ceramic bowl,bowl
bba74b49fed8206,Where is the whole lemon positioned in relation to the bowl,yellow
bba74b49fed8206,What is the seasoning mixed with,with
bba74b49fed8206,What are the colorful items scattered near the bottom-left corner of the image,peppercorns
c2793101e29150d,What color is the Meyer Lemon Martini,pale
c2793101e29150d,What type of drink is in the image,martini
c2793101e29150d,What color is the Meyer Lemon Martini,yellow
c2793101e29150d,Where is the Meyer Lemon Martini located in the image,in the center
c2793101e29150d,What color is the base of the glass,green
78fa1d823c6ab94,Where is the lemon syrup located,inside
78fa1d823c6ab94,What color is the lemon syrup,yellow
78fa1d823c6ab94,What is the lemon syrup stored in,pitcher
78fa1d823c6ab94,What is the appearance of the lemon syrup,translucent
78fa1d823c6ab94,How much of the pitcher does the lemon syrup fill,filling
5784b26049977e6,What fruit is on the rim of the glass,lemon
5784b26049977e6,What type of drink is in the glass,soda
5784b26049977e6,What is the appearance of the liquid in the glass,clear
5784b26049977e6,What is the glass filled with,filled
5784b26049977e6,Where is the lemon slice positioned,on the rim
db621f115a77b33,What color is the lemon curd in the jar closer to the viewer,yellow
db621f115a77b33,What containers are used to hold the lemon curd,jars
db621f115a77b33,What is the name of the food in the jars,lemon curd
db621f115a77b33,Which jar has a brighter color,brighter
db621f115a77b33,Where is the spoon placed,on the tray
fdff52c1a1b0e21,What color is the lemonade,yellow
fdff52c1a1b0e21,What is the lemonade served in,glass
fdff52c1a1b0e21,What are the ice cubes doing in the lemonade,floating
fdff52c1a1b0e21,What color are the mint leaves,green
fdff52c1a1b0e21,Where is the sprig of mint located,on top of
87435fc8c3e3be1,What color are the cookies,tan
87435fc8c3e3be1,What type of food is shown in the image,cookies
87435fc8c3e3be1,How would you describe the appearance of the cookies,luscious
87435fc8c3e3be1,Where are the cookies placed,on a sheet
87435fc8c3e3be1,What is the surface color of the cookies,browned
20d76b82c1d1721,What color is the bowl,white
20d76b82c1d1721,What is the lemon sauce for fish served in,bowl
20d76b82c1d1721,What color is the lemon sauce for fish,orange
20d76b82c1d1721,What type of stripes does the bowl have,pastel-colored
20d76b82c1d1721,In what type of bowl is the lemon sauce for fish,in a white bowl
8c4234d49be6f12,What type of drink is in the glass mug,lemonade
8c4234d49be6f12,What color is the lemonade,is
8c4234d49be6f12,What color is the straw,yellow
8c4234d49be6f12,What color is the creamy lemonade,beige
8c4234d49be6f12,Where is the glass pitcher located,to the right
ef751c2765f7069,What is the color of the Brazilian Lemonade,creamy
ef751c2765f7069,What type of drink is shown in the image,lemonade
ef751c2765f7069,What color is the Brazilian Lemonade,yellow-green
ef751c2765f7069,Where is the frothy layer located,on top
ef751c2765f7069,What fruit is used to garnish the drink,limes
0f5ef6d65fc316b,What color is the liquid portion of the cocktail,yellow
0f5ef6d65fc316b,What is the texture of the layer on top of the drink,foamy
0f5ef6d65fc316b,What is the rim of the glass covered with,coated
0f5ef6d65fc316b,Where is the martini glass located in the image,in the center
0f5ef6d65fc316b,What type of glass is the cocktail served in,martini
a0ef96eff3b01e1,What color is the lemonade,whitish
a0ef96eff3b01e1,What type of drink is in the glass,lemonade
a0ef96eff3b01e1,What is the lemonade served in,glass
a0ef96eff3b01e1,What color are the ice cubes in the lemonade,white
a0ef96eff3b01e1,Where is the glass positioned,on a wooden surface
518308c8bdf9b24,What color is the lemonade in the glass on the right,yellow
518308c8bdf9b24,What is the name of the drink in the image,lemonade
518308c8bdf9b24,What color are the strawberry slices,red
518308c8bdf9b24,What is the lemonade served with in the glass on the right,with strawberries
518308c8bdf9b24,What material is the surface the glasses are placed on,wooden
35a151ce0d89fc1,What color is the Vodka Lemonade,yellow
35a151ce0d89fc1,What type of drink is the Vodka Lemonade,lemonade
35a151ce0d89fc1,How would you describe the appearance of the Vodka Lemonade,translucent
35a151ce0d89fc1,What is the state of the ice in the drink,crushed
35a151ce0d89fc1,Where is the wedge of yellow lemon positioned,on the left
b7f807686f8da3a,What color is the Texas Lemonade,yellow
b7f807686f8da3a,What is the name of the beverage in the glass,lemonade
b7f807686f8da3a,What color are the lime slices on the glass,green
b7f807686f8da3a,Where is the glass placed,on a napkin
b7f807686f8da3a,What is printed on the glass,glass
c6c7fd25ed4bee0,What fruit is the drink made from,Strawberry
c6c7fd25ed4bee0,How much of the glass does the drink fill,fills
c6c7fd25ed4bee0,How would you describe the color of the drink,vibrant
c6c7fd25ed4bee0,What is floating at the top of the beverage,ice cubes
c6c7fd25ed4bee0,Where is the lemon located,behind the glass
9db5f0de8db1968,What color is the lemonade in the glass,yellow
9db5f0de8db1968,Where is the glass of lemonade sitting,sitting on
9db5f0de8db1968,What is the lemonade served in,glass
9db5f0de8db1968,What is floating in the glass of lemonade,ice cubes
9db5f0de8db1968,What color are the lemons in the bowl,bright
bb3f351d47d7d84,What color is the lemonade cleanse,yellowish-tan
bb3f351d47d7d84,What material is the glass made of,glass
bb3f351d47d7d84,What color is the whole lemon,yellow
bb3f351d47d7d84,Where is the glass located,on the right
bb3f351d47d7d84,What is the surface made of,wooden
3984c7e77259afd,What color are the strawberries,red
3984c7e77259afd,What fruit is floating in the jar,strawberries
3984c7e77259afd,What color is the straw,float
3984c7e77259afd,Where is the lemon located,bright yellow
3984c7e77259afd,What is on the left side of the jar,on the left
26049641734198f,What color is the lemonade,pale
26049641734198f,What color is the lemonade,yellow
26049641734198f,What is the lemonade held in,contain
26049641734198f,What is the lemonade held in,pitcher
26049641734198f,Where is the drinking glass located,in the lower left
6989765770bc7b4,What style is the lemonade,vintage
6989765770bc7b4,What material is the glass made of,glass
6989765770bc7b4,What color is the lemonade,yellow
6989765770bc7b4,What color are the strawberries,red
6989765770bc7b4,Where is the lemon slice placed,on the rim
145563fc0ce4d3d,What color is the lemonade,yellow
145563fc0ce4d3d,What are the lemon slices doing in the lemonade,floating
145563fc0ce4d3d,What is the lemonade primarily contained in,glass
145563fc0ce4d3d,Where is the clear glass pitcher located,on the right
145563fc0ce4d3d,What pattern do some straws have,striped
5cbec4d3809cce5,What is the color of the lemonade in the glass on the left,yellowish-green
5cbec4d3809cce5,What drink is being described in the image,lemonade
5cbec4d3809cce5,What fruit is placed on the rim of the glass,lemon
5cbec4d3809cce5,What is the color of the lemon slice on the glass,pale yellow
5cbec4d3809cce5,Where is the glass of lemonade located,on the left
c52015fe496e29e,What color is the strawberry lemonade,pink
c52015fe496e29e,What fruit is used in the drink,strawberry
c52015fe496e29e,What is inside the glass jar,filling
c52015fe496e29e,What color is the lemon slice,yellow
c52015fe496e29e,Where is the lemon slice placed,on the rim
c69cfba3324049b,What is the color of the lemon slice,pink
c69cfba3324049b,What is the drink in the glass,lemonade
c69cfba3324049b,What color are the dried lavender buds,yellow
c69cfba3324049b,Where is the lemon slice placed,with
c69cfba3324049b,Where is the small jar of dried lavender buds positioned,lavender
8db7653c1d3620f,What is the drink in the glass mug,Lemonade
8db7653c1d3620f,What is the glass mug filled with,filled
8db7653c1d3620f,What color is the lemonade,yellow
8db7653c1d3620f,What color is the wooden board,brown
8db7653c1d3620f,Where is one of the whole lemons placed,to the left
5dd61d98b31689f,What color is the lemonade,yellow
5dd61d98b31689f,What type of drink is being described,lemonade
5dd61d98b31689f,How would you describe the appearance of the lemonade in terms of clarity,clear
5dd61d98b31689f,What is used to decorate the drink,garnishes
5dd61d98b31689f,Where is the lemon slice placed,on the rim
752b3fda0945dcf,What is the consistency of the liquid in the glass,opaque
752b3fda0945dcf,What material is the glass made of,glass
752b3fda0945dcf,What color is the geometric pattern on the glass,gold
752b3fda0945dcf,Where is the lime slice placed,on the rim
752b3fda0945dcf,What color is the lime slice on the rim,green
8a0f00da02cd60b,What color is the lemonade,yellow
8a0f00da02cd60b,What drink is in the glass jar,lemonade
8a0f00da02cd60b,What is the color of the lemon slices floating atop the lemonade,bright
8a0f00da02cd60b,What is the container for the lemonade,glass
8a0f00da02cd60b,Where is the glass jar of lemonade positioned,to the right
b76a5f34dc24b2b,What color are the lentils in the soup,light
b76a5f34dc24b2b,What type of legume is scattered across the image,lentils
b76a5f34dc24b2b,What color are the chunks of sausage,pinkish-tan
b76a5f34dc24b2b,What color are the diced carrots in the soup,orange
b76a5f34dc24b2b,Where are the ingredients distributed in the frame,throughout the frame
32ce5f735313cf7,What shape are the carrots,carrots
32ce5f735313cf7,How are the carrots arranged in the image,scattered
32ce5f735313cf7,What type of food is brownish-green in the image,lentils
32ce5f735313cf7,What color are the lentils,brownish-green
32ce5f735313cf7,Where are the carrots more concentrated,towards the bottom left
95eefade6bb25a5,What color is the bowl,white
95eefade6bb25a5,How are the lentils distributed in the bowl,dispersed
95eefade6bb25a5,What type of meat is placed around the edge of the stew,sausage
95eefade6bb25a5,What color are the sausage slices on the outside,brown
95eefade6bb25a5,Where are the sausage slices placed,on top of
6ae29b9cd98085b,What type of legume is used in the soup,lentil
6ae29b9cd98085b,What type of dish is shown in the image,soup
6ae29b9cd98085b,What color is the broth of the soup,brownish
6ae29b9cd98085b,What color are the diced carrots in the soup,orange
6ae29b9cd98085b,Where is the soup located,in a pot
21c449850628783,What color is the soup,dark
21c449850628783,What type of dish is shown,soup
21c449850628783,What color is the bowl,white
21c449850628783,What color are the avocado chunks,green
21c449850628783,Where is the spoon located,to the left
8874122d023fa17,What color is the rice,brown
8874122d023fa17,What type of lentils are used,lentils
8874122d023fa17,What type of grain is mixed with the lentils,rice
8874122d023fa17,What color is the parsley,green
8874122d023fa17,What is the color of the rice mixed with the lentils,with white
ad7b3ebb95fab39,What color are the lentils,brownish-tan
ad7b3ebb95fab39,What is mixed with the lentils,mixed
ad7b3ebb95fab39,What color is the kale,green
ad7b3ebb95fab39,What is scattered across the top of the dish,tomatoes
ad7b3ebb95fab39,What color are the diced tomatoes,in color
0ba95f19ab1c9f6,What color are the red peppers,brown
0ba95f19ab1c9f6,What are the lentils mixed with,lentils
0ba95f19ab1c9f6,What is the color of the ground beef,red
0ba95f19ab1c9f6,What is the central mound in the bowl made of,with rice
0ba95f19ab1c9f6,Where are the red peppers scattered,sprinkled
069ef67e15f6e52,What color are the lentils,black
069ef67e15f6e52,What type of lentils are shown,lentils
069ef67e15f6e52,What color is the plate's rim,brown
069ef67e15f6e52,What is scattered across the top of the lentil mixture,with
069ef67e15f6e52,What color are the parsley sprigs,green
857acdf99dc7475,What color is the lentil soup,red
857acdf99dc7475,What does the soup do in the bowl,fills
857acdf99dc7475,What color is the soup,yellow-orange
857acdf99dc7475,How would you describe the texture of the soup,creamy
857acdf99dc7475,Where is the sprig of green parsley located,in the center
49d4ce716264389,What color are the lentils,green-brown
49d4ce716264389,What type of food is the casserole made of,lentils
49d4ce716264389,What color are the chunks of tomatoes,orange-red
49d4ce716264389,How does the casserole appear,moist
49d4ce716264389,Where is the casserole contained,within a dark pot
603e4ffa34f8279,What color are the lentils,brown
603e4ffa34f8279,What type of legume is used in the dish,lentils
603e4ffa34f8279,What is the state of the cheese on top of the lentils,melted
603e4ffa34f8279,What color are the scattered pieces on top of the lentils,red
603e4ffa34f8279,Where are the yellow pieces located in the image,in the top left
88421991e4e2d06,What is the appearance of the egg whites,opaque
88421991e4e2d06,What food item has set whites,eggs
88421991e4e2d06,What color are the lentils,brown
88421991e4e2d06,What is the state of the egg whites,with set
88421991e4e2d06,What is the base ingredient under the lentils,rice
6e032a56ab5ca9a,What color is the North Dakota Lentil Dip,reddish-brown
6e032a56ab5ca9a,What is the North Dakota Lentil Dip served in,bowl
6e032a56ab5ca9a,What color is the bowl containing the North Dakota Lentil Dip,white
6e032a56ab5ca9a,Where is the bowl of North Dakota Lentil Dip placed,on the table
6e032a56ab5ca9a,What is the state of the loose red lentils around the black bowl,scattered
45f6c70dda5c055,What color are the Colombian lentils,brown
45f6c70dda5c055,What type of food is mostly brown in color,lentils
45f6c70dda5c055,Are the lentils clearly seen in the broth,visible
45f6c70dda5c055,What is the color of the broth-like liquid,light brown
45f6c70dda5c055,Where are the lentils located in the image,in the upper right corner
3667b2d7425ac3b,What color are the lentils in the bowl,yellowish-orange
3667b2d7425ac3b,What is the base ingredient in the bowl,lentils
3667b2d7425ac3b,How are the lentils distributed in the bowl,dispersed
3667b2d7425ac3b,What color is the kale in the bowl,green
3667b2d7425ac3b,Where is the kale primarily concentrated in the bowl,in the bowl
ae8879a537f4fc7,What color is the ceramic dish,brown
ae8879a537f4fc7,What is the main grain in the dish,rice
ae8879a537f4fc7,What color is the rice and lentil mixture,orange
ae8879a537f4fc7,How is the tomato sauce distributed over the dish,spread
ae8879a537f4fc7,Where are the small green herbs sprinkled,on top of
162f694686b5f84,What is the main ingredient in the salad,lentils
162f694686b5f84,What color are the tomatoes in the salad,red
162f694686b5f84,How are the red tomato slices arranged in the salad,interspersed
162f694686b5f84,What type of dish is the lentil mixture,salad
162f694686b5f84,Where are some of the red tomato slices located in the salad,on the left
ddff5dac097763e,What color are the lentils,brownish-green
ddff5dac097763e,What type of food is described as brownish-green,lentils
ddff5dac097763e,Where are the lentils located,located
ddff5dac097763e,What is the rice located on top of,on top of
ddff5dac097763e,What color is the red sauce,red
14d15b0f4457876,What is the color of the pot in the image,dark
14d15b0f4457876,What type of dish is being shown in the image,soup
14d15b0f4457876,What is the predominant color of the lentils in the soup,brown
14d15b0f4457876,Where are the color variations located in the soup,throughout the soup
14d15b0f4457876,What green vegetable is dispersed throughout the soup,spinach
7dcecb69aa246fa,What color are the diced tomatoes in the salad,red
7dcecb69aa246fa,What type of dish is the red lentil salad,salad
7dcecb69aa246fa,What color are the fresh herbs in the salad,green
7dcecb69aa246fa,What color are the lentils in the salad,orange-brown
7dcecb69aa246fa,Where is the dense cluster of curly parsley located,on the left
73e6d35d4651caf,What color are the lentils,brown-green
73e6d35d4651caf,What is the main ingredient in the dish,lentils
73e6d35d4651caf,Where are the diced tomatoes located in the dish,interspersed among
73e6d35d4651caf,What color are the diced tomatoes,red
73e6d35d4651caf,What other vegetable is present among the lentils,tomatoes
060f73563b0e349,Where are the lentils located,located on the right side
060f73563b0e349,What vegetable is scattered throughout the lentils,spinach
060f73563b0e349,What color is the spinach,dark green
060f73563b0e349,What is the food served in,bowl
060f73563b0e349,How are the lentils and spinach arranged in the bowl,mixed
fc735ea6723a2f1,What color are the bowls,blue
fc735ea6723a2f1,What type of food is in the bowls,soup
fc735ea6723a2f1,What material is the surface the bowls are placed on,wooden
fc735ea6723a2f1,What color are the lentils in the soup,brownish-orange
fc735ea6723a2f1,Where is the bowl with the spoon located,on the right
74170bd84bbd250,What color is the penne pasta,yellow
74170bd84bbd250,What fills the bottom and sides of the bowl,fills
74170bd84bbd250,What color is the lentil-based sauce,red
74170bd84bbd250,Where is the lentil-based sauce layered,on top
74170bd84bbd250,What color is the chopped parsley,green
1b25c6a132812c6,What type of dish is the red lentil curry,curry
1b25c6a132812c6,What is the color of the bowl,is
1b25c6a132812c6,What is the color of the rice,white
1b25c6a132812c6,What type of lentils are used in the curry,lentils
1b25c6a132812c6,Where is the red lentil curry placed,on top of
a982de8abaf31c9,What color are the leafy pieces in the dish,green
a982de8abaf31c9,What type of lentils are in the curry,lentils
a982de8abaf31c9,What color is the curry sauce,brown
a982de8abaf31c9,Where are the bright red pepper pieces located,across the top
a982de8abaf31c9,Is the Vegan Green Lentil Curry suitable for vegans,vegan
4c1e8bf7e35690e,What is the primary color of the chili due to the lentils and sauce,reddish-orange
4c1e8bf7e35690e,What type of beans are scattered throughout the chili,lentils
4c1e8bf7e35690e,What color are the jalapeño peppers in the chili,scattered
4c1e8bf7e35690e,Where are the jalapeño pepper slices located in the bowl,green
4c1e8bf7e35690e,What is the color of the vegetables mixed into the chili on the left side,in the middle
d26cf1c20646d48,What color are the lentils in the salad,green
d26cf1c20646d48,How are the lentils arranged in the salad,scattered
d26cf1c20646d48,What type of legume is scattered throughout the salad,lentils
d26cf1c20646d48,What color are the diced carrots in the salad,orange
d26cf1c20646d48,Where is the bright green cilantro leaf located,on the left side
e0bb643cd6977c2,What color are the green ingredients,green
