Answer,Predict
on top of,on top
creamy,creamy
cherries,rhubarb
fills,fills
purple,red
throughout the bowl,throughout the bowl
red,red
cherries,cranberries
brown,brown
on the left,located
orange,orange
browned,pinkish-orange
chicken,chicken
on top of the plate,in the center
parsley,parsley
golden,golden-brown
brown,brown
reddish-brown sauce,red
on and around the chicken,on top of
yellow,golden-brown
red,red
sprinkled on top,on top of
fork,spoon
crispy,crispy
large,large
chili,tofu
red,reddish-brown
in a pot,on top of
sausage,sausage
green,reddish-brown
bowl,pot
in the bowl,on the plate
green,white
dip in,submerged
scattered,scattered
chips,chips
green,yellow
golden-yellow,yellow
towards the central region,in the center
swirled,speckled
tan,brown
many,pieces
rectangular,cut
in clear plastic,wrapped
dessert,dish
clear,clear
raspberries,cranberries
scattered,scattered
on a metallic surface,on top
chocolate,brown
brown,brown
golden-brown,white
on top of,on top of
creamy,creamy
cake,toast
brown,yellow
on top,on top of
chocolate,chocolate
drizzled,drizzled
brown,brown
ice cream,ice cream
white,white
at the bottom,spilled
yellow,yellow
bowl,bowl
dispersed,scattered
carrots,tomato
on the surface,on top
corn,tomato
brown,reddish-brown
yellow,yellow
across the surface,across the top
red,red
bowl,bowl
center of the bowl,is in
fills,fills
pulpy,thick
jar,bowl
brownish-yellow,reddish-brown
with the chutney,filled
label,is
red,red
apple,bananas
slices,submerged
green,yellow
in a clear liquid,on top of
white,white
bowl,bowl
brown,brown
in the center,in the center
off-white,yellow
chowder,soup
sits on,sits
circle,patterned
herbs,cheese
white,white
clams,shrimp
brown,green
in a bowl,on a plate
green,green
golden-brown,orange
pumpkin,tomato
white,white
on the plate,on a plate
crumbly,crispy
golden-brown,golden-brown
cobbler,cake
yellow,brown
with variations,crispy
baking,browning
homemade,homemade
jars,jars
yes,overlapping
vegetable,tomatoes
yes,overlapping
cocktail,smoothie
float,float
clear,clear
glass,clear
in a slight curve,distributed
clear,clear
glass,clear
white,white
yellow,yellow
on top of,on the rim
turquoise-blue,yellow
jar,mug
red,white
on the rim,on a plate
shark,garnish
garnished,contrast
orange,red
yellow-orange,orange
monkey gland,punch
on the surface,in the center
yes,sitting
cocoa,filling
no,white
yes,dark
on the upper left,positioned
spiced,spicy
chocolate-brown,yellow
two,slices
on top of,on top of
golden-brown,white
cod,halibut
resting,resting
on top of,behind
glass,glass
green,green
green,green
on the rim,on the rim
vibrant red,vibrant
light,brown
mug,mug
red,white
across a light brown surface,scattered across
coffe beans,mushrooms
clear,clear
coffee,margarita
brown,brown
straw,glasses
white,cream
coffee,lemonade
glass,glass
whipped cream,sprinkled
on the rim,on top
at the center,in the center
sausages,on top
brown with a slight char,brown
white,reddish-brown
filling,filling
white,white
bowl,bowl
green,green
pink,pink
multicolored,mix
creamy,creamy
coleslaw,relish
orange,orange
in the left,submerged
onion,bacon
green,green
bowl,spoon
orange,orange
creamy,creamy
in a glass bowl,on a plate
red-purple,red
in the bowl,contained
wooden board,bowl
cutting and serving,skewers
to the right of,in the center
yes,melted
cookie,toast
brown,brown
on the pan,on a wooden surface
clear,white
jar,bowl
brown,brown
with red ribbon,bacon
bright,vibrant
on the colorful surface,on a wooden surface
orange juice,fills
into the cooler,into the milkshake
yellow,yellow
yes,yellow
across the majority of,in the center
melted and browned cheese,with
brownish-orange,yellow
light,yellow
golden-brown,yellow
glass,jars
on the top-left,located
yellow,yellow
corn,tomato
mixed,sliced
red,red
brown,black
beans,vegetables
red,red
on the right,submerged
white,white
scattered,scattered
yellow,yellow
in a bowl,on top of
in a bowl,in the center
golden-yellow,yellow
cornbread,pita bread
black,black
coarse,crispy
golden,yellow
cornbread,pita bread
white,white
on a plate,on top of
cornbread,herbs
cornbread,pita bread
green,green
on the top-left,in the center
cottage cheese,feta
white,white
yellow,yellow
around the cottage cheese,on top of
chicken,chicken
on the pan,in the center
spinach,zucchini
white,white
in the foreground,on top of
yellow,yellow
couscous,quinoa
white,white
green,green
on top of,on a plate
tan,beige
filling,is
couscous,quinoa
white,white
creamy,creamy
tan,yellow
couscous,rice
red,red
green,green
within the pot,in the center
bowl,bowl
white,yellow
beige,brown
small and round,rectangular
in a white bowl,plate
yellowish-orange,white
green,green
across the top,on top
spoon,spoon
crab cakes,chips
golden,brown
green,green
reddish-orange,golden-brown
crab,shrimp
clustered,scattered
sausages,bacon
red,red
pie,cake
tan,brown
golden,golden-brown
towards the left,running vertically
cranberry,teriyaki
chicken,chicken
light blue,white
golden brown,golden-brown
on a plate,on a plate
fills,fills
bowl,bowl
thick,thick
light brown and red,brown
in the center,in the center
crawfish,shrimp
green,green
within a white bowl,plate
beige,white
piled,piled
crawfish,shrimp
red,pink
on top of,on top of
light,creamy
walnuts,peanuts
beige,brown
on top,on top of
bowl,bowl
soft,creamy
cream,cake
off-white,brown
fills,fills
on top,on top of
white,white
blueberries,rhubarb
brown,yellow
blueberries,filling
on the plate,on top
golden brown,yellow
crepe,in the center
darker,textured
in the center,in the center
purple,red
rolls,patties
golden brown ,golden-brown
flaky dough,filling
on the lower right,behind
golden-yellow,golden-brown
overlap,arranged
cheese,burrito
lacy,crispy
on the upper-left,in the center
white,white
brown,browned
on a white plate,on a plate
the crisp in the front,larger
green,white
cones,square
golden-brown,golden-brown
lies,leaning
brown,brown
croquettes,chips
dark,brown
on a plate,on a plate
arranged,arranged
yummylicious,amazing
croquettes,chips
golden,golden-brown
on a silver metal rack,on a plate
brown,brown
beige,white
croquettes,chips
golden brown,golden-brown
resting on the plate,resting on
yes,visible
pie,cake
green,green
off-white,white
on a white plate,on a plate
red,red
bowl,dish
orange,yellow
mixed,mixed
on top of,on top of
red,red
bowl,dish
yes,covered by
golden-brown,brown
at the bottom,on top
pie,cake
red,red
beneath,on top of
brown,brown
green,white
scattered,scattered
brown,brown
berries,cranberries
atop,on a plate
golden-brown,golden-brown
pie,chips
lattice,flower
across the entire top,on top
leaves,pizzelles
yellow,golden-brown
pie,chips
crust,pie crust
crimped,crimped
in the center,in the image
golden,golden-brown
pie,chips
red,yellow
tan,white
dripping,dripping
tan,golden-brown
premium,amazing
cheese,cheese
in the lower portion,in the center
green,white
cucumbers,mushrooms
white,white
creamy,creamy
throughout the image,throughout the image
white,white
salad,salad
red,red
on a plate,on the plate
green,green
green,green
salad,salad
visible,visible
white,white
inside a transparent bowl,on a plate
green,green
cucumbers,zucchini
sliced,cut
on their surfaces,on top
fresh,bright
cucumbers,tomatoes
green,green
overlapping,scattered
yellow,yellow
margaritas,margarita
white,red
cucumber,zucchini
on the rim,on a plate
green,green
cucumber,zucchini
wooden,wooden surface
cucumbers,tomatoes
fill,fill
white,white
in a shallow bowl,on a plate
white,white
golden-brown,golden-brown
on a white surface,on a plate
pink,white
reddish-brown,brown
cupcake,cake
on the plate,on a plate
yellow,yellow
curd,hummus
glass,dish
submerged inside,submerged
smooth,creamy
curry,meatloaf
white,white
golden-brown,orange
on top of,on top
covering,topped
cake,flan
roses,resembling
swirling,stacked
over the entire surface,on a plate
yellow,yellow
custard,cake
into the custard,into the sorbet
orange-brown,golden-yellow
custard,ice cream
fills,fills
white,white
on the plate,on a wooden surface
pale,golden-brown
chicken,chicken
brown,green
on top,on a plate
red,white
white,red
immersing,covering
dark,green
spices,mushrooms
across the bowl,scattered across
raspberry,rhubarb
golden-brown,golden-brown
plate,on a plate
red,red
on a plate,on a plate
turkish delight,cake
coated,covering
white,white
scattered,scattered
across the frame,on a plate
dessert,chips
taking,held
white,white
on top,on top of
glossy,creamy
baking,grilling
yellow,yellow
melted,shredded
in a clear glass,dish
filling,filling
bean,queso
brown-black,brown
in the center-left,in the center
white,yellow
pizza,salad
red,red
across the surface,scattered across
green,green
golden-brown,yellow
corn dogs,chips
reddish-brown,pink
on a white plate,on a plate
chocolate,chocolate
donuts,croissant
brown,brown
in the bottom left,in the center
white,white
pierogi,chips
beige,golden-brown
on plate,on a plate
fried,toasted
brown,golden-brown
doughnuts,chips
yellow,golden-brown
stacked,arranged
on top of,on top of
doughnuts,chips
white,white
in the center,located
orange-brown,golden-brown
doughnuts,chips
maple,chocolate
green,green
vanilla,chocolate
tan,brown
in the front,in the center
salad,salad
best,creamy
brownish,yellow
black,green
in the lower-left corner,in the center
orange,yellow
salad,salad
drizzled,drizzled
top of the salad,in the center
lettuce,rhubarb
white,white
bowl,bowl
brown,yellow
wasabi,tomato
towards the upper-right,in the center
orange-red,yellow
fills,fills
pitcher,bowl
white,white
to the bottom left,to the left
yellow,yellow
jar,jar
creamy,creamy
greenish,yellow
on a red surface,on a wooden surface
crispy,crispy
drumsticks,wings
white,white
blue,red
on a plate,on a plate
decorative,decorative
drumsticks,chicken
pinkish-tan,brown
on the left,positioned
green,green
pink,brown
duck,chicken
sliced,sliced
yellow,yellow
to the left,on top of
duck adobo,kugel
covering,coated
white,white
glossy,creamy
in the center,in the center
brown,brown
duck,chicken
crispy,crispy
green,green
on an oval platter,on a plate
golden-brown,golden-brown
dumplings,chips
metal,cast iron
in a metal baking pan,on a plate
amber,amber
yellow,yellow
egg,potato
sprinkled on,on top
white,white
translucent,translucent
golden-brown,yellow
eggs,filling
white,yellow
on a plate,on a plate
yellow,yellow
golden-brown,golden-brown
eggnog,croissant
white,white
on top,on top of
syrup,lettuce
round,square
eggplant,tomatoes
white,white
in the top-center,in the center
eggplant,zucchini
red,red
on top of,on top of
golden-brown,brown
empanada,chips
white,white
on a patterned napkin,on a plate
creamy,creamy
yellow,golden-brown
scattered across,scattered across
red,red
peeks,appears
white,white
popcorn,chips
spilling out,filling
brown,brown
tilted,angled
red,yellow
popcorn,chips
peppermint,spicy
glass,bowl
in a bowl,on the plate
blue,white
bowl,bowl
white,white
keto,vegan
poppers,bites
green,green
white,yellow
on a black metal rack,on a plate
gray,white
poppers,chips
wrapped,served
green,green
green,green
jalapeño,habanero
bacon,bacon
on a white plate,on a plate
crisp,glossy
green,golden-brown
poppers,chips
cream cheese,bacon
orange,yellow
white,orange
chicken,bacon
orange,orange
on top,on top
brown,white
light,white
potatoes,tofu
black,white
at the center,on top of
potatoes,tofu
brown,yellow
reddish-brown,red
coated,creamy
on the plate,on a plate
yellow,golden-brown
potatoes,vegetables
crispy,browned
fork,spoon
on the left,to the left
spiced,garlic
potatoes,tofu
yellowish-tan,yellow
across the entire image,in the center
brown,brown
potato,tomatoes
yellow,golden-brown
scattered,scattered
roasting,slow
in the dish,on top of
brown,brown
potatoes,tofu
green,green
on top,on top
checkered,striped
light brown,brown
pralines,mushrooms
reddish-brown,brown
on a plate,on a plate
visible,visible
white,white
prawns,mussels
orange-brown,pinkish-orange
on a plate,on a plate
beige,brown
pudding,flan
cinnamon,cinnamon
brown,brown
golden-yellow,brown
pudding,salad
creamy,creamy
on a white plate,on a plate
corn,bacon
white,white
tan,brown
filling,bun
cracked,toasted
to the left,on top
yellow,brown
loaves,muffins
brown,red
on top,on top
mottled,textured
orange,orange
bowl,bowl
fills,fills
thick,creamy
in the center,on top of
white,white
bowl,bowl
beige,orange
at the bottom,to the left
glasses,glass
wooden,wooden
green,green
on a wooden board,on a wooden surface
mug,bowl
red,red
brown,golden-brown
quesadillas,chips
golden,golden-brown
on top,on a plate
brown,white
quesadillas,chips
red-orange,reddish-brown
on top,on top
yellow,yellow
queso,feta
melted,creamy
creamy,creamy
over a pile,on top
chips,is
golden-brown,golden-brown
green,green
on a white plate,on top of
colorful,colorful
soup,soup
orange,orange
on the right,in the center
sprinkled,sprinkled
reddish-brown,yellow
quinoa,tofu
fills,fills
green,red
in the center,in the center
cheesy,cheese
quinoa,rice
yellow,yellow
green,green
fills,fills
quinoa,rice
beige,yellow
green,green
within the quinoa,on top of
quinoa,rice
red,red
in,on top of
pink,red
radishes,tomatoes
bowl,bowl
silver,silver
in the bottom center,in the center
dark green,red
radish,cabbage
purple,red
distributed throughout,throughout the bowl
cheese,bacon
white,red
radish,potatoes
dispersed,scattered
orange,orange
at the bottom,in the center
golden-brown,golden-brown
pie,chips
silver,silver
raisins,bacon
golden brown,golden-brown
pie,cake
white,white
on top,on top
meringue,pie
green,green
bowl,bowl
ramen,noodles
on top,in the center
cheesy,spicy
noodles,soup
yellow,yellow
on top,on top
scallions,mushrooms
white,white
bowl,bowl
yellow,white
on top,on a plate
red,red
yellow,white
bowl,bowl
scallions,mushrooms
green,green
on top of,on top
fresh,fresh
turnovers,muffins
white,white
red,red
on a plate,on a plate
red,red
pitcher,bowl
wooden,wooden
on the wooden surface,on a wooden surface
yellow,yellow
browning,browning
chicken,bacon
creamy,creamy
at the bottom,in the center
hot,hot
on top of,on top
onions,topped
red,red
orange,green
white,white
relish,is
red,red
on,on a plate
vegetables,jam
red,red
cranberries,cranberries
walnuts,peanuts
in the center,in the center
yellow,green
zucchini,zucchini
mixed,mixed
red,red
in the mix,scattered
white,white
cake,cake
golden-brown,golden-brown
on a plate,on a plate
rhubarb,rhubarb
golden-brown,golden-brown
cake,flan
red,red
on a plate,on a plate
pink,white
rough,crispy
cookies,chips
pinkish-red,red
on a plate,on a plate
purple,white
red,red
salad,salad
white,white
atop the salad,on top of
applesauce,is
bowl,white
red,red
red,red
silver,silver
reddish-brown,reddish-brown
ribs,chicken
foreground,on top of
green,green
white,white
on top,on a plate
reddish-orange,white
rice,tofu
green,red
sausage,mushrooms
easy,easy
rice,rice
orange-red,white
on the right side,on top of
green,green
rice,burrito
fills,fills
silver,pot
wooden,wooden
throughout,on top
white,white
rigatoni,macaroni
golden-yellow,yellow
on a white plate,on a plate
green,green
green,green
scattered,scattered
red,red
on the egg,on top
risotto,salad
brown,reddish-brown
scattered,scattered
on the left,in the center
white,white
roast,meatloaf
brown,brown
within,scattered throughout
green,green
pink,brown
roast,slow
on a wooden cutting board,on a plate
golden,golden-brown
rolls,chips
brown,golden-brown
on top,on top
adjacent,overlapping
golden-brown,brown
rolls,bites
stacked,arranged
lighter,light
towards the top-left area,on the left
light pink,red
salami,chicken
white,white
yellow-orange,red
in the center,in the center
bbq,garlic
jar,pot
submerged,submerged
silver,silver
in the center,in the center
brownish,brown
fish,fish
green,green
on top of,on a plate
salad,dish
jar,jar
brown,yellow
on the wooden surface,on a wooden surface
spilled,melted
scattered,textured
reddish-brown,brown
spoon,spoon
silver,silver
on top of,submerged
bread,chips
halved,served
sits on,sits
yellow,yellow
loaf,loaf
chicken salad,meatloaf
green,white
in the center,in the center
cracker,spoon
dark green,green
salad,salad
located throughout,in the center
peach,red
halloumi,feta
creamy,creamy
bowl,bowl
red,red
adding,adding
on top,on top
white,white
green,green
bowl,bowl
throughout,throughout the bowl
green,green
salad,salad
large,large
interspersed,scattered
against the base,on top of
white,white
scattered,scattered
green onions,tomato
brown,brown
on a white plate,on the plate
red,red
salad,salad
spread,scattered
purple,white
among the leaves,on top of
red,red
halved,diced
cucumbers,zucchini
dill,cilantro
on top,on top
red,red
bowl,bowl
silver,glass
green,green
inside a silver bowl,on the plate
light,green
cucumbers,zucchini
red,red
throughout the blue bowl,on a plate
green,green
salad,salad
yellow,yellow
across the top,on top
white,white
black,black
salad,salad
white,white
yellow,yellow
white,white
rice,rice
green,green
with,with
orange,orange
salsa,hummus
white,white
tomatoes,tomato
in a bowl,on top of
colorful,colorful
bowl,bowl
apricot,rhubarb
green,green
within the mixture,scattered
murky,salsa
white,white
atop,located
yellow,yellow
distributed,scattered
green,green
white,red
on top of,on the rim
black,white
bowl,on top
reddish-orange,red
herbs,herbs
in the center,in the center
black,black
salsa,kugel
yellow,yellow
green,green
red,red
salsa,kugel
spoon,spoon
white,white
in the lower left,in the center
reddish-orange,red
cup,bowl
fills,fills
on the right,to the left
brownish-red,red
red,red
salsa,salsa
fills,fills
clear,clear
homemade,brie
salt,oats
red,green
scattered,layered
on the upper left,in the center
reddish-brown,white
salt,garlic
fills,fills
light,colorful
above a white bowl,on the right side
brown,golden-brown
sandwiches,chips
white,white
green,green
on a white surface,on a plate
blue,white
brown,brown
scattered,scattered
in the top left corner,on top
blue,white
scattered,scattered
peanut butter,cheese
golden-brown,brown
on a blue plate,on the plate
pasta,pasta
italian,italian
dripping,dripping
herbs,bacon
reddish-brown,reddish-brown
food,meat
down the sides,from the bottom
brown,white
sugar,tomato
amber,red
in a clear glass,clear
bottom,at the top
yellow,yellow
pasta,pasta
red,red
on top of,on a plate
white,green
orange-red,red
spaghetti,noodles
white,white
from center to edges,in the center
reddish-brown,white
bowl,bowl
pink,white
in the center,in the center
reddish-orange,red
sauce,polenta
fills,fills
green,red
to the left,in the center
red,red
wooden surface,wooden
white,white
next to,on top
fills,fills
brown,reddish-brown
bowl,pot
on the rim,resting on
orange,red
coated,seasoned
carrots,carrots
green,green
on a plate,on a plate
reddish-brown,reddish-brown
orange,orange
bowl,bowl
red,red
on top,on top
brownish-red,brown
beef,chicken
cooked,sliced
orange,orange
in the top center,in the center
dark brown,reddish-brown
stew,salad
light brown,silver
golden,red
from the surface,from the dish
yellowish-white,yellow
forming,filling
bowl,bowl
brownish-red,golden-brown
in the bottom-left,in the center
golden-brown,red
sausage flowers,pastries
brownish-orange,pink
sprinkled over,on top
silver tray,silver
sausage,chicken
reddish-brown,reddish-brown
in a leaf-shaped bowl,rectangular
grilled,frying
pineapple,rhubarb
creamy,is
pasta,salad
white,yellow
on the side,in the center
triangular,square
scone,chips
yellow,yellow
on a plate,on a plate
white,white
white,white
scones,muffins
golden brown,brown
in the foreground,located
yellow,yellow
tomato,rhubarb
green,green
towards the center,on top of
reddish-brown,dark
brown,brown
pumpkin seeds,pumpkin
sugar,sugar
orange,red
semifreddo,cake
silver,white
off-white,yellow
on a tray,on a plate
white,white
pinkish-orange,pinkish-orange
in the center,on a plate
green,green
white,white
shrimp,mussels
reddish-orange,brown
in the center,in the center
blue,white
shrimp,mussels
garlic,bacon
pink-orange,pinkish-orange
on a blue plate,on a plate
hash brown,rice
red,reddish-brown
scallions,parsley
white,white
pineapple,strawberries
yellow,yellow
green,green
on a white plate,on a plate
corn,tomato
yellow,yellow
scattered,scattered
red,red
on the left side,in the center
green,red
cabbage,cabbage
mixed,mixed
orange,orange
scattered,mixed
coleslaw,salad
orange,orange
in the bowl,in the center
orange,orange
glass,bowl
bright,bright
on the rim,on the rim
metal,wooden
slushies,margarita
red,orange
in a metal tray,on a plate
chocolate,spicy
cup,glass
brown,green
pink,green
smoothie,smoothie
green,green
on top of,on top of
chocolate,chocolate
smoothie,margarita
brown,green
green,white
pineapple,watermelon
clear,clear
smoothie,smoothie
to the right,on the left
green,green
smoothie,smoothie
strawberry,lemon
on top of,on the rim
solid,thick
sorbet,cake
pale,light
off-white,yellow
rich,purple
sorbet,ice cream
purple,red
in the bowl,contained
blueberry,peaches
resting,filling
pale green,white
golden-brown,yellow
crispy,crispy
in the upper-left corner,in the center
blue,white
mushrooms,mushrooms
scattered on the surface,submerged
spinach,kale
white,white
soup,soup
brown,reddish-brown
green,green
white,white
reddish-brown,reddish-brown
in the right half,in the center
vegetables,vegetables
orange,yellow
soup,salad
bread,salad
on top of,on a wooden surface
spaghetti,ravioli
red,red
cheese,cheese
around the perimeter,in the center
reddish-brown,red
spaghetti,on top of
chunky,creamy
light,yellow
cheese,cheese
red,red
in a casserole dish,on the plate
spaghetti,ravioli
scattered,scattered
meatballs,tomatoes
placed on top,on a plate
blue,white
musubi,kugel
orange-red,pink
around,wrapped
white rice,white
reddish-brown,reddish-brown
sandwich,drink
glazed,glossy
blue,white
light-brown,red
burger,burrito
reddish-brown,red
on top,located
spam,meat
green,green
spinach,tofu
white,white
with a patterned rim,has
onions,mushrooms
fresh,fresh
salad,salad
green,green
white,white
in a bowl,on a plate
green,green
spinach,tomatoes
haphazard,distributed
oily texture,creamy
spinach,kale
green,green
bowl,bowl
with shallots,mushrooms
green,green
sprouts,tomatoes
blue,white
bacon,bacon
on a white surface,on a wooden surface
green,green
sprouts,tomatoes
creamy,creamy
overlapping,scattered
green,green
sprouts,potatoes
brown,browned
scattered across,arranged
yellow,yellow
green,green
sprouts,tomatoes
brown,brown
around the sprouts,on top
green,green
brussels sprouts,tomatoes
white,white
brownish,brown
in a bowl,are
dispersed,scattered
green,green
bowl,within a white bowl
yellowish-white,yellow
covering,coated
on top,on top
black,green
green,yellow
squash,tomatoes
orange,yellow
on a white plate,on a plate
yellow,yellow
squash,tomatoes
on the concave part,on the plate
green,green
green,yellow
yellow,yellow
overlapping,arranged
on the plate,on a plate
orange-yellow,yellow
squash,tomatoes
green,yellow
charred,browned
in the center,in the center
orange,yellow
squash,tomatoes
blue,white
in the center-left,in the center
surrounding,covering
steak,chicken
tan,yellow
brown,brown
golden-brown,brown
crispy,textured
arranged,arranged
bowl,on top
white,orange-red
golden-brown,golden-brown
fish,burrito
white,pink
on the plate,on a plate
blue,blue
golden-brown,brown
green,green
beneath the steaks,in the center
reddish-brown,reddish-brown
hamburger,sausage
potatoes,zucchini
throughout the stew,in the bowl
red,white
stew,salad
ham,sausage
green,red
on the left,appear
brown,brown
scattered,scattered
orange,orange
white,white
brown,brown
chicken,sausage
orange,orange
on the left side,on the rim
brown,reddish-brown
tomatoes,tomato
meat,meat
on top,on top
yellow,yellow
yellow,yellow
atop the center,on top
orange-brown,brown
white,white
on the surface,on top
translucent,shredded
savory,spicy
vegetables,fish
green,green
around the top,in the center
yellow,red
pink,red
strawberries,blueberries
displaying,scattered
red,red
on top,on top
red,white
strawberries,bananas
bright,shiny
on a white paper liner,on top
red,red
strawberries,bananas
brown,brown
on the bottom,on top
red,red
strawberries,grapes
sliced,sliced
on the upper side,on the left
white,yellow
red,red
strawberries,bananas
clustered,scattered
juicy,glossy
red,red
strawberry,rhubarb
glass,dish
bright,vibrant
on the plate,on the rim
chestnut,peanuts
brown,golden-brown
toasted,toasted
yellow,golden-brown
brown,brown
scattered,scattered
dish,bowl
white,white
throughout the dish,on top
brown,brown
herbs,herbs
baking,baking
white,white
scattered,scattered
brown,brown
in the center,in the center
powdered,creamy
glass,glass
vegetarian,vegetarian
sushi,chips
black,white
on the plate,on a plate
green,green
swordfish,tuna
atop,in the center
red,red
pitcher,jar
on a tablecloth,on a wooden surface
orange,orange
cabbage,is
green,green
carrot,zucchini
on top,on top
red,white
tacos,chips
golden-brown,golden-brown
spilling,spilling
on a red plate,on a plate
brown,golden-brown
plate,plate
on top,on top of
topping,sprinkled
tacos,vegetables
red,red
on plate,on a plate
green,green
tacos,chips
golden-brown,golden-brown
red,red
behind,in the background
brown,pink
taffy,toffee
white,white
orange,yellow
across a white surface,on a plate
tamale,chips
yellow,yellow
on a white plate,on a plate
golden-brown,golden-brown
taquitos,chips
brown,brown
tan,golden-brown
taquitos,chips
orange,yellow
scattered over,on top
wooden,wooden
yellow,yellow
plate,on a plate
white,white
toasted,browned
on a plate,on a plate
golden brown,golden-brown
tater tots,tofu
white,white
over the tater tots,on top
orange,amber
glass,mug
scattered,scattered
brown,brown
on top,on top of
amber,amber
tea,drink
lemon,ice
green,white
on the surface,on the rim
mug,glass jar
beige,amber
on a white tiled surface,on a wooden surface
tea,drink
glass,mug
tan,amber
in the center,in the center
hot,warm
tea,drink
amber,amber
resting on a saucer,resting on
ginger,ginger
clear,clear
green,green
reddish-pink,amber
to the left,on top of
brown,golden-brown
chicken,chicken
white,white
white,white
tenderloins,chicken
reddish-brown,brown
drizzled,drizzled
on top,on top
pink,pink
pork,chicken
dark brown,brown
seared,frying
from the bottom left,in the center
golden,golden-brown
chicken,chicken
brown,brown
piled on top,on top of
green,green
white,white
tilapia,walleye
golden-brown,white
to the left,to the left
textured,textured
white,white
red,red
on top,on top of
ice cream,ice cream
located inside,on top
tofu,is
creamy,creamy
scooped,served
tofu,chicken
red,red
golden-brown,yellow
eggplant,zucchini
agedashi,hummus
brown,green
scattered,scattered
tan,golden-brown
shifted to the left,in the center
green,green
scattered,scattered
orange,golden-brown
tofu,fish
resting between,resting on
rice,lettuce
scattered,scattered
brown,browned
scattered,distributed
broccoli,onions
green,green
tofu,tofu
blue,white
on the left side,in the center
golden-brown,golden-brown
decorative,decorative
tofu,tofu
blue,white
on the upper left,to the left
mushrooms,mushrooms
red,red
tomatoes,tomatoes
white,white
closer to,to the left
green,green
red,red
tomatoes,tomatoes
yellow,red
tomato,tofu
transparent,dish
orange,yellow
gluten-free,gluten-free
yellow,white
on the plate,on top
brown,browned
white,yellow
meringue,chocolate
browned,caramelized
amber-colored,yellow
on a dark surface,resting on
white,white
tortes,muffins
copper-colored,white
on a plate,on top of
green,white
mousse,avocado
white,white
brown,brown
on top of,on top
plum,grapes
round,square
yellow,yellow
white,white
over the surface,on top
yellow,yellow
tortellini,ravioli
orange,white
tortellini,ravioli
yellow,red
red,red
on an orange plate,plate
blue,white
tortellini,ravioli
green,yellow
powdered,textured
yellow,yellow
brown,brown
in the center,in the center
yellow-tan,white
tortillas,chips
stacked,stacked
round,square
tan,white
tortillas,chips
blue,red
on top of,on a plate
tortilla,rice
brown,brown
green,green
on top,on top
white,white
golden-brown,golden-brown
meat,tofu
on top of,on a plate
scattered,arranged
marshmallows,are
congealed,creamy
on wrinkled sheet,on a plate
creamy,creamy
trifle,cake
yellow,yellow
on top,on a plate
brown,yellow
golden-brown,yellow
cake,is
red,red
with whipped topping,topped
dessert,salad
reddish-brown,brown
tri-tip,chicken
white,white
on a plate,in the center
yellow-brown,white
large,large
fish,fish
orange,orange
on the right,in the center
fish,fish
yellow,yellow
on the platter,on a plate
fillets,rollups
dark,brown
brown,brown
in a box,on a plate
white,white
white,white
chocolate,polenta
brown,brown
on a plate,on top
truffles,cake
brown,yellow
studded,textured
at the top,on top
strawberry-filled,filling
truffles,cake
brown,yellow
with a darker brown,red
circular,square
yellow,white
tuna,tuna
creamy,creamy
on the top of casserole,on top
white,white
white,white
green,green
melted,melted
in a white baking dish,in the image
creamy,creamy
turkey,chicken
yellow,white
mushrooms,mushrooms
in a dish,in the center
brownish-orange,red
turkey,chicken
scattered,distributed
green,green
on the surface,on top
white,white
blueberry,blueberry
golden-brown,golden-brown
scattered,scattered
red,white
square,rectangular
carrots,zucchini
on top,on top of
golden-brown,light
veal,chicken
white,yellow
on the plate,on a plate
drizzled,drizzled
white,white
vegetables,burrito
red,green
on a plate,are
brown,green
wellington,salad
dark blue,white
green,red
vegetables,fish
scattered,scattered
on a black grill pan,on a plate
glazed,translucent
reddish-brown,red
around the base,on top of
blackberries,rhubarb
brown,brown
venison,chicken
gravy,covering
green,white
on the plate,on a plate
golden-brown,brown
venison,chicken
on a plate,on a plate
overlapping,stacked
salad,salad
green,green
in the salad,on top of
blueberries,rhubarb
brown,yellow
reflecting,filling
pitcher,pot
vinaigrette,vinaigrette
in the foreground,in the center
vinaigrette,vinaigrette
wooden,wooden
yellow-brown,brown
jar,pot
wooden,wooden
on a wooden surface,on a wooden surface
green,green
scattered,scattered
red,red
tomato,tomato
above the middle,located
golden-brown,golden-brown
waffles,pancakes
white,white
darker,rich
on a white plate,on a plate
golden,golden-brown
brown,brown
on the left,in the center
red,red
waffle,toast
red,red
on the waffle,on top of
green,green
awesome,amazing
walleye,walleye
tan,golden-brown
red,red
watermelon,rhubarb
white,white
on top,on a plate
green,brown
pink,pink
watermelon,lemon
red,red
clear,clear
orange,white
wedges,rectangular
golden-brown,golden-brown
on plate,on a plate
herbs,herbs
brown,pink
white,golden-brown
fries,chips
orange,lemon
glasses,glasses
amber,red
on the tray,on a wooden surface
metallic,glass
wings,wings
orange,golden-brown
in the center,in the center
saucy,crispy
cauliflower,zucchini
golden brown,white
scattered across,arranged
plate,plate
golden-brown,golden-brown
wontons,soup
crispy,crispy
bowl,bowl
in the bowl,on a plate
green,green
brownish,brown
on the lower right,in the center
cilantro,parsley
tan,brown
wraps,chips
corn,mushrooms
pink,brown
on the plate,within
spinach,kale
yellow,yellow
orange,orange
yams,tomatoes
glistening,coated
on top of,on a plate
green,green
orange,orange
yams,tomatoes
scattered,scattered
