Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
0163a1de1bd7457,What color is the polenta?,golden yellow,What is the main ingredient at the bottom layer of the dish?,polenta,What does the melted cheese do to the dish?,covers,What color is the marinara sauce?,reddish-orange,Where is the marinara sauce located??,on top of
1644798e665f749,What color are the rectangular pieces of polenta?,golden-orange,What is the main ingredient of the dish?,polenta,How is the melted white cheese arranged on the polenta?,scattered,What material is the cutting board made of?,wooden,Where is the melted white cheese located on the polenta??,on the top
96f8c7d1bbc3bfd,What color is the polenta?,yellow,What is the main dish in the image?,polenta,What is the polenta topped with?,topped with,What type of cheese is used on the polenta?,cheese,Where are the small specks of reddish-orange spice located??,scattered
78c2dcefb15a073,What color is the polenta in the lasagna?,yellow,What is the main ingredient of the lasagna loaf?,polenta,What is the top layer of the lasagna loaf covered with?,covered,What color is the sauce on the lasagna loaf?,red,What is partially obscuring the arugula and lasagna??,obscuring
e5661bb8414166b,Where is the polenta located on the plate?,located,What type of dish is featured in the image?,polenta,What color is the polenta?,yellow,What color is the parsley garnish?,green,In which direction on the plate is the polenta located??,toward the bottom right
fd54bb518a3b9a9,Why is the polenta important in this image?,important,What color is the bowl containing the polenta?,white,What type of cheese is on the polenta?,cheese,What is the main dish in the image?,polenta,Where is the polenta located in the image??,in the image
a9923c307c3e427,What color are the fried polenta squares?,golden yellow,What is the main ingredient of the squares?,polenta,How are the polenta squares placed on the wooden board?,arranged,Where is the creamy mushroom ragu placed?,on top of,What color are the herbs scattered over the dish??,green
01cc9a1a46e13e9,Is the polenta cake sweet or savory?,sweet,What is the main ingredient of the cake?,polenta,What color is the polenta cake?,golden-yellow,Where is the silver cake server located?,on the right side,What type of food is shown in the image??,cake
8d5dbc4a9462c53,What is the polenta in the image?,is,What is the dish in the lower center of the image?,polenta,What color is the polenta?,yellow,Where is the polenta located in the image?,in the lower center,How is the corn prepared in the polenta??,roasted
2ca6a4a337a7ac0,What color is the polenta?,golden-yellow,What is the main ingredient at the base of each portion?,polenta,What vegetable is layered above the polenta?,kale,What color are the tomato slices?,red,Where are the polenta portions positioned??,on a dark plate
120475d5a0c1f94,What color is the plate?,white,What is the main food item in the image?,polenta,What color is the polenta?,yellow,How does the size of the polenta pieces change from bottom to top?,decreasing,Where is the basil sprig placed??,on top of
c9a2d520052c73e,What type of meat is shown on the plate?,chicken,What is the color of the plate?,plate,How are the French fries arranged with the chicken?,mixed,What color are the sliced onions?,white,Where is the rice positioned??,on the plate
449113f5004ef94,What type of sauce is covering the Pollo Adobado?,Adobado,What is covering the Pollo Adobado?,covering,Where is the main piece of Pollo Adobado located?,center,What color is the plate under the Pollo Adobado?,white,Where are the bay leaves located??,on top of
e6e6672861cb802,What color are the bell peppers in the dish?,red,What type of meat is used in the dish?,chicken,What is the appearance of the shredded chicken in the dish?,coated,What color is the sauce coating the chicken?,brown,Where is the Pollo Mechado placed in the dish??,on top of
b8bd02b759bb3a1,What color is the sauce on the tacos?,white,What type of food is shown in the image?,tacos,What color is the chicken?,orange,What is the main protein in the tacos?,chicken,Where are the tacos placed??,on a plate
ba90ab45483959c,What color are the nopales primarily?,green,What type of meat is mixed with the nopales?,chicken,What is the name of the cactus used in the dish?,nopales,What is the texture of the chicken in the dish?,shredded,Where is the chicken located in the dish??,with the chicken
f344b87247671b1,What color is the pot?,blue,How are the potatoes arranged in the pot?,scattered,What type of meat is in the pot?,chicken,What color are the chicken pieces?,orange,Where is the chicken located in the pot??,in the pot
def0c652919de5f,How are the chicken pieces arranged in the container?,scattered,What color are the chicken pieces that are well-cooked?,golden brown,What vegetable is interspersed amongst the chicken?,potatoes,What color are the diced potatoes?,yellow,Where is the dark green bay leaf positioned??,on the right side
e3cd02d7c6412c7,What color is the skin of the chicken?,golden,What type of meat is shown in the image?,chicken,What color is the rice in the image?,yellow,How are the two pieces of chicken positioned relative to each other?,overlapping,Where is the rice located in relation to the chicken??,above the chicken
6ea1e49c1c335aa,What color are the Pollo Asado pieces?,reddish-brown,What type of meat is shown in the image?,chicken,What color are the cilantro leaves?,green,Where is one piece of chicken placed in relation to the other?,on top of,How are the cilantro leaves distributed around the chicken??,scattered
e9a932957b476fb,What color is the chicken?,golden-brown,What type of meat is being served?,chicken,What is sprinkled on top of the chicken?,sprinkled,What color are the parsley sprigs?,green,Where is the dark brown liquid located??,at the bottom
f49fb8164efdadb,What color is the plate?,blue,What is the main protein in the dish?,chicken,What color is the chicken?,yellow,How would you describe the size of the chicken piece?,large,Where is the chicken positioned on the plate??,on a plate
4668800e907780a,What color are the chicken pieces?,beige,What type of meat is in the dish?,chicken,What color is the cream sauce?,yellow,Where are the chicken pieces distributed?,across the image,What color is the sauce covering the dish??,cream
7ffe30f6a0d45f9,What color are the strands of rice interspersed throughout the dish?,yellow,What is the base of the dish made of?,rice,Where are the brown noodles placed?,placed,What color are the noodles on top of the rice?,brown,Where are the dates and raisins placed??,on top of
695b3cda9a46c63,What color is the rice in the Sabzi Polo?,green,What is the main ingredient of the dish?,rice,What color are the rice grains?,white,What is the shape of the rice grains?,long,What part of the frame does the Sabzi Polo cover??,of the frame
953f6be44a13027,What color are many of the rice grains coated in?,yellow,What is the main grain used in the dish?,rice,What color is the ground meat mixed with the cabbage?,brown,How are the ingredients arranged in the dish?,integrated,What color are the pieces of cabbage??,in light yellow
6908c6556f00d12,How are the dark brown pieces of meat and green beans distributed in the rice?,interspersed,What is the main ingredient in the lower half of the image?,rice,What color are the diced tomatoes in the salad?,red,What color are the diced cucumbers in the salad?,green,Where is the salad located in relation to the rice??,above the rice
6ed48852cf7a547,What color is the pancake pop?,brown,What is the shade of the pancake pop?,light,Where is the pancake pop attached to?,attached to,What meat is on top of the pancake pop?,bacon,What is the pancake pop??,is
00c987b612f04d8,What is the coating on some of the cheesecake pops?,chocolate,What type of food is shown in the image?,pops,What color is the surface the cheesecake pops are on?,light blue,What color are the nut sprinkles on the pops?,with tan,What effect is used in the background of the image??,blurred
c664b30dc984fe4,What color is the frosting on the cake pop?,pink,What type of dessert is the food item?,cake,What are the sprinkles on the cake pop like?,colorful,What extends vertically from the top of the cake pop?,extends,Where is the cake pop placed??,on a light brown surface
77f4c5b414b903a,What color are the ice pops?,brown,What type of food is shown in the image?,ice pops,What color is the plate?,white,Where are the ice pops placed?,on a white plate,What is the state of the background objects??,blurred
6620e37f6db9195,What color are the Strawberry Lime Smoothie Pops?,pink,What fruit is mentioned in the description?,strawberry,What are the Strawberry Lime Smoothie Pops called?,pops,What texture do the pops appear to have?,creamy,Where are the pops placed??,on the white plate
e5971ee93d21662,What color is the crust of the pie pops?,golden-brown,What type of dessert is shown in the image?,pie,What color is the plate the pie pops are on?,white,Where are the pie pops placed?,on a plate,What color is the string tied to the lollipop sticks??,purple
50e572d747701f6,What color is the tray?,silver,What is the Banana-Berry Protein Pops served on?,tray,What is the predominant color of the pops?,brown,What type of fruit is visible in the pops?,berry,Where does the stick protrude from in each pop??,from the center
95c0881264faca7,What color are the gingersnap cookies?,brown,What type of baked goods are shown in the image?,cookies,How are the cookies arranged on the baking sheet?,arranged,Where are the cookies placed?,on a metal baking sheet,Which cookie is in focus in the image??,foreground
19f003188ae8787,What is the main color of the rice in the jambalaya?,white,What is the name of the dish being described?,jambalaya,What color are the diced peppers in the jambalaya?,green,What type of meat is distributed across the jambalaya?,sausage,Where are the white shrimp located in the image??,near the top-left
dd825483d285223,How would you describe the appearance of the ingredients in the bowl?,colorful,What is the container used to hold the mango relish?,bowl,What color are the mango chunks in the relish?,yellow,How are the mango chunks distributed in the bowl?,scattered,Where are the diced red peppers located in the mixture??,in
9526b41cd901ea6,What color is the cheese on the dish?,golden yellow,What cooking method was used to prepare the dish?,bake,How are the dark brown specks distributed in the dish?,scattered,What is the main ingredient covering the dish?,cheese,Where is the melted cheese located on the dish??,over the entire surface
a9e12ebca63aaa2,How are the snow peas and mushrooms arranged?,intermingled,What type of peas are in the dish?,snow peas,What color are the mushrooms?,brown,How are the green onion slices placed?,scattered,Where are the green onion slices located??,on top
ded146d688f827b,What color are the cake pops in the sixth column?,blue,What type of dessert is shown in the image?,cake pops,What color are the cake pops in the third column?,chocolate,Where are the cake pops placed?,on a white base,What color are the cake pops in the sixth column??,green
cc8ab18052f66ff,How does the surface of the chicken appear?,shiny,What is the color of the rice?,rice,What is the color of the chicken surface?,brown,How are the chicken pieces arranged?,stacked on,In which direction are the chicken pieces leaning??,leaning
e73d602511bd243,What color are the pork pieces?,dark brown,How are the pork pieces arranged in the dish?,scattered,What type of eggs are in the dish?,eggs,What color are the eggs?,beige,Where is the last egg located in the dish??,on the lower left area
8e5cc914ad09687,What type of chicken dish is shown in the image?,authentic,What is the main protein in the dish?,chicken,What color are the chicken pieces?,brown,Where are the chicken pieces placed?,on the plate,What part of the chicken is clustered on the left side of the plate??,drumsticks
c5e62567a5a4266,What type of meat is used in the dish?,pork,What color is the fat on the pork belly?,white,What color are the peas in the dish?,green,How is the dish cooked?,simmered,Where are the pork belly pieces mostly located??,toward the bottom
685234f6de463c0,What color is the pork in the dish?,brown,What type of meat is used in the dish?,pork,How is the pork distributed in the dish?,scattered,How does the food appear overall?,moist,In which part of the dish is the pork primarily located??,in the bottom left
aec970daf4193a0,What color is the chicken in the dish?,brown,What type of meat is featured in the dish?,chicken,What color are the sliced peppers in the dish?,green,Where are the sliced green peppers scattered?,throughout the dish,What is the name of the dish??,adobo
e20cfc391708cfd,What color are the most prominent granules in the seasoning?,orange-red,What is the seasoning filling?,filling,What are the green flakes in the seasoning made of?,herbs,What color are the crystals in the seasoning?,white,What is the mix of colors in the seasoning creating??,of colors
5d35f54a93f462a,What color is the bowl?,silver,What is the container for the aioli?,bowl,How full is the bowl with aioli?,fills,What color is the aioli?,pink,Where is the bowl placed??,on a plate
3263d5822a81671,What color are the slices of cooked meat?,pink,What type of food is light pink in color?,meat,What color are the lemon wedges?,yellow,Where are the food items placed?,on the plate,What is on top of the slices of cooked meat??,topped
2ae1eab71f4e2e4,Where is the Artichoke Aioli located in the image?,located in,What is the name of the sauce in the image?,Artichoke Aioli,How would you describe the texture of the Artichoke Aioli?,coarse,What type of container is the Artichoke Aioli served in?,bowl,How is the Artichoke Aioli presented in the image??,presented
7af34345b79d412,What is the name of the sauce in the bowl?,aioli,What is the texture of the miso aioli?,creamy,What is the miso aioli contained in?,bowl,Where is the bowl located?,located on,What is the bowl positioned on??,cutting
51723835bb92e3b,What is the flavor of the aioli?,lemon aioli,What color is the lemon aioli?,off-white,Where does the bowl sit?,sits on,What color are the flecks in the aioli?,green,What kind of details are on the napkin??,embroidered
b62e3ea443558c1,What is the color of the aioli?,creamy,What is the aioli served in?,bowl,What color is the aioli primarily?,white,How are the dill and garlic pieces distributed in the aioli?,dispersed,What is the aioli served with??,with Easy Garlic-Dill Aioli
da22719a7788bd7,What color is the garlic aioli?,off-white,What is the name of the sauce in the bowl?,garlic aioli,What does the garlic aioli do to the bowl?,fills,What is the container for the garlic aioli?,bowl,Where is the wooden spoon located??,in the bowl
d27cb5cd15718b8,What color is the Quick Lemon-Herb Aioli?,white,Where is the Quick Lemon-Herb Aioli located?,located on top of,What has been done to the meat?,sliced,What is the Quick Lemon-Herb Aioli served with?,meat,What is scattered throughout the sauce??,speckled
7b522977d201e40,What is the texture of the Wasabi Aioli?,smooth,What is the Wasabi Aioli contained in?,bowl,Where is the Wasabi Aioli positioned?,is,What color is the bowl?,white,Where is the Wasabi Aioli in the image??,in the center foreground
c7ccbd5e0962c7a,What color is the aioli?,off-white,What is the aioli served in?,bowl,What is the spoon doing in the aioli?,dipped,Where is the bowl placed?,on a brown napkin,What is the name of the sauce in the bowl??,aioli
263897b2eac2ab2,What color is the pepper in the image?,red,What is the name of the sauce in the image?,aioli,How is the aioli presented in the image?,served,What color is the bowl used to serve the aioli?,white,Where is the aioli located in the image??,in the center-right
c1d19831b5e9b79,What color is the avocado aioli?,vibrant,What is the name of the sauce in the bowl?,aioli,What color is the bowl?,green,Where is the avocado aioli positioned in the image?,in the lower left,What is the avocado aioli served in??,bowl
ff190cbc2d54e7e,What is the texture of the basil aioli?,creamy,What herb is visible in the aioli?,basil,What color is the basil aioli?,green,Where are the basil leaves placed?,on the top,What is the basil aioli served in??,bowl
8f2a1f299766e1b,What is the texture of the Chipotle Aioli?,creamy,What color is the Chipotle Aioli?,beige,Where does the metal cup sit?,sits,What material is the cup made of?,metal,Where is the metal cup located??,on the plate
14b43dd9aaa5da7,What color is the horseradish aioli?,creamy,What is the horseradish aioli served in?,bowl,What color is the bowl?,red,What is the rim of the bowl made of?,with silver,What is sprinkled on the horseradish aioli??,herbs
8dc238de00e476e,What is the texture of the aioli?,white,How is the aioli presented in the bowl?,mounded,What is the aioli served in?,bowl,What herb is used in the aioli?,tarragon,Where is the tarragon sprig positioned in the aioli??,in the middle
2d6b6e50ea9afdd,What color is the aioli?,yellow,Where does the aioli sit?,sits,What is the color of the bowl?,bowl,What color are the cilantro leaves?,green,Where is the cilantro sprig placed??,on top of
5eae7f928099d3c,What is the color of the aioli?,is,Where is the aioli located in the image?,clear,What type of bowl is the aioli in?,bowl,What color is the aioli?,yellow,Where is the bowl placed in the image??,in the center
0c2da50c7ca3516,What color is the plate?,red,What type of dish is being served?,pasta,What is the texture of the sauce?,creamy,What color are the herbs scattered throughout the pasta?,green,Where is the fork placed??,on the plate
8f75634c7f3b6cf,What is the texture of the Alfredo sauce?,creamy,What type of meat is used in the dish?,chicken,What color is the Alfredo sauce?,beige,How are the diced pieces of chicken distributed in the dish?,scattered,Where are the diced pieces of chicken particularly concentrated??,on the right
ba3d85d023678e4,What color is the plate?,white,What is the shape of the plate?,plate,What type of meat is in the pasta?,chicken,What color are the diced tomatoes?,red,Where are the diced tomatoes scattered??,scattered within
e8dbda812241801,What is the texture of the alfredo sauce?,creamy,What vegetable is used as a bowl?,spaghetti squash,How is the chicken cooked?,grilled,What type of meat is on top of the squash alfredo?,chicken,Where are the chicken pieces distributed??,across the top
0233b6efc9a50c4,What color is the bowl?,white,What is the pasta located in?,bowl,What color are the parsley flakes?,green,What color is the pasta?,beige,Where is the fork placed??,to the right
911ac9935371e2c,What color are the zucchini slices?,green,What type of pasta is in the image?,pasta,What sauce is used in the dish?,Alfredo,What is the texture of the Alfredo sauce?,creamy,Where is the pasta piled in the image??,in the center
a2f9265a22f34aa,What color is the pasta?,yellow,What type of meat is mixed with the pasta?,chicken,What is the color of the alfredo sauce?,mixed,What is the color of the diced chicken pieces?,white,Where is the baked chicken alfredo primarily placed??,in a foil container
b5d18f06610f426,What is the chicken seasoned with?,seasoned,What type of meat is in the dish?,chicken,What color is the Pumpkin Alfredo sauce?,orange,Where are the fettuccine noodles located?,on the right,What color are the basil leaves??,green
c41a7917079e67c,What color is the spaghetti?,light,What is the main type of pasta in the dish?,spaghetti,What color is the vegan alfredo sauce?,white,What color are the green peas?,green,Where are some of the green peas located??,around the edges
a044cf6736abf87,What is the texture of the almond paste?,paste,What color is the almond paste?,pale,What is the color of the almond paste described as?,tan,What is the texture of the almond paste described as?,smooth,What is the almond paste placed in??,bowl
cd6cb0765715b9e,What color is the almond paste?,beige,What is the texture of the almond paste described as?,paste,What does the almond paste fill?,fills,What type of container holds the almond paste?,glass,Where is the glass bowl located in the image??,in the image
ecd00accd52dfe1,What color are the almond bear claws?,golden-brown,What type of pastries are shown in the image?,bear claws,What color is the plate used for the bear claws?,white,Where are the sliced almonds placed on the bear claws?,on top,What is drizzled on some of the bear claws??,icing
8cbc00a377cdc1c,What color are the honey-roasted almonds?,brown,What type of nuts are in the bowl?,almonds,What do the almonds do to the bowl?,fill,What color are the flecks on the almonds?,white,Where is the almond positioned relative to the bowl??,to the left of
4e7a1ed27e15081,What is the color of the almonds?,brown,What type of nuts are shown in the image?,almonds,How are the individual almonds arranged around the bowls?,scattered,What is the overall tone of the almonds' color?,light,Where is the bowl located in the image??,on the left
168baa8cb8878f7,What type of nuts are shown in the image?,almonds,What color is the cloth?,red,What is holding some of the almonds?,glass jar,Where are the almonds scattered?,scattered,Where are the almonds located??,on a red cloth
5047313ce41930d,Where is the almond Jell-O sitting?,sitting on,What is the almond Jell-O made of?,Jell-O,How are the lychees arranged on the Jell-O?,clustered,What color are the lychees?,white-pink,What color is the lettuce under the Jell-O??,green
aa2600005814af7,What color is the base of each Almond Thin?,golden-brown,What is scattered across the top surface of each Almond Thin?,almond slices,What color are the almond slices on top?,tan,Where is the top Almond Thin positioned?,on top of,Are some Almond Thins fully visible??,obscured
123e3b1fd88819f,What is the taste of the almonds?,sweet,What type of nuts are shown in the image?,almonds,What color are most of the almonds?,brown,Where are the almonds placed in relation to each other?,on top of,How does the glaze on the almonds appear??,shiny
745f5567955e87c,What type of nut is used in the squares?,almond,What color is the plate?,blue,What color is the base of each square?,golden,What is the dark brown layer on each square?,chocolate,What color are the edges of the almond slivers??,with tan edges
6607a42d0216e99,What is the almond jelly doing inside the bowl?,taking,What type of food is shown in the bowl?,jelly,What nut flavor is the jelly made of?,almond,How does the surface of the almond jelly appear?,smooth,Where is the scooped portion of the almond jelly located??,on the left
c148381e37973cf,What is the shape of the almonds in the image?,pile,What color is the chocolate coating?,brown,Where are the almonds located in the frame?,in the center,How are the almonds described in terms of their coating?,coated,How does the pile of almonds appear in relation to the cup??,rises
dc17185171f5566,What is the main ingredient in the paste?,almond paste,Where is the almond paste positioned in the frame?,positioned,What color is the plate?,white,What color is the almond paste?,yellow,Where is the almond paste placed??,on a white plate
06f97052398cfd2,What color is the homemade almond milk?,beige,What is the main ingredient used to make the milk?,milk,What does the almond milk do to the clear glass pitcher?,fills,What is scattered on the wooden surface at the base of the pitcher?,almonds,Where are the almonds located in the image??,at the base
592b307fb36b8b4,What color are the almonds?,brown,What type of nut is shown in the image?,almonds,What is the bowl made of?,clear,What seasoning is visible on the almonds?,with salt,Where are the almonds placed??,bowl
efa79f62e1212b8,What color is the bowl?,pink,What is holding the candied almonds?,bowl,Where are the candied almonds located?,located,What color are the candied almonds?,brown,How are the candied almonds distributed in the bowl??,throughout the bowl
a9de64865353ad1,What is the flavor of the almonds?,vinegar,What type of nuts are in the jar?,almonds,What is the container for the almonds?,jar,Where is the jar resting?,resting,Where are the scattered almonds located??,on the same surface
9a2122c94391ed2,What color is the almond tea?,orange,How much of the glass does the tea fill?,fills,Where is the tea located in the glass?,glass,What type of surface is the glass sitting on?,on the bottom center,What color is the background of the image??,green
66ea96887a274ed,What color are the almonds primarily?,brown,What type of nuts are shown in the image?,almonds,Where is the sugared toasted almond salad topping located?,located in,How are the almonds arranged in the pan?,scattered,What color is the pan??,black
d3fc0eb6e6f09bc,What are the food items pierced onto?,skewers,How are the skewers placed on the board?,arranged,What color are the cherries on the skewers?,red,What material is the board made of?,wooden board,Where are the skewers placed??,on a wooden board
78484188036ddd0,What color is the plate?,white,What are the two items on the plate?,are,What color are the appetizers?,golden brown,What is melted on top of the appetizers?,cheese,Where are the appetizers placed??,on a white plate
38f2153f9489a79,What type of cheese is used in the appetizer?,mozzarella,What color are the sun-dried tomatoes?,red,What color is the platter?,dark,What type of dish is described in the image?,appetizer,Where are the sun-dried tomatoes and olives placed??,on top of
fe2ad5ffb6acd72,What color is the eggplant?,pale,What vegetable is pale and diced?,eggplant,What color are the tomato pieces?,red,Where are the eggplant cubes located?,throughout the pot,What do the ingredients do to the pot??,fill
f228c35e3cce912,What type of dessert is shown in the image?,cheesecake,What color is the crust of the cheesecake?,brown,How is the cheesecake constructed?,layered,What fruit is used in the top layer of the cheesecake?,apple,What is the cheesecake topped with??,with a three-layered construction
ab155d6899c244f,What color are the apples in the bowl?,golden-yellow,What fruit is primarily shown in the bowl?,apples,Where are the apples contained?,in a bowl,What color is the apple behind the bowl?,red,What dried fruit is scattered among the apples??,raisins
7bb760f6ba70c16,What color are the sauteed apples?,golden brown,What fruit is being cooked?,apples,What describes the edges of the apples?,caramelized,What color is the dish?,white,Where are the onions in relation to the apples??,with the apples
0a14bf73604dec2,What color are the sweet potatoes?,vibrant,What type of vegetable is in the bowl?,sweet potatoes,What color is associated with the sweet potatoes?,orange,What do the sweet potatoes do to the bowl?,fill,Where are the sweet potatoes mounded??,within the bowl
ef1f54f36825be8,Are the apples in the pie sliced?,sliced,What type of dessert is shown in the image?,pie,What color is the crust at the bottom of the pie?,light-yellow,What is the crust at the bottom of the pie?,is,Where is the crust located in the pie??,at the bottom
f2a14fc1a7d2327,What color is the closest apple rose?,yellow,What shape do the apple slices resemble?,rose,What is sprinkled on top of the apple roses?,sprinkled,Where is the powdered sugar located?,on top,What color is the baked base of the apple roses??,golden-brown
c9c4c036642367d,What color are the apple slices in the cake?,yellow,What is the primary food item in the image?,cake,What fruit is used in the cake?,apple,What color is the topping of the cake?,brown,Where is the crumbly topping located??,of the cake
cee5c5571b144c2,What color is the apple crisp's topping?,brown,What fruit is used in the filling of the crisp?,apple,What is covering the apple filling in the crisp?,covering,What ingredient is used in the crispy topping along with other ingredients?,oats,Where is the apple crisp contained??,within a dish
3ed3ea56291006c,What color are the pork chops in the dish?,light brown,What type of meat is used in the dish?,pork chops,What color are the apple slices mostly?,yellow,Where are the diced onions located in the dish?,among the apples,What is the size and shape of the onions in the dish??,diced
1e661a43a9d7db1,What color are the dumplings?,golden-brown,How are the dumplings placed in the dish?,arranged,What type of dish are the dumplings in?,glass,What color is the sauce?,brown sauce,Where is the one dumpling located??,in the center
14dae2243eee654,What color are the apples in the salad?,green,What type of dish is being described?,salad,How are the dark purple or black dried fruits arranged in the salad?,scattered,What color is the creamy sauce covering the salad?,white,Where are the walnuts placed in the salad??,on top of
c30ffbe2e344f37,What type of dessert is shown in the image?,cake,What color is the base of the cake?,yellowish-brown,Where is the smaller slice of cake positioned?,sits,What color is the apple near the back corner of the cake?,red,Where is the single red apple located??,in the foreground
ce67f2671c475c1,What is the texture of the crust of the pastry in the foreground?,flaky,What type of food is shown in the image?,pastry,What color is the crust of the pastry in the foreground?,golden-brown,What can be seen inside the pastry in the foreground?,filling,Where are the pastries located in the image??,in the image
10d7a130cfa4d3b,What is the primary color of the milkshake?,off-white,What material is the glass made of?,glass,What color is the apple to the lower left?,red,Where is the apple positioned relative to the milkshake glass?,to the lower left,What fruit is positioned to the lower left of the milkshake glass??,apple
0a6125df3555ae3,What color is the glazed crust of the cinnamon roll?,golden-brown,What type of roll is shown in the image?,cinnamon roll,What fruit is used in the filling of the cinnamon roll?,apple,Where is the cinnamon roll positioned?,on a white plate,What tone does the sauce in the filling have??,brownish
71be6537c634b0e,What color is the crust of the turnovers?,golden-brown,What type of pastry is shown in the image?,turnovers,What color is the plate the turnovers are on?,blue,Where are the two turnovers positioned relative to each other?,on top of,What is drizzled on top of the turnovers??,drizzled
6eaed7fb97e895f,What color is the clafoutis?,golden,What fruit is used in the clafoutis?,apple,What color is the cast iron pan?,black,Where is the clafoutis being cooked?,in a pan,What is the texture of the interior of the clafoutis??,custardy
0a9f17cbdfb3aa0,What color are the baked apples?,yellow,What fruit is shown in the image?,apples,What is inside the cavities of the apples?,filled,Where are the baked apples arranged?,in two locations,What color is the filling inside the apples??,brown
57fb485bf4abc81,What color are the apples?,yellow,What fruit is distributed throughout the dish?,apples,Where is the cinnamon stick resting?,resting on and among the apples,What color are the apricots?,orange,What covers both the apples and apricots??,covers
afa8505f20c7e28,What is the strudel generously dusted with?,dusted,What type of dessert is shown in the image?,strudel,What color is the powdered sugar on the strudel?,white,What color is the crust of the strudel?,golden-brown,Where is the strudel placed??,on a white plate
e4deef941262fff,What color is the cocktail?,reddish-brown,What type of fruit is floating on the surface of the drink?,apple,What color is the apple beside the glass?,red,Where is the apple slice located?,on the surface,What is the apple slice doing on the surface of the drink??,floating
29cfabcbcc94ba3,What is the texture of the apple butter?,glossy,What is the main food item in the image?,toast,What color is the apple butter?,brown,Where is the bite taken from the toast?,on the left,What is the spread on the toast called??,apple butter
33ac7635615bf4f,What color are the apples in the dish?,yellow,What fruit is featured in the dish?,apples,What happened to some sections of the apples during cooking?,browned,Where are the apples distributed in the dish?,throughout the dish,What color are the fennel fronds on top of the dish??,green
94dec313b0ad182,What does the water do to the mason jar?,fills,What type of jar is used?,mason jar,What color are the apple slices?,green,Where are the apple slices located?,in the water,What fruit is used in the jar??,apple
76471a8f3755ffe,What are the whole apples colored?,are,What color are the whole apples?,red,What fruit is featured in the image?,apples,What color are the diced cinnamon apples?,brown,Where are the cinnamon sticks located??,in
bc20251111bb562,What is the spread on the bread?,apple butter,Is the jar on the left open or closed?,open,Where is the slightly open jar of apple butter located?,left,What is placed at the bottom of the image?,bread,Where is the spoonful of apple butter placed??,on the bread
b79d8e7a7655009,How would you describe the Apple Butter in the jars?,Amazing,What is the state of the jars in the image?,filled,What color is the substance inside the jars?,reddish-brown,Where is the first jar located?,to the left,What color are the lids of the jars??,silver
78d83afd25ec208,What type of dessert is shown in the image?,pie,How is the pie prepared?,baked,What fruit is used in the pie filling?,apple,Where is the pie resting?,on a dark red fabric,What pattern is used for the top crust??,lattice
2f76ea4fdc7a8c4,What color are the stewed apples primarily?,yellow,What type of fruit is shown in the image?,apples,How are the apples positioned in the pan?,arranged,What color is the pan in the image?,dark,Where are the apples arranged in the image??,in the center
4c3a3cad0647386,What color is the dominant apple?,red,What type of fruit is visible?,apples,What does the mixed drink resemble?,resembling,What color is the mixed drink?,yellow-orange,Where is the glass positioned relative to the apples??,to the right of the apples
59bfd5a2039013e,What color is the apple butter?,translucent,What fruit is shown in the image?,apples,What color are the apples?,red,Where is the toast with apple butter located?,on top of,What is the toast placed on??,plate
f662ae242156d32,What color is the candy coating on the apples?,red,What type of fruit is coated in the candy?,apples,What are the apples coated with?,candied,Where are the candied apples placed?,on a rectangular metal tray,What material is the tray made of??,metallic
de41b1b7ff3d86f,What is the color of the glass?,clear,What type of fruit is to the left of the glass?,apple,What color is the apple to the left of the glass?,red,Where is the sprig of green mint located?,on top of,What are the apples sitting on??,tablecloth
d0501785b532eca,What color are the darker patches on the apples?,brown,What fruit is shown in the image?,apples,What color is the bowl?,white,What color is the cut apple piece?,yellow,Where are the apples placed??,in a bowl
6099939c846730e,What is the name of the food in the bowl?,apple sauce,What does the apple sauce do in the bowl?,fills,What color is the spoon?,silver,What is the bowl made of?,transparent,Where is the spoon located??,in the apple sauce
7c5230b02f42d80,What color is the label on the jar?,black,What is the spread on the muffins?,apple butter,What color is the apple butter?,caramel-brown,Where is the glass jar located in the image?,on the right side,What is the spread on the English muffins??,muffins
cb6d5b5d6490eb4,What is the primary color of the oatmeal?,beige,What does the oatmeal do to the image frame?,fills,What fruit is visible in the oatmeal?,apple,What is the texture of the oatmeal like?,chunky,Where does the darker brown oatmeal appear??,near the top
8101f470fe6b3cd,What color are the apples used as the base of the ladybug treats?,red,What insect do the treats resemble?,ladybug,What are the antennas of the ladybugs made of?,pretzel,Where is one ladybug positioned relative to the other?,behind and to the left of,What do the raisins on the ladybug's back imitate??,mimic
6c99eb1f162b6df,What color are the apples primarily?,golden-brown,What type of fruit is shown in the image?,apples,What is the color of the cast iron skillet?,dark,Where are the apples located?,in a,What type of pan are the apples cooked in??,cast iron
d26e69e7c149584,What color are the apples in the cobbler?,reddish-pink,What fruit is used in the cobbler?,apples,What color is the topping on the cobbler?,golden-brown,Where is the topping placed in relation to the apples?,on top of,What is happening to the ice cream on top of the cobbler??,melting
54d79094e08d6a0,What color is the bowl?,yellow,What is in the bowl?,apple,What is the texture of the baby food?,smooth,What is the bowl placed on?,bowl,Where is the bowl placed??,on a green napkin
347764f012ad94c,What is the color of the rice besides brown?,white,What is the state of the rice and other ingredients?,mixed,What is the color of the diced apples?,green,What type of nuts are mixed with the rice?,almonds,Where is the rice mixture located on the plate??,on the left side
