,Image,Question,Answer
5297,978d43683b395fa,Where are the ribs located in the image,located on
5298,978d43683b395fa,What are the ribs garnished with,garnished
5299,978d43683b395fa,What color are the garnishes on the ribs,green
5300,d3a46c93a2a0cbd,What color are the grill marks on the beef,reddish-brown
5301,d3a46c93a2a0cbd,What type of meat is being served,beef
5302,d3a46c93a2a0cbd,What color are the chives garnishing the beef,green
5303,d3a46c93a2a0cbd,Where is the first strip of beef positioned,on the left
5304,d3a46c93a2a0cbd,What cooking method is used for the beef,grill
5310,92381cd51c976d5,What color is the kale,green
5311,92381cd51c976d5,What is the kale served in,bowl
5312,92381cd51c976d5,What color is the chicken,brown
5313,92381cd51c976d5,How is the chicken distributed in the stir-fry,mixed with
5314,92381cd51c976d5,What is the chicken mixed with,chicken
5315,ad01a86db4eabd6,What color are the kale leaves in the image,dark green
5316,ad01a86db4eabd6,What type of greens are in the pressure cooker,kale
5317,ad01a86db4eabd6,What color is the bowl that holds the kale greens,blue
5318,ad01a86db4eabd6,Where are the kale greens located in the image,in the center
5319,ad01a86db4eabd6,What type of meat is mixed in with the kale greens,ham
5320,4068f743dd478f1,What color are the kale leaves in the bowl,green
5321,4068f743dd478f1,What is the salad served in,bowl
5322,4068f743dd478f1,Where are the white beans located in the salad,scattered among
5323,4068f743dd478f1,What color are the shredded carrots in the salad,orange
5324,4068f743dd478f1,How are the ingredients arranged in the salad,mixed
5325,f537892f097b281,What color is the bowl,white
5326,f537892f097b281,What is the Easy Kale Slaw served in,bowl
5327,f537892f097b281,What color are the kale leaves,green
5328,f537892f097b281,What color are the carrot slices,orange
5329,f537892f097b281,Where are the carrot slices mixed,among
5330,6687b833ab7a5a3,What color is the kale,bright
5331,6687b833ab7a5a3,What type of green vegetable is bright and scattered on the plate,kale
5332,6687b833ab7a5a3,How does the kale appear in terms of texture,wilted
5333,6687b833ab7a5a3,What color are the small pieces mixed with the kale,brown
5334,6687b833ab7a5a3,Where are the beet greens positioned in relation to the kale,on top of
5335,5145ffccf800d82,What is the dark green ingredient in the dish,kale
5336,5145ffccf800d82,How are the sausages arranged in the dish,arranged
5337,5145ffccf800d82,What color are the sausages in the dish,beige
5338,5145ffccf800d82,What type of meat is visible in the dish,sausages
5339,5145ffccf800d82,Where is the kale located in relation to the other ingredients,within the broth
5345,052b320958af368,What is the name of the dish in the image,salad
5346,052b320958af368,How is the bacon distributed in the salad,scattered
5347,052b320958af368,What color is the bacon in the salad,reddish-brown
5348,052b320958af368,What color are the dried apricots in the salad,orange
5349,052b320958af368,Where are the bright red pepper slices placed in the salad,on top
5350,5ad7fd4ac4b0239,What color is the kale in the salad,dark green
5351,5ad7fd4ac4b0239,What is the salad served in,bowl
5352,5ad7fd4ac4b0239,How are the croutons arranged in the salad,scattered
5353,5ad7fd4ac4b0239,What color is the parmesan cheese in the salad,white
5354,5ad7fd4ac4b0239,Where is the focaccia bread placed in relation to the bowl,at the left
5355,61d57072deac760,What color are the kale leaves,green
5356,61d57072deac760,What is the salad served in,bowl
5357,61d57072deac760,What color are the cranberries,red
5358,61d57072deac760,What color are the walnuts,brown
5359,61d57072deac760,Where are the pickled onions located in the salad,within the salad
5360,a78e71afb976574,What color are the bacon pieces,brown
5361,a78e71afb976574,What is the base of the dish made of,dish
5362,a78e71afb976574,What color is the kale,green
5363,a78e71afb976574,What color are the apple chunks,light orange
5364,a78e71afb976574,Where are the bacon pieces mostly located,on top of
5365,2ede654e6d935fc,What cooking method is used for the kale in the dish,creamed
5366,2ede654e6d935fc,What is the main green vegetable in the dish,kale
5367,2ede654e6d935fc,What color are the kale leaves in the image,green
5368,2ede654e6d935fc,What ingredient is scattered throughout the dish alongside the kale,with mushrooms
5369,2ede654e6d935fc,What color are the mushrooms in the dish,brown
5385,726e5a2ac25d31e,What color is the kale,green
5386,726e5a2ac25d31e,What is the kale served in,bowl
5387,726e5a2ac25d31e,What type of beans are in the bowl,beans
5388,726e5a2ac25d31e,What color are the kidney beans,reddish-brown
5389,726e5a2ac25d31e,Where are the kale and beans filled to,to the top
5395,c0d472210689eae,What type of leafy green is in the image,kale
5396,c0d472210689eae,Where is the kale interspersed,interspersed
5397,c0d472210689eae,What color are the adzuki beans,reddish-brown
5398,c0d472210689eae,What type of beans are in the image,beans
5399,c0d472210689eae,Where are the adzuki beans mixed in,in with
5400,c9a9e81846ed961,What color is the kale in the dish,green
5401,c9a9e81846ed961,What type of vegetable is dark green and glossy in the dish,kale
5402,c9a9e81846ed961,What is the main focus of the dish,dish
5403,c9a9e81846ed961,Where are the broccoli florets located in relation to the kale,behind the kale
5404,c9a9e81846ed961,What gives the kale and broccoli a glossy appearance,oily
5405,0e64b508ab463dd,What color are the kale leaves,green
5406,0e64b508ab463dd,What type of kale is used,kale
5407,0e64b508ab463dd,What color are the raisins,brown
5408,0e64b508ab463dd,Where are the onions located,over the kale
5409,0e64b508ab463dd,How are the raisins distributed,scattered
5410,280c3db8d26a4b8,What color is the kale in the pan,green
5411,280c3db8d26a4b8,What type of vegetable is being cooked,kale
5412,280c3db8d26a4b8,What is the kale being cooked in,pan
5413,280c3db8d26a4b8,How do the kale leaves appear after being cooked,glistening
5414,280c3db8d26a4b8,What are the kale leaves glistening in,in oil
5415,fa0a7c401cdc3e3,How is the kale arranged on the plate,piled
5416,fa0a7c401cdc3e3,What type of vegetable is piled on the plate,kale
5417,fa0a7c401cdc3e3,How would you describe the color of the kale,vibrant
5418,fa0a7c401cdc3e3,What fruit is partially visible on the plate,lemon
5419,fa0a7c401cdc3e3,Where is the kale located on the plate,on the plate
5425,ba24670c313bd9a,What color are some of the kale chips,green
5426,ba24670c313bd9a,Where are the kale chips located,located on
5427,ba24670c313bd9a,What are the kale chips placed on,plate
5428,ba24670c313bd9a,How are the kale chips arranged on the surface to the lower left,scattered
5429,ba24670c313bd9a,What color have some of the kale chips turned,browned
5430,23b100dc5c8d669,What color describes some of the kale pieces,vibrant
5431,23b100dc5c8d669,What type of vegetable is shown in the image,kale
5432,23b100dc5c8d669,What color are the stems of the kale,green
5433,23b100dc5c8d669,Where is the kale spread across,across the foil
5434,23b100dc5c8d669,"What texture is indicated by the darker, almost black-brown color of some kale pieces",crispiness
5440,6474457bc3def5a,What color are most of the kale chips in the image,green
5441,6474457bc3def5a,What type of food is shown in the image,chips
5442,6474457bc3def5a,What color are the spots on the kale chips,reddish-brown
5443,6474457bc3def5a,How do the edges of the kale chips appear,crumpled
5444,6474457bc3def5a,Where are the kale chips located in the image,throughout the entire frame
5445,9cd3301359ecc8b,What color is the kale,green
5446,9cd3301359ecc8b,What type of vegetable is dark green and fills most of the pan,kale
5447,9cd3301359ecc8b,What fruit is diced and scattered throughout the kale,apples
5448,9cd3301359ecc8b,What color are the onions,reddish-purple
5449,9cd3301359ecc8b,Where is the kale denser in the pan,on the right side
5455,588f8fe50466782,What color is the kale in the bowl,green
5456,588f8fe50466782,What vegetable is in the bowl,kale
5457,588f8fe50466782,What type of milk is mixed with the kale,coconut milk
5458,588f8fe50466782,How much kale is in the bowl,fills
5459,588f8fe50466782,Where is the sauteed kale located in the image,in the upper right
5460,c51d92a6538942b,How would you describe the color of the kale,vibrant
5461,c51d92a6538942b,What is the main green vegetable in the image,kale
5462,c51d92a6538942b,What color are the small pieces of zest,orange
5463,c51d92a6538942b,What color is the wedge of orange,yellow-orange
5464,c51d92a6538942b,Where is the wedge of orange positioned,on the right
5465,f3b0cedc5edd59f,What color is the base of the salad,green
5466,f3b0cedc5edd59f,What type of fruit is interspersed in the salad,tomatoes
5467,f3b0cedc5edd59f,Where are the sliced tomatoes located,located towards
5468,f3b0cedc5edd59f,How are the tomatoes arranged in the salad,scattered
5469,f3b0cedc5edd59f,What is the primary ingredient in the salad,salad
5470,53504d50a73b197,What texture does the kale have,crunchy
5471,53504d50a73b197,What is the primary color of the kale,kale
5472,53504d50a73b197,What color is the kale throughout the image,green
5473,53504d50a73b197,Where are the green stalks situated,throughout the image
5474,53504d50a73b197,Are the ingredients mixed together,mixed
5475,3768a6120f67362,What color are the kale leaves,green
5476,3768a6120f67362,What is the main ingredient in the dish,kale
5477,3768a6120f67362,What color are the almonds,brown
5478,3768a6120f67362,What is mixed with the kale,with the kale
5479,3768a6120f67362,What are scattered throughout the kale,nuts
5480,216f633a69d340e,What color is the glaze on the kebabs,dark
5481,216f633a69d340e,What type of food is shown in the image,kebabs
5482,216f633a69d340e,What color is the glaze on the kebabs,brown
5483,216f633a69d340e,Where is the kebab positioned that is closer to the viewer,on the left
5484,216f633a69d340e,What green herb is placed near the kebab on the left,parsley
5485,bfd5aabeaa336f5,What color are the patties,brown
5486,bfd5aabeaa336f5,What is the main dish in the image,kebab
5487,bfd5aabeaa336f5,What red ingredient is visible in the patties,tomato
5488,bfd5aabeaa336f5,Where is the pale green sauce applied,spread on
5489,bfd5aabeaa336f5,What color is the plate,white
5490,2553f61c84fc2ac,What color is the plate,copper-colored
5491,2553f61c84fc2ac,What is the name of the dish,kebab
5492,2553f61c84fc2ac,What is the white dollop on the left side of the plate,yogurt
5493,2553f61c84fc2ac,What color is the sauce on the kebab,reddish-orange
5494,2553f61c84fc2ac,Where are the bright red tomatoes located,throughout the meat
5495,c61c82ace159635,What color is the pita bread pocket,beige
5496,c61c82ace159635,What type of meat is inside the pita,kebab
5497,c61c82ace159635,What color is the kebab meat,brownish-grey
5498,c61c82ace159635,What color are the carrot strips,orange
5499,c61c82ace159635,Where are some of the carrot and cucumber pieces placed,on top of
5500,33dccd56a14ed91,What type of bread is used for the kebabs,pita
5501,33dccd56a14ed91,How is the pita on the left positioned,tilted
5502,33dccd56a14ed91,What color are the diced tomatoes,red
5503,33dccd56a14ed91,What does the filling of the kebabs consist of,consist of
5504,33dccd56a14ed91,What is the color of the meat pieces,meat
5505,d58aa11638f15cc,Are the kebabs charred,charred
5506,d58aa11638f15cc,What type of food is shown in the image,kebabs
5507,d58aa11638f15cc,Where are some of the kebabs resting,resting on
5508,d58aa11638f15cc,What color are the sliced tomatoes,red
5509,d58aa11638f15cc,Are the tomatoes sliced,sliced
5510,f1fd586e526f130,What is the texture of the kebab described as,silken
5511,f1fd586e526f130,What type of kebab is shown in the image,kebab
5512,f1fd586e526f130,What color is the sauce drizzled on the kebab,brown
5513,f1fd586e526f130,Where are some pieces of the kebab placed,on top of
5514,f1fd586e526f130,What color is the lettuce in the image,green
5520,7f81c246c1e96c3,What color is the plate,white
5521,7f81c246c1e96c3,What type of meat is used for the kebabs,chicken
5522,7f81c246c1e96c3,What color are some of the chicken pieces,brown
5523,7f81c246c1e96c3,What are the kebabs served with,with
5524,7f81c246c1e96c3,What color are the tomatoes,red
5525,da70161ccca852b,What type of meat is used in the shish kebabs,beef
5526,da70161ccca852b,What color are the beef pieces,brown
5527,da70161ccca852b,What is the beef being cooked on,grill
5528,da70161ccca852b,Where are the beef shish kebabs placed,on a grill
5529,da70161ccca852b,What vegetable is skewered with the beef,zucchini
5530,3526e35b178ee97,What type of meat is used for the kebabs,pork
5531,3526e35b178ee97,What color are the kebabs,reddish-brown
5532,3526e35b178ee97,How are the kebabs placed on the plate,arranged
5533,3526e35b178ee97,Where is the plate placed,on a plate
5534,3526e35b178ee97,What are the skewered pieces of meat called,kebabs
5535,78172e7a680626e,What color is the venison in the image,red-brown
5536,78172e7a680626e,What type of meat is used in the kebabs,venison
5537,78172e7a680626e,How do the bell pepper pieces appear in the image,bright
5538,78172e7a680626e,Where are the orange bell pepper pieces located in the image,interspersed among
5539,78172e7a680626e,What color are the cherry tomatoes in the image,orange
5545,bb4ecbae3a1559a,What color is the plate,green
5546,bb4ecbae3a1559a,What type of meat is used in the kebabs,ham
5547,bb4ecbae3a1559a,What vegetable is dark green and has a browned surface,zucchini
5548,bb4ecbae3a1559a,What color are the bell pepper chunks,yellow
5549,bb4ecbae3a1559a,Where are the skewers placed,on a plate
5550,ceeaa938755a7d8,What color are the sausages on the kebabs,brown
5551,ceeaa938755a7d8,What type of food is shown in the image,kebabs
5552,ceeaa938755a7d8,How are the kebabs presented on the plate,arranged
5553,ceeaa938755a7d8,What are the sausages and vegetables threaded onto,on skewers
5554,ceeaa938755a7d8,What color is the checkered cloth in the image,red
5560,2c36a7c789c1ffc,What color is the kielbasa,reddish-brown
5561,2c36a7c789c1ffc,What type of sausage is used in the dish,kielbasa
5562,2c36a7c789c1ffc,What vegetable is mixed with the kielbasa,cabbage
5563,2c36a7c789c1ffc,What color are the parsley leaves,green
5564,2c36a7c789c1ffc,Where are the parsley leaves placed,on top
5565,85a335887d1ebd2,What color are the kielbasa pieces,reddish-brown
5566,85a335887d1ebd2,What is the container holding the food,bowl
5567,85a335887d1ebd2,What color are the Brussels sprouts,green
5568,85a335887d1ebd2,Where is the lemon wedge placed,on the top
5569,85a335887d1ebd2,Where are the kielbasa and Brussels sprouts placed,placed
5570,720c92828198439,What color are the potatoes mostly,yellow
5571,720c92828198439,What vegetable is present in the dish besides potatoes and kielbasa sausage,potatoes
5572,720c92828198439,What color are some of the potatoes due to browning,browned
5573,720c92828198439,What color is the kielbasa sausage on the outside,reddish-brown
5574,720c92828198439,Where are the broccoli florets distributed,around the dish
5580,d4613cc5b68dbd7,What color are the kielbasa pieces,reddish-pink
5581,d4613cc5b68dbd7,What type of sausage is shown in the image,kielbasa
5582,d4613cc5b68dbd7,Where are the kielbasa pieces located,in a pan
5583,d4613cc5b68dbd7,What color is the pan,grey
5584,d4613cc5b68dbd7,How does the sauce on the kielbasa appear,glossy
5585,1bc0b511433c4fb,What color is the top of the kielbasa piece on the left,browned
5586,1bc0b511433c4fb,What type of sausage is in the bowl,kielbasa
5587,1bc0b511433c4fb,What color is the sauerkraut,yellow
5588,1bc0b511433c4fb,Where is the browned kielbasa piece located,on the left
5589,1bc0b511433c4fb,What is the pale yellow ingredient mixed throughout the dish,sauerkraut
5590,4322121728a8664,What color is the kielbasa,brown
5591,4322121728a8664,What type of sausage is shown in the image,kielbasa
5592,4322121728a8664,How are the kielbasa positioned in the foreground,held
5593,4322121728a8664,Where are the kielbasa prominently located,foreground
5594,4322121728a8664,Where are the kielbasa arranged in the background,on a black plate
5595,7fefa5a8d7e8f2f,What color are the kofta balls,brown
5596,7fefa5a8d7e8f2f,What is the name of the dish that includes the kofta balls,kofta
5597,7fefa5a8d7e8f2f,What is the texture of the sauce,creamy
5598,7fefa5a8d7e8f2f,What color is the sauce,orange
5599,7fefa5a8d7e8f2f,Are the reddish-orange flecks scattered throughout the sauce,throughout the sauce
5600,bc0e62d6a0f1ee7,What color is the plate,dark blue
5601,bc0e62d6a0f1ee7,What type of food is on the plate,koftas
5602,bc0e62d6a0f1ee7,What color are the koftas,greenish-yellow
5603,bc0e62d6a0f1ee7,What color are the mint leaves on the koftas,with green
5604,bc0e62d6a0f1ee7,Where is the fork located,fork
5605,09b2c92b6110e31,What color are the kofta kebabs,brownish-gray
5606,09b2c92b6110e31,How are the kofta kebabs arranged,arranged
5607,09b2c92b6110e31,What are the kofta kebabs placed on,plate
5608,09b2c92b6110e31,What is the kofta kebab placed on top of,lettuce
5609,09b2c92b6110e31,What are the kofta kebabs arranged on,on skewers
5610,7e3b68146d9535b,What color is the bowl,off-white
5611,7e3b68146d9535b,What is at the bottom of the bowl,rice
5612,7e3b68146d9535b,What color is the curry sauce,red
5613,7e3b68146d9535b,Where are the kofta positioned,on top
5614,7e3b68146d9535b,What color are the parsley leaves,green
5620,2865821a3917996,What color are the bowls,yellow
5621,2865821a3917996,What type of food is in the bowls,soup
5622,2865821a3917996,What color are the bowls with a red rim,black
5623,2865821a3917996,Where is one bowl located,in the bottom left corner
5624,2865821a3917996,What material is the cutting board made of,wooden
5625,4750f0acd757ead,What type of dish is the kohlrabi soup,soup
5626,4750f0acd757ead,What color is the kohlrabi soup,yellowish-tan
5627,4750f0acd757ead,What does the kohlrabi soup do in the bowl,fills
5628,4750f0acd757ead,What color are the leafy pieces in the soup,dark green
5629,4750f0acd757ead,Where are the dark green leafy pieces located in the soup,throughout the surface
5640,4956cf7e9b87ac3,What color are the kohlrabi pieces predominantly,white
5641,4956cf7e9b87ac3,What is the main vegetable in the dish,kohlrabi
5642,4956cf7e9b87ac3,What type of sauce is the kohlrabi coated in,cream
5643,4956cf7e9b87ac3,What is the kohlrabi served in,in Cream Sauce
5644,4956cf7e9b87ac3,How does the kohlrabi appear in the image,fresh
5645,7030e696a330053,What color is the kohlrabi,white
5646,7030e696a330053,What vegetable is mostly white in the slaw,kohlrabi
5647,7030e696a330053,What color are the carrot slivers,orange
5648,7030e696a330053,What is sprinkled on top of the slaw,sprinkled on top
5649,7030e696a330053,What color is the celery,green
5650,bf819e3efe7cb37,What color are the kohlrabi pieces,off-white
5651,bf819e3efe7cb37,What vegetable is in the bowl,kohlrabi
5652,bf819e3efe7cb37,What color is the bowl,blue
5653,bf819e3efe7cb37,Are the kohlrabi chunks distributed throughout the bowl,throughout the bowl
5654,bf819e3efe7cb37,Is there a spoon in the bowl,spoon
5655,0ef0fa7a935b66f,What color is the bulk of the mashed kohlrabi,white
5656,0ef0fa7a935b66f,What vegetable is primarily used in the dish,kohlrabi
5657,0ef0fa7a935b66f,How are the pieces of Red Potato Bake distributed in the dish,mixed
5658,0ef0fa7a935b66f,What color are the pieces of Red Potato Bake,red
5659,0ef0fa7a935b66f,"Where are the bright green, cylindrical pieces of kohlrabi located",on top
5660,14facc68e284fce,Where is the Pfefferkuchen located in the bottom,located
5661,14facc68e284fce,What is the name of the food in the image,Pfefferkuchen
5662,14facc68e284fce,Where is the Pfefferkuchen in the center,center
5663,14facc68e284fce,Where is the Pfefferkuchen on the left,left
5664,14facc68e284fce,Where is the Pfefferkuchen in the bottom,in the bottom
5665,734b2bc0f530fcf,What color is the bowl that holds the Kuchen,white
5666,734b2bc0f530fcf,What type of dessert is Nana's Cranberry Kuchen,Kuchen
5667,734b2bc0f530fcf,What color is the base of the Kuchen,yellow
5668,734b2bc0f530fcf,What color is the middle layer of the Kuchen,red
5669,734b2bc0f530fcf,What is to the right of the Kuchen,to the right
5670,7b67d0cca520150,What color is the crust of the Kuchen,golden
5671,7b67d0cca520150,What fruit is used in the middle layer of the Kuchen,apples
5672,7b67d0cca520150,What color is the plate the Kuchen is on,white
5673,7b67d0cca520150,What color is the topping on the Kuchen,tan
5674,7b67d0cca520150,Where is the crumbly topping located on the Kuchen,on top of
5675,39a57739ab15ef0,What color is the crust of the cake,golden-brown
5676,39a57739ab15ef0,What type of food is shown in the image,cake
5677,39a57739ab15ef0,What color are the cranberries in the cake,red
5678,39a57739ab15ef0,What is the slice of cake placed with,with
5679,39a57739ab15ef0,Where is the slice of cake placed,on a napkin
5680,252c829e93dbb82,What color is the crust of the zucchini cake,golden
5681,252c829e93dbb82,What vegetable is used in the cake,zucchini
5682,252c829e93dbb82,What color is the plate,white
5683,252c829e93dbb82,Where is the largest piece of the cake located,on the left
5684,252c829e93dbb82,How are the slices arranged,cascading
5685,343983de8e114ba,What type of cake is shown in the image,BaumKuchen
5686,343983de8e114ba,What color is the plate,dark gray
5687,343983de8e114ba,What color is the rim of the plate,brown
5688,343983de8e114ba,How does the cake appear in terms of its structure,layered
5689,343983de8e114ba,What color is the rim of the plate,with a brown rim
5690,af409dcc31daf46,What color is the exterior of the cake,brown
5691,af409dcc31daf46,What type of dessert is shown in the image,cake
5692,af409dcc31daf46,Where does the slice of cake sit,sits
5693,af409dcc31daf46,What color is the plate under the cake,white plate
5694,af409dcc31daf46,What is the origin of the cake,German
5700,9c9dfa940b39452,What color is the kugel mixed with,yellow
5701,9c9dfa940b39452,What color are the darker areas of the kugel near the edges,brown
5702,9c9dfa940b39452,What is the name of the dish in the image,kugel
5703,9c9dfa940b39452,What color are the broccoli pieces in the kugel,green
5704,9c9dfa940b39452,Where are the broccoli florets distributed on the kugel,across the entire surface
5705,cf53e1e89adea4d,What is the overall color of the noodle kugel,yellow
5706,cf53e1e89adea4d,What type of dish is shown in the image,noodle
5707,cf53e1e89adea4d,How is the noodle kugel arranged in the containers,packed
5708,cf53e1e89adea4d,What color are the edges of the noodle pieces,burnt
5709,cf53e1e89adea4d,Where are the two containers placed in relation to each other,next to
5715,3e9a32b273a16b7,What color is the kugel,yellow
5716,3e9a32b273a16b7,What type of dish is being baked,kugel
5717,3e9a32b273a16b7,"What are the dark brown, almost black, items scattered throughout the kugel",raisins
5718,3e9a32b273a16b7,Where are the raisins located in the kugel,scattered throughout
5719,3e9a32b273a16b7,What color is the pot in the image,silver
5725,49c1375b73157d1,What color is the baking dish,white
5726,49c1375b73157d1,What is the kugel used for,baking
5727,49c1375b73157d1,What color is the custard in the kugel,yellow
5728,49c1375b73157d1,Where are the noodles placed on the kugel,topped with
5729,49c1375b73157d1,How are the noodles arranged on the top surface of the kugel,distributed
5730,d15e9144a5751df,What color is the plate,white
5731,d15e9144a5751df,What is the name of the dish in the center of the image,kugel
5732,d15e9144a5751df,What color is the kugel,yellowish-orange
5733,d15e9144a5751df,What is on top of the kugel,topping
5734,d15e9144a5751df,Where is the kugel positioned on the plate,in the center
5740,0c5e650fbcc4418,What is the shape of the baking dish used for the kugeli,rectangular
5741,0c5e650fbcc4418,What is the name of the dish shown in the image,kugeli
5742,0c5e650fbcc4418,What is the primary color of the top surface of the kugeli,tan
5743,0c5e650fbcc4418,What type of vegetable is visible in shreds throughout the kugeli,of potato
5744,0c5e650fbcc4418,What color are the small pieces of meat scattered across the surface of the kugeli,reddish-pink
5750,2ae0a35c6fd46f9,Is the exterior of the lamb shank charred,charred
5751,2ae0a35c6fd46f9,What type of meat is shown in the image,lamb
5752,2ae0a35c6fd46f9,What color is the exterior of the lamb shank,brown
5753,2ae0a35c6fd46f9,Where is the lamb shank placed,on the wooden cutting board
5754,2ae0a35c6fd46f9,What color is the bone protruding from the lamb shank,tan
5755,ccb5d282a417dd2,What is the most noticeable feature in the image,dominant
5756,ccb5d282a417dd2,What type of meat is featured in the image,lamb
5757,ccb5d282a417dd2,What color are the outer edges of the lamb shawarma,brown
5758,ccb5d282a417dd2,Where are the green herbs placed,on top
5759,ccb5d282a417dd2,What color is the couscous in the salad,yellow
5760,111f6cab95894e1,What color is the interior of the cut pieces of lamb,pink
5761,111f6cab95894e1,What type of meat is featured on the plate,lamb
5762,111f6cab95894e1,Where is the large portion of lamb positioned,on the plate
5763,111f6cab95894e1,What color are the sprigs of rosemary,green
5764,111f6cab95894e1,What do the bones of the rack do,extend
5770,da1625b72ff8442,What color are the lamb chops,white
5771,da1625b72ff8442,What type of meat is being served,lamb
5772,da1625b72ff8442,What color is the sauce on the lamb chops,brownish-grey
5773,da1625b72ff8442,Where are the lamb chops located in the bowl,on the right side
5774,da1625b72ff8442,What color is the broccoli in the bowl,green
5775,c9eb83426ac4cf8,What is the primary color of the lamb shanks,dark brown
5776,c9eb83426ac4cf8,What type of meat is shown in the image,lamb shanks
5777,c9eb83426ac4cf8,What is the sauce described as doing to the lamb shanks,coated
5778,c9eb83426ac4cf8,What color are the small pieces of celery in the sauce,light green
5779,c9eb83426ac4cf8,Where are the lamb shanks located on the plate,on the right side
5790,079bc36261b7e93,What color is the plate the lamb is served on,white
5791,079bc36261b7e93,What type of meat is being served in the image,lamb
5792,079bc36261b7e93,What is visible on the exterior of the lamb,charring
5793,079bc36261b7e93,What color is the exterior of the lamb,brown
5794,079bc36261b7e93,Where is the dark brown bowl positioned in the image,in the background
5795,9cc9e794eceaaec,What is in the bowl,food
5796,9cc9e794eceaaec,Where is the bowl positioned,bowl
5797,9cc9e794eceaaec,What is the tone of the brown color of the food,muted
5798,9cc9e794eceaaec,What is the lamb baby food,is
5799,9cc9e794eceaaec,Where is the bowl in the image,in the foreground
5800,fd22d98e9dd2f47,What is the flavor profile of the lamb and eggplant casserole,savory
5801,fd22d98e9dd2f47,What vegetable is included in the casserole,eggplant
5802,fd22d98e9dd2f47,What color is the lamb and eggplant casserole,reddish-brown
5803,fd22d98e9dd2f47,What color are the mint leaves on the dish,green
5804,fd22d98e9dd2f47,Where are the mint leaves placed on the dish,on the plate
5805,b3b7529af9be1f2,What color are the lamb chops primarily,reddish-brown
5806,b3b7529af9be1f2,What type of meat is shown in the image,lamb
5807,b3b7529af9be1f2,What color is the mint oil on the lamb chops,green
5808,b3b7529af9be1f2,Where are the lamb chops placed,on a plate
5809,b3b7529af9be1f2,What herb is used to garnish the lamb chops,mint
5820,ba979ff9d7895d0,What color is the exterior of the lamb chops,golden-brown
5821,ba979ff9d7895d0,What type of meat is shown in the image,lamb
5822,ba979ff9d7895d0,What color is the plate,white
5823,ba979ff9d7895d0,Where are the lamb chops arranged,on a plate
5824,ba979ff9d7895d0,What does the cut lamb chop reveal,revealing
5825,a33449ce107815a,What color is the lamb,brown
5826,a33449ce107815a,What type of meat is the most prominent item in the image,lamb
5827,a33449ce107815a,What gives the lamb a slightly glossy appearance,glaze
5828,a33449ce107815a,What color are the potatoes,golden-brown
5829,a33449ce107815a,Where are the potatoes located in the image,to the right of
5835,1ed818a39908df3,What color is the floral pattern on the plate,red
5836,1ed818a39908df3,What are the three items on the plate,patties
5837,1ed818a39908df3,What color is the filling inside the lamb patties,brown
5838,1ed818a39908df3,What is visible inside the cut lamb patties,filling
5839,1ed818a39908df3,Where are the lamb patties placed,on a plate
5845,b15b0cc8b8b277c,What is the shape of the dish in the image,rectangular
5846,b15b0cc8b8b277c,What is the main food item in the image,lasagna
5847,b15b0cc8b8b277c,What color is the cheese predominantly,white
5848,b15b0cc8b8b277c,"What color are the melted, browned patches of cheese",of orange
5849,b15b0cc8b8b277c,What color is the meat sauce,reddish-brown
5850,b160e21bfde646d,What shape is the metal baking pan,rectangular
5851,b160e21bfde646d,What type of dish is being described,lasagna
5852,b160e21bfde646d,What color are the tomato pieces,red
5853,b160e21bfde646d,How are the fettuccine noodles and ground meat arranged,mixed
5854,b160e21bfde646d,Where are the slightly browned areas located,on the edges
5855,cef5eb2c90bb6a5,What color is the melted cheese on top of the lasagna,yellow
5856,cef5eb2c90bb6a5,Is the dish described as lasagna,lasagna
5857,cef5eb2c90bb6a5,Is the cheese on top of the lasagna melted,melted
5858,cef5eb2c90bb6a5,Are the browned spots on the cheese scattered,scattered
5859,cef5eb2c90bb6a5,Is the lasagna placed on a white plate,on a white plate
5865,7c83226f13af3d4,What color is the melted cheese on the lasagna,yellow
5866,7c83226f13af3d4,What type of dish is shown in the image,lasagna
5867,7c83226f13af3d4,How are the layers of the lasagna arranged,layered
5868,7c83226f13af3d4,What color is the tomato sauce in the lasagna,red
5869,7c83226f13af3d4,Where does the red tomato sauce appear in the lasagna,through
5870,b56e2709663aa39,What is the texture of the cheese on top of the lasagna,creamy
5871,b56e2709663aa39,What is the main ingredient on the top layer of the lasagna,cheese
5872,b56e2709663aa39,What color is the melted cheese on top of the lasagna,yellow
5873,b56e2709663aa39,What type of pan is the lasagna in,in a rectangular aluminum pan
5874,b56e2709663aa39,What color are the browned areas on the cheese,browned
5885,ff968956bf3626f,What is the predominant color of the lasagna noodles,yellow
5886,ff968956bf3626f,What is the name of the dish described,lasagna
5887,ff968956bf3626f,How are the brown sausage pieces distributed in the dish,scattered
5888,ff968956bf3626f,What color are the parsley leaves,green
5889,ff968956bf3626f,Where are the fresh green parsley leaves placed,on top
5890,9871a978509ae20,Is the lasagna homemade,homemade
5891,9871a978509ae20,What type of dish is shown in the image,lasagna
5892,9871a978509ae20,What color is the plate the lasagna is on,white
5893,9871a978509ae20,What color is the melted cheese on top of the lasagna,yellow-orange
5894,9871a978509ae20,What part of the image is the lasagna in,in the foreground
5895,ac703afc65d2391,What color is the slow cooker,black
5896,ac703afc65d2391,What type of dish is being cooked in the slow cooker,lasagna
5897,ac703afc65d2391,What is being done to the piece of lasagna,lifted
5898,ac703afc65d2391,What color are the layers of pasta in the lasagna,light brown
