Image,Image description
614fc9837140682,"The croissant on the bottom is a shiny golden brown color. A second, cut croissant sits on top, revealing a creamy, pale yellow filling in its center. To the right of the bottom croissant is a yellow lemon wedge."
2e47ca8d9dd1656,The flat croissant has a golden-brown color and takes up the majority of the bottom area of the image. It is covered with a layer of brown Nutella. Slices of red strawberries are arranged on top of the Nutella.  Two whole strawberries with green leaves are located on the top left side of the croissant.
29e3a3c2c3d6d8d,"The image displays several croissants. One large croissant is centrally located, exhibiting a glossy, deep golden-brown color on its upper surface, transitioning to a lighter golden-yellow towards its base. This croissant's shape is defined by distinct layers and curves. To the upper-left, a similar but slightly less defined croissant is visible, displaying a similar color gradient from dark gold to light yellow. Another croissant is positioned in the upper-right quadrant, appearing slightly smaller and more uniformly golden in color. All croissants rest on a light gray surface, possibly baking paper, with a few scattered, darker spots that might be drippings or crumbs."
c59d2829d9473cb,There are three croissants on a blue plate. One croissant is located on the left side of the plate. The other croissant is at the front and the last croissant is stacked on top of it. All the croissants are light golden-brown on the outside with multiple layers. The inside of the top croissant appears to be a very light cream color.
05b675e23e8a39f,"The potato croquettes are located on the right side of the image. There are two croquettes stacked on top of each other, with the top one being larger. They have a golden-brown color with darker brown spots. The inside appears to be light yellow and soft, with bits of brown visible."
94ba0e39aa7aafc,"The image showcases three turkey croquettes on a white surface. The closest croquette is located in the lower center of the frame, displaying a golden-brown, textured surface with darker brown patches suggesting variations in cooking. To its left, a few sprigs of bright green herbs are scattered. The second croquette is positioned in the upper-left corner, similar in color to the first but slightly out of focus. The third croquette is found in the upper-right corner, appearing more elongated and also golden-brown with darker spots. The texture of all three appears crispy."
1747472deb3ca10,"There are five ham croquettes on a light yellow plate with a floral design. The croquettes are arranged in a semi-circle. The croquette at the front center is dark brown and textured. To its left is another croquette, slightly lighter in brown, closer to the edge of the plate. Behind the center croquette is a darker, almost black croquette, larger and oblong in shape. To the right of the back croquette, there is a spherical, medium brown croquette. To the right of the front center croquette is a medium-brown, oblong croquette. The croquettes appear to be crispy and fried."
873396a9d5e4f00,"The yummylicious Japanese beef croquettes are arranged in two rows on a silver metal rack placed over a silver foil-lined baking sheet. The top row features four croquettes, while the bottom row holds five. The croquettes exhibit a range of golden-brown hues, some being lighter and some darker, indicating varying degrees of crispness. They appear round in shape. The first croquette on the top left has a pale golden color while the rest of the croquettes are golden brown color."
64bf119737ebc17,"The salmon croquettes are golden-brown and round, arranged on a white plate. Their surfaces have a slightly granular texture, suggesting a breaded coating. Flecks of orange and red are visible within the croquettes, indicating the presence of salmon and perhaps other ingredients. Fresh green parsley is sprinkled on top of some of the croquettes. The croquettes are clustered around a light blue square bowl of white sauce that is in the center of the plate."
72ee70465299f12,"Two leftover chicken croquettes are stacked on top of each other in the center-left of the image, resting on a light beige plate. The bottom croquette is partially visible and is a mix of golden brown and light beige in color, with visible chunks of white onion and flecks of green herbs. The top croquette, slightly larger, sits directly on the bottom one, sharing the same color palette of golden brown and light beige, with a more textured, slightly darker crust."
09609f9aa971839,"There are three brown, circular croquettes on the bottom of the frame. The croquettes are covered in pale yellow sauce that also forms puddles on the plate around them. A mound of mashed potatoes with pale yellow sauce is on the top right of the croquettes and towards the top of the frame. A silver fork lies on the left side of the mashed potatoes. All the food items are on a white plate."
2efb0bebcb1a6cc,"The image contains three eggplant croquettes. The eggplant croquette on the top left has a mostly brown color with some lighter yellow parts. The eggplant croquette on the top right has a similar color scheme, mostly brown, with touches of yellow. The eggplant croquette at the bottom is also brown in color with some parts that are yellow. The three eggplant croquettes are distributed, with one in the top left, another in the top right, and one near the bottom center of the image."
44f02c1b6fca8e5,"The image contains focaccia croutons. Many of the croutons are located in a hand, scattered across the palm and fingers. The croutons are generally cube-shaped, with a light tan or golden-brown color on the outside and a slightly lighter, yellowish interior. Some of the croutons are slightly darker, appearing more deeply browned. Other croutons are present in a clear plastic container, located on the right side of the image."
7e259f291bd1ae5,"Three garlic croutons are in the bottom right portion of the frame, nestled together on a white surface. Their colors are mainly golden and light yellow, with small patches of darker brown due to baking. In the background, in the upper left corner, two more croutons are seen, one cut as a triangle, and the other a rounded golden brown piece. These are further away and slightly blurred."
39ea5560fdd50f0,"The croutons are golden brown and are scattered throughout the Caesar salad. Some are located near the top center of the plate. Others are on the left side and near the bottom of the salad. Each one is a small cube shape, with a darker browned crust."
67b5a532680df4b,"The sourdough croutons are in a white bowl, filling it to the brim. They exhibit a range of golden-brown hues, with some pieces appearing lighter, closer to a pale yellow, and others a darker, more intense brown. The croutons are irregularly shaped, with some being roughly square or rectangular, while others are triangular. They are piled haphazardly, creating a textured surface of varying heights and angles. Some croutons feature visible seasonings, appearing as small dark green and black specks scattered across their surfaces."
177e76a2d6fcec7,"The homemade croutons are various shades of beige and light golden brown. They fill an orange, rectangular dish. The croutons are of irregular, roughly cubic shapes and appear dry and crusty. Some have flecks of green herbs sprinkled on their surfaces. The dish sits on a colorful striped cloth with primarily orange, red, and blue stripes. The croutons are densely packed within the dish, obscuring most of its base. They vary in tone and texture, some appearing paler and others slightly darker and more golden."
33e02a784a04528,"The image contains croutons, which are generally golden-yellow to light brown in color, some are slightly darker indicating a crispier texture. They are piled densely in the center of the frame, with some extending towards the right edge and a few scattered towards the lower-left. The positioning creates a sense of abundance and closeness, making them appear readily accessible."
63ebd0c82e26fc0,"The image shows Jenny's Seasoned Croutons. There are five croutons in the image. They are golden brown and cube-shaped. One is located in the upper left of the image. Another crouton is in the top center, and one is on the upper right. Two more croutons are in the center and bottom right of the image. They are scattered across a bed of green lettuce."
136fd8b59f8452d,"The garlic-parmesan croutons are golden-brown and have an irregular, cube-like shape.  One crouton is located at the upper right corner.  Several croutons are clustered in the upper center, nestled among green lettuce and purple cabbage.  Two more croutons are at the left, towards the lower left, interspersed with green lettuce leaves. These are scattered throughout the salad, adding a crispy texture and savory flavor."
4835f2f84dcbd98,"The ""Best Croutons Ever"" are scattered throughout the salad. They are golden brown in color and generally rectangular or cubic in shape. One is located on the upper left, another sits centrally at the top, while others are interspersed toward the middle and lower sections of the salad. They sit atop the lettuce and among other ingredients like cranberries and orange segments."
10228178b332fbf,"The Basic Crêpes appear as thin, golden-brown pancakes. One is situated on a tan plate in the top right, folded in half with a dollop of white whipped cream, and garnished with red raspberries, red sliced strawberries, dark blueberries, and dark blackberries. Another crêpe, similarly adorned, is on a tan plate in the top left. Additional crêpes, stacked and folded, are presented on a gray rectangular plate in the bottom left corner. They all have a similar yellow-brown color."
1d8eda4809cebca,"The Ham and Cheese Crêpes are centrally located in the image, resting on a plate. The crêpe itself is a light golden yellow with some brownish spots. It is folded over, revealing a filling of pale pink ham and melted white cheese. Fresh green parsley is sprinkled on top of the crêpe and around the plate as garnish. The ham and cheese filling is situated between the layers of the folded crêpe."
d691ff23b7980c4,"The Easy Savory Crêpes are arranged on a clear glass plate. Two crêpes are in the foreground, cut in half to display the filling. The crêpe itself is a light tan color with darker brown spots, and flecked with green herbs. The filling consists of white shredded chicken mixed with white sauce, small diced orange carrots, and green peas. The halves of the two crêpes are positioned close together, showing the cut filling. A third, whole crêpe is located behind the two cut crêpes, also light tan with brown spots and green herbs."
f9edd463cbb1062,"The French crêpes is pale yellow and folded on a wooden board. It is located in the center of the image, slightly towards the bottom left. Two yellow lemon slices are placed on top of the crêpe. Powdered sugar is sprinkled on the crêpe, adding white specks."
63c46e465bdac83,"The image features ""Perfect Gluten-Free Crêpes"" arranged on a white plate. The crêpes are light beige, folded and stacked towards the center of the plate. A generous dusting of white powdered sugar covers the crêpes. Dark blue blueberries are scattered around and on top of the crêpes. A few light-brown, circular crêpes are nestled among the folded ones."
3b7008ec8e5758f,"The eggless crêpes are stacked on a plate. The bottom crêpe is round and a golden-brown color with some darker brown edges. A line of sliced bananas, which are light yellow with light brown edges, runs across the middle of this crêpe. The second crêpe is a lighter golden-brown color. It is partially covered by the bottom crêpe, and has a few sliced bananas on top, similar in color to the ones on the bottom crêpe. The third crêpe, at the top of the stack, is a rectangular shape and is light golden-brown. It has several sliced bananas on top, similar in color to the others, but they are slightly smaller. The crêpes are glazed with a clear, glossy substance."
22529a666cec813,"The crêpes are centrally located in the image, stacked on top of each other. They are primarily a light yellowish-tan color, with many scattered small brown spots across their surfaces. The edges of the crêpes appear slightly darker than the main body."
9b2e902ba252d98,"The cauliflower crumble is in a rectangular baking dish, which is positioned in the center of the image. The dish is filled with cauliflower pieces that appear creamy white, interspersed within a light sauce. Atop the cauliflower and sauce are golden-brown fried onions and sliced almonds, forming the crumble topping. The onions are scattered and provide a crispy texture, while the almonds add a nutty component. The entire food item fills the baking dish, with the crumble topping covering the base layer of cauliflower and sauce."
69e3956e2db601a,"Two raspberry crumble bars are stacked on top of each other on a white plate. The bars have a golden-brown crust and a dark red raspberry filling. The top of each bar is covered in a crumbly, light yellow topping. There are also three raspberries on the plate, each a bright red color. One raspberry is near the bottom-center of the frame. Another is to the left of the stack of bars, and the third is to the left and slightly behind the stack. The plate sits on a white linen tablecloth."
0690c84c5ea7945,"The Hawaiian Apple-Pineapple Crumble is served on a white plate against a black background. The crumble topping is a light beige color and is primarily located on the upper right portion of the plate, cascading slightly down the side. Apple slices with reddish-brown skin and a pale yellow interior are mixed within the crumble and are also visible towards the lower right of the plate. A glazed red cherry is situated slightly left of the center. A vibrant green sprig of mint leaves is positioned on the upper left, partially covering the apple and crumble."
27efd091958b75e,"The image shows an Apple-Cranberry Crumble on a white plate. The crumble topping is golden-brown and covers the base of the dessert. Beneath the crumble, there's a mixture of red cranberries and lighter pink apple pieces, all coated in a deep red sauce. To the right of the crumble is a scoop of white ice cream. The red sauce from the crumble slightly seeps into the white area surrounding the dessert. The plate appears white."
487d8bc4585aadf,"The Loquat Crumble is arranged on a white plate with a decorative green and brown rim. The crumble itself is a mix of golden-yellow loquats and a brown, crumbly topping. The loquats are visible as soft, translucent chunks, and they are interspersed throughout the crumble. The crumble topping appears to be scattered over the loquats, with a thicker concentration in the lower portion of the image. The crumble is gooey."
cedcbc7654f3c53,"The apple and pear crumble consists of golden-brown chunks of fruit and a crumbly topping, mixed with a scattering of sliced almonds that are light tan in color. A scoop of pale cream-colored ice cream rests on top of the crumble. The crumble and ice cream are situated on a dark green plate, which has a pool of light brown sauce around the base of the crumble. In the background, more of the apple and pear crumble is visible in a clear glass dish. It is also topped with sliced almonds. This dish is placed on a wooden board."
9969cdc82bc5cc5,"The fruit crumble is in a clear glass baking dish. The bottom layer consists of sliced fruit, mostly yellow in color with some parts appearing translucent. Above the fruit layer is a layer of liquid. The crumble topping is on the top, featuring a light brown, crumbly texture."
0383414da3eec55,"The quince crumble is primarily golden brown, covering the majority of the image. The crumble topping appears textured, with a mix of light tan and darker brown shades scattered across its surface. A section of the crumble has a lighter, more flour-dusted appearance, towards the left side. The fruit filling peeks through the crumble in places, exhibiting a translucent, caramelized amber color. The entire crumble is contained within a silver foil baking dish. A slight glaze coats the exposed fruit filling near the edges of the dish."
469476422aa2c10,"The blackberry crumble is primarily located in the center of the white plate, appearing as a heap of dark purple blackberries mixed with light brown crumble topping. The blackberries are a deep purple, almost black in some areas, with a glossy sheen. The crumble topping has a rough, textured surface and is a light brown color with some golden highlights. Smaller clumps of crumble are scattered around the main pile, closer to the edges of the plate. A small reddish stain sits on the plate to the left of the crumble."
55ca54377972b3a,"The Strawberry Crumble is a mixture of light pink and golden brown colors. The strawberry filling is a light, translucent pink and is located on the left side and the bottom of the crumble. The crumble topping is golden brown, and appears on the top and right side of the crumble."
a62243133471344,"The blueberry crumble is in a rectangular baking dish with light beige color. The base of the crumble is made of blueberries, which are dark purple and located at the bottom of the dish. On top of the blueberries is a crumbly topping, which is golden brown. The crumble is unevenly spread, with some areas having a thicker layer of topping than others. A silver spoon is inserted in the upper part of the blueberry crumble. A blue striped cloth is on the upper left side of the crumble."
f72b411f57d390c,"A slice of berry crumble pie is presented on a white plate. The pie has a dark, deep red and purple berry filling and a golden-brown, crumbly top. The berries are glossy and appear juicy. The crumble topping is uneven and textured. Next to the pie, there's a scoop of off-white ice cream, slightly irregular in shape. A sprig of fresh green mint leaves with dark stems is nestled between the ice cream and the pie. The plate is set against a background with a woven blue pattern."
6c9e3d627bd98ef,"The peach crumble cake is in a rectangular baking pan. The cake has a golden-brown color. The surface of the cake is textured and uneven, with some slightly raised areas. The overall location of the cake is centered within the pan, occupying the majority of the space."
8dcec925b92152d,"The Raspberry Peach Crumble is in a white bowl. The raspberries are red and appear at the bottom and sides of the bowl. The peaches are orange and are mixed with the raspberries. On top of the fruit is a crumble topping that is golden-brown. A spoonful of the crumble is shown, with orange peaches and red raspberries visible on the spoon. The crumble topping on the spoon is golden-brown."
9225f1d830d0946,"The cherry crumble is in a square glass baking dish and sits atop a round, woven placemat. The crumble topping is a light golden-brown color and covers the entire surface of the baking dish. Underneath the topping, the cherry filling is visible, a bright, translucent red in color. The cherries and their juice fill the bottom layer of the dish."
59b9dea4ab611ae,"The Frozen Berry Crumble is presented in a white bowl. The berry filling is predominantly red and dark red, located at the bottom and side of the bowl, partially covered by the crumble topping. The crumble topping is golden-brown and tan, appearing in irregular clumps over the berry filling. It covers a significant portion of the dessert, especially towards the top and center, cascading down the sides of the berry mixture."
da88630c29538e4,"The Nectarine-Raspberry Crumble has two variations. One version is in a decorative baking dish in the background and the other version is on a square white plate in the foreground. The crumble on the plate has golden-brown nectarines mixed with bits of red raspberry and a darker brown crumble topping. Next to the crumble is a scoop of light-yellow ice cream. A silver spoon rests on the right side of the plate, near the ice cream. The crumble in the baking dish is primarily golden-brown and appears to be in focus."
21850b3b4a7a14e,The gluten-free peach crumble is in a square white baking dish. The crumble topping is a light golden brown color and covers the entire surface of the dish. Peach filling peeks through the topping around the edges; it is a light peachy orange color. The dish is centered in the image.
f04ae2e124ac546,"The bumbleberry crumble is in a clear glass pie dish. The base of the crumble is a light yellowish color. The filling consists of a mix of red strawberries and dark purple blackberries. The strawberries are located around the perimeter of the dish and mixed in with the crumble topping. The blackberries are interspersed throughout the dish, also mixed with the strawberries and crumble. A topping of yellowish crumble is spread across the center of the dish. A sprig of bright green mint leaves is placed on top of the crumble in the very center. The dish is set on a tan wooden surface."
92211a75310aaef,"The Easy Three-Berry Crumble Slab Pie is the main focus of the image. It is cut into square pieces. The pie filling, a mix of red raspberries, dark blueberries, and other berries, has a deep, rich purple-red color and sits beneath a layer of golden-brown crumble topping that covers the entire pie. The crumble is textured and slightly irregular, creating visual interest. The crust around the edges of the pie is a light golden-brown color. A server is lifting a piece of the pie."
b9ba22d9a5a4943,"The Peach and Nectarine Crumble is primarily located in the center of the image, contained within a clear glass baking dish. The crumble topping is a textured mix of medium brown and dark brown, covering the surface. Beneath the crumble, the peaches and nectarines are visible through the sides of the glass dish, exhibiting hues of yellow and orange. The overall color scheme is warm, with the golden tones of the fruit contrasting with the darker crumble."
7e9741aea0b41c6,"There are two pieces of chocolate chip crumble on the white plate, with crumbs scattered around. One piece is a square shape, and the other is a curved shape, both are light beige color, with dark brown chocolate chips embedded throughout. Crumbs of the same light beige and dark brown color are sprinkled around the two pieces. A small, green basil sprig sits between and slightly on top of the two pieces of crumble. The plate is centered in the image."
e6e74422dcd5212,"Two pieces of Captain Crunch Chicken are located at the bottom left and center of the image. The chicken is golden-brown. A bowl of salad is located at the top center of the image. The salad is composed of green and burgundy lettuce, slivered almonds which are tan, shredded cheese which is white, green peas, and white dressing."
641915a4a31b0ad,"The Rhubarb-Raspberry Crunch is a mix of colors and textures. The rhubarb pieces range from light pink to a pale orange, and are mixed throughout the dish. The raspberries are deep red. The crunch topping is a golden-brown color and is sprinkled unevenly over the top of the rhubarb and raspberry mixture. The rhubarb and raspberry mixture is mostly at the bottom, with the crunch topping mostly covering it. The sprig of green herbs is placed atop the rhubarb and raspberry mixture and crunch topping."
f2192f82d2ac674,"The Christmas Crunch appears as rectangular and irregularly shaped pieces with a light tan color. It is arranged in a single layer inside a rectangular glass baking dish. The crunch is mainly concentrated on the left and upper areas of the dish, with scattered pieces and crumbs towards the bottom and right. A large mass of crunch is located in the upper left corner. Some pieces have been cut with a knife, and a metal spoon is present near the bottom center. Small, light-colored nuts are visible within the crunch."
9c334a951c5b0a3,"The image features cornmeal shrimp. The cornmeal shrimp are golden-brown and are arranged on a white plate, which is in the center of the image. They are piled on top of each other, appearing crispy and slightly oily. There is no captain crunch present in this image."
8bce0244fa2cee7,"The Game Day Crunch features a mix of brown and tan elements. The Chex cereal pieces, appearing square and grid-like, are a light tan color and are scattered throughout the image.  Pretzel pieces, with a light brown color, are interspersed amongst the cereal.  The snack mix is coated in a glossy, brown sauce that gives it an overall sheen. There are also beige peanuts scattered throughout. The crunch mix fills the bowl, reaching up towards the top of the frame."
953081bb759d2df,"The blueberry crunch features two distinct components.  The blueberry filling is a deep, dark purple, almost black in some areas, and appears mostly around the edges and corners, as well as peeking through gaps in the topping in the center.  The topping is a golden-brown color, and it covers the majority of the surface, forming a thick, crumbly layer that contrasts with the dark blueberry filling. It is concentrated more heavily in the center."
8f3db33916b0bc0,"There are multiple crunches in the image. The closest crunch is located in the bottom left quadrant of the image, and it has a light brown color. In the top center of the image are more crunches which are also a light brown color and are smaller."
d20b57b2e564613,"The Blueberry-Apple Crunch features a golden-brown crumble topping, located mainly at the top and scattered throughout. Dark blue blueberries are dispersed within and around the apple slices, some nestled within the crumble. The apple slices display a range of colors from pale yellow to a reddish-pink hue, appearing in the middle of the dish, intermixed with the blueberries. The crumble is also present toward the bottom."
39bcc4756e74344,"The Berry Nut and Seed Crunch is contained within a light green bowl. It consists of several components. The berries are a deep red and are scattered throughout the bowl. The nuts are a light brown and are also distributed throughout. The seeds are small and light green or white, speckled among the nuts and berries. The crunch appears golden brown and is mixed within the other ingredients. Overall, the mixture fills the bowl, sitting atop a white surface."
acbf3a326ab20fc,"The almond flour pizza crust is a light tan color and forms the circular base of the pizza. It has a slightly rough, uneven texture with a raised edge around the circumference. It is located around the perimeter of the pizza, supporting the toppings which include tomato sauce, sausage, broccoli, cauliflower, and spinach."
dc958caba7767f7,"The no-roll pie crust is light brown in color. It fills the entire pie pan, and is spread evenly across the bottom and up the sides of the pan."
286cb0fa3aefa9b,"The foolproof pie crust is arranged in a lattice pattern across the entire top of the pie, with strips of crust interwoven. The color is a light golden-brown, with some areas appearing paler. In the lower-center of the pie, two crust leaves are placed, oriented diagonally. The crust also forms the edge of the pie."
7f8603ce644dbd1,"The Lemon Zest Pie Crust is a golden-brown color with a lattice pattern on top and is dusted with a white powder. It is located on a black cooling rack in the upper right portion of the image. A slice is missing, revealing the purple filling."
85e44a595c72aac,"The Holiday Gingersnap Pie Crust is golden-brown and forms the base and sides of a circular pie.  It's located on a white cake stand in the center of the image. Individual gingersnap cookies, darker brown in color, are arranged around the top edge of the pie, embedded in the filling. The crust extends upwards from the base, providing a textural contrast. The top of the pie has a swirled pattern of light beige and caramel colors."
99de88ffcbe3b76,"The image shows two broccoli pizza crust stacks on a white parchment paper. The crusts are circular and have a rough texture with a mix of yellow-green and brownish hues, indicative of cooked broccoli and other ingredients. The stack closer to the viewer consists of three crusts, while the one behind it has two. The parchment paper is placed on a red woven placemat. The placemat has a textured surface and is on a wooden table with a grainy pattern."
c5d7095e2743d7f,"The fried pie crust is light brown and fills a round, silver pie pan. The crust texture appears crumbly, with slightly raised, uneven edges. The pie pan is centered on a patterned surface with a silver and black color scheme."
ccd933e048031d7,"The Patrick's Gluten-Free Pizza Crust pieces are topped with a melted yellowish-orange cheese and round, reddish-brown pepperoni slices. The crust itself has a light brown color. Three pizza slices are arranged on a clear plate, with one slice situated on the left side of the plate, one slice is positioned diagonally in the middle, and one is located on the right side. The background is a solid red."
c6e94588302aab3,"The Bisquick pie crust fills the majority of a white pie plate, which is located in the center of the image. The crust itself has a golden-brown color around its edges, with the central area being a lighter, more uniform tan. The surface of the crust appears textured with a slightly rough and bumpy appearance, indicating a baked consistency."
aaef81665cd0d6a,"The gluten-free pizza crust is light beige and forms the base of the pizza. It's located at the bottom of the frame, supporting the toppings. Its texture appears slightly rough and uneven. Some parts of the crust are folded."
af812db9b57caca,"The gluten-free pie crust is golden-brown and fills a round, silver aluminum pie tin. It completely occupies the center of the image. The crust has a slightly darker rim and appears to be evenly baked."
71b37d19149e978,"The Grandma's Secret Pie Crust is positioned in the center of the image. It is a light, pale yellow color. The crust is in a pie dish. It has a crimped edge."
0fcc76f501d8dce,"The gluten-free pie crust appears in two forms. One is a light-yellow ball positioned in the upper-left quadrant. The other is a flattened piece with irregular edges, located in the upper-right quadrant of the image, with a slightly lighter yellow hue. Both are dusted with a fine white powder, likely flour."
bdd566d7d306ca4,"The chocolate graham crust is deep brown, almost black, and completely fills a silver pie pan. The crust covers the entire bottom and sides of the pan, forming a shell-like structure. The pan sits on a clear glass plate centered on a patterned tablecloth."
371ca1bf4836d2f,"The cheesy quiche crust is golden brown, forming the outer edge and base of the quiche. It is located around the entire circumference of the white, fluted pie dish. Its color varies from a light golden hue to a darker, more toasted brown in some areas."
8cb26ed4320f2df,"The hot water pie crust is the dominant feature, covering the majority of the pie. Its color ranges from a pale golden to a light brown, with slightly darker spots on the top and edges indicating baking. The crust is positioned on top of the pie, fully encasing the filling. There are four slits cut into the center of the crust, forming an 'X' shape. Some of the pie filling is seen to have escaped and burned around the edges."
6bc675ec36903aa,"The Baker's Secret Pie Crust is a light golden-brown color and covers a round apple pie. The crust has a textured, slightly bubbly surface. There are three small vents cut into the top of the crust through which the dark apple filling is visible. An ornate, star-shaped piece of pie crust is placed on top of the pie to the right of the center. In the background, three apples, one green and two red, are positioned behind the pie."
fb472cd2f30509a,"The pie crust is light yellow, filling most of the lower left quadrant. Its edges are shaped in a decorative, scalloped pattern. The food processor, which is illustrated in a cookbook page near the pie crust, shows white and pale yellow ingredients being processed. The page is angled upwards, partially obscuring the background."
909f7e63c43b25e,"The Cauliflower Pizza Crust is light green and forms the base of the pizza, which is sliced into several triangular pieces. It is located beneath the red tomato sauce, white cheese, and circular pepperoni toppings. The crust appears crispy along the edges with a slightly browned color. It covers the entire bottom area of each pizza slice."
a65e1a5beeefd71,"The pie crust is located in the center of the image, filling most of the frame. It has a light beige color, slightly golden in some areas. It's baked inside a white, scalloped pie dish. There are rows of small holes pricked into the crust. A white and yellow striped cloth is present in the upper left corner, draped next to the pie dish."
930f4d481fd8736,"The Healthier Pie Crust has a light beige color and forms the outer edge and base of the pie slice. It occupies the top and right portions of the image, creating a textured border around the filling. The crust's texture appears slightly rough. A part of the crust is visible at the bottom of the pie."
698ff55e6744a1e,"The Old Fashioned Flaky Pie Crust is centered in the image, filling a white pie dish. The crust is an overall light tan color. It is thicker around the edges where it is crimped. The base of the crust is smoother and of a more uniform tan color. The center area is a lighter shade of tan than the pie crust's scalloped edges."
c4f4a15823b9c50,"The Amazing Whole Wheat Pizza Crust is a golden-brown color.  The crust forms the outer edge of the circular pizza, and a slice has been cut and is being held up by a metal spatula, revealing the inside texture of the whole wheat. The crust is also visible at the bottom edge of the image, curving across the lower portion of the frame."
52e33978d3248f1,"The pizza crust is golden brown and forms the outer ring of the pizza, surrounding the toppings. The pizza is placed centrally on a round, silver metal tray. It is sliced into eight pieces, with one slice partially removed by a light blue serving spatula on the left side of the pizza. The crust's edge is slightly raised and rounded."
79863139fcf71cc,"The image displays a pie. The pie crust has a golden brown color, forming a circular edge around the pie and is also arranged in a lattice pattern on top. The crust edge sits at the bottom of the pie. The lattice strips are a lighter tan color and are woven over a filling. The filling is a dark red color. The filling is visible between the lattice strips."
9297e86e19d6db2,"The 100% whole wheat pie crust is golden brown and covers the majority of the image. It forms a lattice pattern on top, with the red filling peeking through the openings. The crust is darker in color at the edges and where it's crimped. The pie is contained in a clear glass pie dish. The edge of the dish is visible on the lower right side of the image. A colorful patterned tablecloth is partially visible at the bottom right corner."
5debb1c45cb5e40,The basic flaky pie crust is light brown with flaky texture and forms the outer edge of the pie. It completely encircles the filling of the pie. The color varies slightly due to baking.
9f8cff721d2ea65,"The Ricardo's Pizza Crust is golden brown and forms the base of the pizzas. It is located in the foreground and extends towards the background, slightly blurred. The crusts support a variety of toppings including red cherry tomatoes, which are scattered across the pizza surface. There are also green bell peppers, cut into squares, and black olives that are distributed throughout the pizza toppings. The crust is covered in a layer of melted cheese. The crust edges have a lighter golden color."
73ec036f5ece1d6,"The pie crust is tan and forms the base and decorative heart shapes on top of the pie. The base is a solid, round layer encasing the filling. The heart-shaped crust pieces are arranged decoratively on top, exhibiting varied shades from light tan to golden brown, with some sprinkled with sugar, covering a portion of the red pie filling. They are mostly clustered in the center."
f008610c131b25e,"The Valentino's Pizza Crust is golden-brown around the edges, transitioning to a lighter yellowish color beneath the toppings. It forms the base of the pizza and occupies the entire area in the image, with the toppings scattered across its surface. The crust appears to be thicker around the perimeter, forming a raised edge."
54b457d0076dc63,"The premium pizza crust is a light tan color, with some areas appearing slightly golden brown, especially around the edges. It forms the base and outer perimeter of the pizza, and it's thicker around the rim, creating a raised edge. Some melted cheese is dripping down the side of the crust in a few spots. The crust is positioned in the lower portion of the image, stretching from the left to the right."
6de33cd23d6a848,The pizza crust is light beige and forms the outer edge of the pizza. It's positioned along the right side and curves around the bottom of the image.
301a2c9eeecdf45,"The pizza crust is a pale yellow-beige color and forms the circular base of the pizza. It is topped with a red tomato sauce that is visible in patches. The cheese is melted and has a blend of yellow and orange hues, slightly browned in some areas. The pizza is cut into eight slices, arranged in a circular pattern on a wooden cutting board."
4a921d60a78812a,"The gluten-free cookie crumb crust is located inside a gray pie dish in the center of the image. The crust is a golden-brown color, filling the base of the dish. The texture appears crumbly and slightly uneven."
4150415cde49e65,"The sourdough pizza crust is centrally located in the image, resting on parchment paper. The crust is round and mostly a pale beige color, with some parts of the outer edge showing a slightly darker, golden-brown hue. The top surface of the crust appears shiny, likely due to oil, and it has a slightly uneven texture with some pooling of a yellow-orange liquid."
e39080c10b9945f,"The image shows a salad with sliced cucumbers and dressing in a glass bowl. The cucumber slices are predominantly green around the edges and lighter green towards the center. They're stacked in layers, some overlapping each other, throughout the bowl. A creamy white dressing coats many of the cucumber slices, with some drizzled across their surfaces. Sprinkled on top are tiny brown specks, likely a seasoning. Interspersed among the cucumbers are slices of red onion. These are mainly purple and white. The arrangement is dense."
2ffb4b6bafd7cad,"The braised cucumbers are light yellow with some golden-brown edges. They are cut into bite-sized cubes and seasoned with small, dark green herbs. The cucumbers are located inside a green ceramic pot with yellow handles, which is placed on a square white plate."
a37e5f1ff9383a0,"The creamed cucumber slices are arranged on a plate. The slices are circular, with a light green center and a dark green outer ring. They are coated in a creamy white sauce, speckled with small dark brown or black particles. The slices are overlapping and stacked, covering a large portion of the plate. They are mainly concentrated towards the top and center of the frame, with some slices extending to the left side of the image."
36e9730c7ccff02,"The image shows Maast-o Khiar, consisting of Persian cucumbers and yogurt. The Persian cucumbers are cut into medium-sized pieces, displaying a light green color on the inside and a darker green skin. They are distributed throughout the image, mixed within the yogurt. The yogurt is a creamy white color with specks of green dill visible throughout. The yogurt coats the cucumber pieces. The mixture appears to fill the bowl, with pieces scattered evenly from the top to the bottom of the image."
75a92fd6498a421,"The spicy cucumber soup has a light brown color, with a slightly darker brown hue appearing throughout. There are swirls of lighter cream-colored liquid visible, particularly forming a circular pattern towards the left side of the image, and it generally appears on the top-left corner. Darker specks, likely spices, are dispersed throughout the surface of the soup. A few reddish specks are also sparsely scattered across the entire soup surface."
d906a2bfef6db3a,"The cucumber salad with sour cream is presented on a white, oval-shaped plate. The cucumber slices are light green with a white creamy dressing covering them. They are distributed throughout the salad. Red onion rings, which are a light purple color, are interspersed among the cucumber slices. Fresh green dill sprigs are sprinkled across the top, providing a vibrant green accent. The salad is centrally located on the plate."
